profile,media,shape_stats,record,n,elapsed_ms,write_bw_mib_s,cpu_active_pct,cpu_active_s_per_gib,qat_byte_share_pct,qat_src_buffers_per_req,qat_dst_total_buffers_per_req,dc_compress_src_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_total_buffers_max,dc_fails_delta
default,hdd,on,128K,3,1085.051333,673.266667,5.176667,5.040531,100.000000,32.000000,37.000000,560640,648240,32,37,0
default,hdd,on,1M,3,954.513333,767.776667,13.513333,11.537476,0.000000,na,na,0,0,32,37,0
default,hdd,off,128K,3,1111.035333,657.050000,5.163333,5.149403,100.000000,0.000000,0.000000,0,0,0,0,0
default,hdd,off,1M,3,953.183333,766.546667,13.796667,11.800284,0.000000,na,na,0,0,0,0,0
default,nvme,on,128K,3,835.318333,873.870000,5.116667,3.836894,100.000000,32.000000,37.000000,560640,648240,32,37,0
default,nvme,on,1M,3,723.791333,1008.483333,17.483333,11.361277,0.000000,na,na,0,0,32,37,0
default,nvme,off,128K,3,826.328667,883.396667,5.256667,3.899356,100.000000,0.000000,0.000000,0,0,0,0,0
default,nvme,off,1M,3,719.044667,1015.176667,17.806667,11.494782,0.000000,na,na,0,0,0,0,0
throughput1m,hdd,on,512K,3,981.145667,745.593333,10.360000,9.103840,50.783333,128.000000,145.000000,284672,322480,128,145,0
throughput1m,hdd,on,1M,3,906.180667,805.946667,7.050000,5.724551,79.370000,256.000000,289.000000,444928,502282,256,289,0
throughput1m,hdd,off,512K,3,903.959000,807.710000,9.943333,8.052108,55.620000,0.000000,0.000000,0,0,0,0,0
throughput1m,hdd,off,1M,3,1008.496333,725.650000,5.386667,4.877146,97.496667,0.000000,0.000000,0,0,0,0,0
throughput1m,nvme,on,512K,3,740.227667,986.590000,13.676667,9.087916,46.306667,128.000000,145.000000,259584,294060,256,289,0
throughput1m,nvme,on,1M,3,883.015333,826.770000,6.240000,4.945122,96.310000,256.000000,289.000000,539904,609501,256,289,0
throughput1m,nvme,off,512K,3,728.224000,1002.426667,13.930000,9.108681,47.630000,0.000000,0.000000,0,0,0,0,0
throughput1m,nvme,off,1M,3,770.674667,948.146667,8.463333,5.844698,79.686667,0.000000,0.000000,0,0,0,0,0
