profile,media,jobs,recordsize,qat_elapsed_ms,sw_elapsed_ms,elapsed_speedup_sw_over_qat,qat_write_mib_s,sw_write_mib_s,write_speedup_qat_over_sw,qat_cpu_s_per_gib,sw_cpu_s_per_gib,cpu_s_per_gib_delta_qat_minus_sw,qat_byte_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_wait_ms_per_mib,qat_setup_us_per_req,qat_submit_us_per_req,qat_wait_ms_per_req,qat_cleanup_us_per_req,qat_page_array_alloc_us_per_req,qat_req_alloc_us_per_req,qat_req_free_us_per_req,qat_src_buffers_per_req,qat_dst_total_buffers_per_req,effective_async,effective_min_buf_size,effective_max_buf_size,async_inflight_max
default,hdd,1,128K,813.109,795.144,0.978,224.683,229.803,0.978,5.592,10.594,-5.002,100.000,,,5.882,6.123,8.072,0.735,0.273,0.000,0.426,0.000,32.000,37.000,0.000,8192.000,131072.000,0.000
default,hdd,1,1M,612.545,592.033,0.967,298.123,308.303,0.967,10.185,9.800,0.384,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,hdd,1,256K,691.355,692.841,1.002,264.137,265.217,0.996,10.047,9.872,0.174,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,hdd,1,512K,586.733,594.553,1.013,311.047,307.040,1.013,9.733,9.694,0.039,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,hdd,4,128K,1068.864,1066.376,0.998,684.617,684.610,1.000,5.148,12.591,-7.443,100.000,,,10.747,6.128,8.207,1.343,0.287,0.000,0.439,0.000,32.000,37.000,0.000,8192.000,131072.000,0.000
default,hdd,4,1M,961.050,979.680,1.019,760.473,745.543,1.020,11.496,11.595,-0.100,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,hdd,4,256K,967.907,971.768,1.004,754.237,751.500,1.004,11.929,11.890,0.039,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,hdd,4,512K,974.122,963.010,0.989,749.327,758.303,0.988,11.641,11.428,0.213,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,hdd,8,128K,1642.240,1559.524,0.950,890.447,936.573,0.951,5.581,12.662,-7.081,100.000,,,10.286,6.549,8.639,1.286,0.288,0.000,0.484,0.000,32.000,37.000,0.000,8192.000,131072.000,0.000
default,hdd,8,1M,1464.847,1590.083,1.085,996.663,922.107,1.081,11.779,14.627,-2.849,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,hdd,8,256K,1435.747,1421.092,0.990,1017.737,1028.493,0.990,12.217,12.826,-0.608,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,hdd,8,512K,1413.192,1346.462,0.953,1033.497,1084.750,0.953,11.809,12.517,-0.707,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,nvme,1,128K,563.064,562.080,0.998,324.567,324.823,0.999,4.040,9.758,-5.718,100.000,,,6.303,9.187,10.317,0.788,0.278,0.000,1.038,0.000,32.000,37.000,0.000,8192.000,131072.000,0.000
default,nvme,1,1M,525.428,534.843,1.018,347.417,341.193,1.018,9.987,9.763,0.224,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,nvme,1,256K,548.273,535.973,0.978,333.130,340.500,0.978,9.749,9.356,0.393,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,nvme,1,512K,539.635,528.459,0.979,338.227,345.347,0.979,9.850,9.773,0.078,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,nvme,4,128K,828.121,765.776,0.925,881.433,953.270,0.925,3.891,11.091,-7.200,100.000,,,10.928,9.617,10.511,1.366,0.286,0.000,1.068,0.000,32.000,37.000,0.000,8192.000,131072.000,0.000
default,nvme,4,1M,763.823,869.881,1.139,962.440,839.267,1.147,11.433,12.951,-1.519,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,nvme,4,256K,755.233,755.436,1.000,966.667,966.307,1.000,10.954,11.003,-0.049,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,nvme,4,512K,748.846,749.728,1.001,974.753,973.650,1.001,11.022,11.010,0.011,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,nvme,8,128K,1166.285,1129.982,0.969,1259.687,1308.940,0.962,5.912,16.112,-10.200,100.000,,,11.988,12.342,12.285,1.498,0.316,0.000,1.316,0.000,32.000,37.000,0.000,8192.000,131072.000,0.000
default,nvme,8,1M,994.626,916.532,0.921,1474.387,1594.127,0.925,13.722,13.400,0.322,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,nvme,8,256K,1271.347,1232.237,0.969,1149.160,1193.493,0.963,18.015,17.411,0.604,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
default,nvme,8,512K,1172.977,1088.319,0.928,1250.320,1351.337,0.925,15.486,15.107,0.379,0.000,,,,,,,,,,,,,0.000,8192.000,131072.000,0.000
throughput1m,hdd,1,1M,588.232,567.172,0.964,310.387,321.787,0.965,3.839,10.374,-6.535,100.000,0.000,0.000,18.005,35.324,37.202,18.005,0.091,0.177,0.719,0.000,256.000,289.000,1.000,524288.000,1048576.000,192.000
throughput1m,hdd,1,512K,568.167,564.873,0.994,321.280,323.277,0.994,5.428,9.958,-4.530,69.507,30.503,30.503,18.126,18.948,20.076,9.063,0.091,0.133,0.657,0.000,128.000,145.000,1.000,524288.000,1048576.000,192.000
throughput1m,hdd,4,1M,904.693,939.315,1.038,809.723,777.760,1.041,6.030,11.428,-5.397,75.803,24.407,24.407,35.663,39.264,40.118,35.663,0.093,0.244,0.868,0.000,256.000,289.000,1.000,524288.000,1048576.000,192.000
throughput1m,hdd,4,512K,916.772,996.652,1.087,797.153,734.540,1.085,7.373,11.753,-4.380,48.677,51.323,51.323,20.195,21.151,21.915,10.098,0.103,0.144,0.781,0.000,128.000,145.000,1.000,524288.000,1048576.000,192.000
throughput1m,hdd,8,1M,1268.034,1409.753,1.112,1154.383,1039.973,1.110,5.939,12.730,-6.791,80.533,20.093,20.093,29.037,38.471,39.793,29.037,0.102,0.197,0.869,0.000,256.000,289.000,1.000,524288.000,1048576.000,192.000
throughput1m,hdd,8,512K,1225.163,1468.500,1.199,1191.820,1008.053,1.182,7.551,12.748,-5.197,53.270,46.843,46.843,20.209,21.681,22.204,10.105,0.102,0.150,0.848,0.000,128.000,145.000,1.000,524288.000,1048576.000,192.000
throughput1m,nvme,1,1M,535.379,525.202,0.981,340.867,347.460,0.981,3.294,9.556,-6.262,100.000,0.000,0.000,14.504,150.616,35.934,14.504,0.090,1.200,0.629,0.000,256.000,289.000,1.000,524288.000,1048576.000,106.000
throughput1m,nvme,1,512K,515.588,522.027,1.012,355.300,349.567,1.016,5.242,9.462,-4.220,75.077,24.930,24.930,17.166,29.508,19.896,8.583,0.088,0.348,0.772,0.000,128.000,145.000,1.000,524288.000,1048576.000,96.000
throughput1m,nvme,4,1M,778.295,709.951,0.912,938.163,1028.357,0.912,5.112,11.043,-5.931,83.660,16.577,16.577,32.119,44.052,39.028,32.119,0.092,0.515,0.971,0.000,256.000,289.000,1.000,524288.000,1048576.000,192.000
throughput1m,nvme,4,512K,731.676,772.401,1.056,998.063,945.053,1.056,8.177,11.291,-3.115,45.823,54.177,54.177,21.906,27.227,23.817,10.953,0.110,0.208,1.224,0.000,128.000,145.000,1.000,524288.000,1048576.000,112.000
throughput1m,nvme,8,1M,793.012,766.015,0.966,1841.867,1906.463,0.966,6.048,11.485,-5.438,69.893,30.683,30.683,32.574,39.579,39.318,32.574,0.095,0.242,0.897,0.000,256.000,289.000,1.000,524288.000,1048576.000,192.000
throughput1m,nvme,8,512K,781.855,830.565,1.062,1867.353,1757.897,1.062,7.277,11.673,-4.396,52.017,48.117,48.117,20.081,23.873,22.316,10.040,0.095,0.204,1.032,0.000,128.000,145.000,1.000,524288.000,1048576.000,192.000
throughput512,hdd,1,1M,565.534,578.267,1.023,322.680,316.350,1.020,9.532,10.062,-0.530,0.000,,,,,,,,,,,,,1.000,524288.000,524288.000,96.000
throughput512,hdd,1,512K,600.818,598.981,0.997,304.557,305.073,0.998,5.506,10.379,-4.874,64.753,35.250,35.250,18.046,19.552,20.596,9.023,0.092,0.132,0.680,0.000,128.000,145.000,1.000,524288.000,524288.000,96.000
throughput512,hdd,4,1M,935.852,1015.885,1.086,780.233,719.837,1.084,10.972,11.176,-0.204,0.000,,,,,,,,,,,,,1.000,524288.000,524288.000,96.000
throughput512,hdd,4,512K,869.606,943.080,1.084,841.910,774.000,1.088,7.511,11.096,-3.584,47.423,52.580,52.580,20.189,21.816,22.085,10.094,0.091,0.146,0.819,0.000,128.000,145.000,1.000,524288.000,524288.000,96.000
throughput512,hdd,8,1M,1442.770,1502.708,1.042,1014.710,972.763,1.043,12.496,12.528,-0.032,0.000,,,,,,,,,,,,,1.000,524288.000,524288.000,96.000
