profile,media,jobs,recordsize,mode,iterations,sha_ok,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_async,zfs_qat_dc_async_cap_policy,zfs_qat_dc_min_buf_size,zfs_qat_dc_max_buf_size,elapsed_ms_mean,write_bw_mib_s_mean,cpu_active_s_per_gib_mean,cpu_system_s_per_gib_mean,qat_byte_share_pct_mean,qat_completion_share_pct_mean,qat_fallback_share_pct_mean,qat_cap_skip_share_pct_mean,qat_wait_ns_per_mib_mean,qat_setup_ns_per_req_mean,qat_submit_ns_per_req_mean,qat_wait_ns_per_req_mean,qat_cleanup_ns_per_req_mean,qat_page_array_alloc_ns_per_req_mean,qat_page_array_free_ns_per_req_mean,qat_buffer_list_alloc_ns_per_req_mean,qat_buffer_list_free_ns_per_req_mean,qat_req_alloc_ns_per_req_mean,qat_req_free_ns_per_req_mean,qat_src_buffers_per_req_mean,qat_dst_total_buffers_per_req_mean,qat_bound_bytes_per_req_mean,qat_scratch_bytes_per_req_mean,dc_compress_async_completions_delta_mean,dc_compress_async_cap_skips_delta_mean,dc_compress_async_submits_delta_mean,dc_compress_sync_completions_delta_mean,dc_compress_sync_submits_delta_mean,zfs_qat_dc_effective_min_buf_size_mean,zfs_qat_dc_effective_max_buf_size_mean,zfs_qat_dc_effective_async_mean,zfs_qat_dc_effective_async_max_inflight_mean,dc_compress_inflight_max_mean,dc_compress_async_inflight_max_mean
default,hdd,1,128K,qat,3,yes,balanced,131072,profile,profile,profile,profile,813.109,224.683,5.592,5.441,100.000,,,,5881725.000,6123.091,8071.588,735215.611,273.197,0.000,0.000,0.000,0.000,425.914,0.000,32.000,37.000,147511.000,32825.000,0.000,0.000,0.000,1460.000,1460.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,1,128K,sw,3,yes,balanced,131072,profile,profile,profile,profile,795.144,229.803,10.594,10.537,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,1,1M,qat,3,yes,balanced,131072,profile,profile,profile,profile,612.545,298.123,10.185,10.112,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,1,1M,sw,3,yes,balanced,131072,profile,profile,profile,profile,592.033,308.303,9.800,9.723,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,1,256K,qat,3,yes,balanced,131072,profile,profile,profile,profile,691.355,264.137,10.047,9.939,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,1,256K,sw,3,yes,balanced,131072,profile,profile,profile,profile,692.841,265.217,9.872,9.782,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,1,512K,qat,3,yes,balanced,131072,profile,profile,profile,profile,586.733,311.047,9.733,9.656,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,1,512K,sw,3,yes,balanced,131072,profile,profile,profile,profile,594.553,307.040,9.694,9.602,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,4,128K,qat,3,yes,balanced,131072,profile,profile,profile,profile,1068.864,684.617,5.148,5.067,100.000,,,,10747229.667,6128.335,8207.148,1343403.700,286.807,0.000,0.000,0.000,0.000,439.292,0.000,32.000,37.000,147511.000,32825.000,0.000,0.000,0.000,5840.000,5840.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,4,128K,sw,3,yes,balanced,131072,profile,profile,profile,profile,1066.376,684.610,12.591,12.493,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
