ratio,media,source,recordsize,jobs,qat_vs_sw_pct,cpu_s_per_gib_delta_pct,qat_share_pct,compressratio_qat,dc_fails_delta
high,hdd,mixed,128K,all,6.925600958929048,-76.10112041467448,100.01356336805556,1.88,0
high,hdd,mixed,1M,all,8.821714925722732,-83.12377838969543,100.15190972222223,1.96,0
high,hdd,mixed,512K,all,7.495969707797744,-82.07033884698664,100.08680555555556,1.96,0
high,hdd,random,128K,all,-1.7190485980531163,-89.45792189216338,100.01220703125,1.0,0
high,hdd,random,1M,all,0.568385630290838,-92.5299861024082,100.1736111111111,1.0,0
high,hdd,random,512K,all,1.2618903883450703,-92.16260548078505,100.05967881944444,1.0,0
high,hdd,tiff,128K,all,1.1156644248057042,-58.16058130343409,100.02135258133045,17.143333333333334,0
high,hdd,tiff,1M,all,5.558603188082436,-64.04827319200331,100.46660229605158,25.531666666666666,0
high,hdd,tiff,512K,all,6.532014245767461,-65.48645244632951,100.08414420776548,24.96666666666667,0
high,nvme,mixed,128K,all,6.612500052917188,-81.52714723718385,100.0094943576389,1.88,0
high,nvme,mixed,1M,all,31.64155636375963,-81.15369936895121,100.1736111111111,1.96,0
high,nvme,mixed,512K,all,24.537282204090456,-82.08335379423664,100.05425347222223,1.96,0
high,nvme,random,128K,all,-2.8910678485345023,-93.19882808817317,100.01356336805556,1.0,0
high,nvme,random,1M,all,25.96443007205751,-93.21616358035295,100.13020833333333,1.0,0
high,nvme,random,512K,all,22.291690431443424,-92.74379631991825,100.08138020833333,1.0,0
high,nvme,tiff,128K,all,7.192219856716265,-60.90651147541093,100.02848799342534,17.143333333333334,0
high,nvme,tiff,1M,all,6.316683968905156,-66.9057103267523,100.46660229605158,25.526666666666667,0
high,nvme,tiff,512K,all,8.916703838760993,-67.35268707492442,100.07843587808956,24.96666666666667,0
low,hdd,mixed,128K,all,0.8343310297215184,2.0603355833151684,0.0,1.88,0
low,hdd,mixed,1M,all,8.388053706019699,-81.48956364511913,100.16276041666667,1.86,0
low,hdd,mixed,512K,all,7.2748683314365765,-80.13161778860699,100.0705295138889,1.8500000000000003,0
low,hdd,random,128K,all,-0.4704737541009399,-0.6036447132980515,0.0,1.0,0
low,hdd,random,1M,all,-2.796484845952292,-92.67761868354462,100.14105902777777,1.0,0
low,hdd,random,512K,all,-0.6744730618977032,-92.6177690760248,100.0759548611111,1.0,0
low,hdd,tiff,128K,all,1.830400319301872,1.8777252803490796,0.0,16.89,0
low,hdd,tiff,1M,all,2.53148656451138,-67.3947640383246,100.46660229605158,21.793333333333333,0
low,hdd,tiff,512K,all,5.45915745636545,-62.5537486702358,100.10126919679321,20.383333333333333,0
low,nvme,mixed,128K,all,0.4383696550698002,-0.26709286712568897,0.0,1.88,0
low,nvme,mixed,1M,all,-3.391694363047598,-85.09984289307867,100.16276041666667,1.86,0
low,nvme,mixed,512K,all,-6.701586311886494,-85.47352760049421,100.0759548611111,1.8500000000000003,0
low,nvme,random,128K,all,3.3002041139141247,6.333008962900333,0.0,1.0,0
low,nvme,random,1M,all,-48.368931514876444,-97.05063350633145,100.16276041666667,1.0,0
low,nvme,random,512K,all,-48.19748391411048,-97.06656531507717,100.08680555555556,1.0,0
low,nvme,tiff,128K,all,-5.928514531109106,-11.081904847215275,0.0,16.89,0
low,nvme,tiff,1M,all,3.6114590353954825,-68.36301800713325,100.4323523179961,21.793333333333333,0
low,nvme,tiff,512K,all,5.884552838136977,-65.46408518544288,100.10126919679321,20.38,0
medium,hdd,mixed,128K,all,-1.3490269551079435,-2.1309465279543,0.0,1.88,0
medium,hdd,mixed,1M,all,2.0457615571818044,0.14861063020805879,0.0,1.96,0
medium,hdd,mixed,512K,all,2.270304264080053,-82.55736497659537,100.0759548611111,1.96,0
