ratio,media,source,jobs,recordsize,qat_ms,sw_ms,qat_vs_sw_pct,qat_cpu_s_per_gib,sw_cpu_s_per_gib,cpu_s_per_gib_delta_pct,qat_share_pct,compressratio_qat,compressratio_sw,dc_fails_delta,sha_ok,effective_level,effective_hufftype,effective_min_buf,effective_max_buf,stamp
high,hdd,mixed,1,128K,1469.945,1244.6665,18.099506976366754,41.15986738414079,153.399532048454,-73.16819234419847,100.0,1.88,1.88,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,1,1M,1377.2085000000002,1108.7575000000002,24.211876808048647,25.518026143280647,134.95817010460163,-81.09189971714757,100.0,1.96,1.96,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,1,512K,1413.943,1195.7245,18.249897865269126,27.949658475941543,145.09046943366573,-80.7363925521518,100.0,1.96,1.96,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,4,128K,3356.7325,3320.6025,1.088055556182955,26.332452564387207,119.4272232532128,-77.95104679897275,100.0,1.88,1.88,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,4,1M,3105.89,2955.735,5.08012389473345,16.88662619799467,103.9491183558336,-83.75491157107346,100.0,1.96,1.96,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,4,512K,3038.0875,2959.93,2.6405185257759562,17.509569937738664,104.18831603525119,-83.19430565341467,100.0,1.96,1.96,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,8,128K,6247.5605,6149.825,1.589240344237434,25.64443055741792,112.39729924385601,-77.18412210085224,100.04069010416667,1.88,1.88,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,8,1M,5566.239,5728.166,-2.8268559256138976,15.649986511434237,101.12765766271788,-84.52452388086526,100.45572916666667,1.96,1.96,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,8,512K,5625.3150000000005,5536.864,1.5974927323481474,17.366546872166403,98.0071041956386,-82.28031833539346,100.26041666666667,1.96,1.96,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,1,128K,1709.1815,1802.6640000000002,-5.185797242303629,40.16456854948096,325.1252317451059,-87.64643139694262,100.0,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,1,1M,1546.3885,1575.191,-1.8285084158048142,22.543035470980268,296.27015493413035,-92.39105421334382,100.0,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,1,512K,1637.6695,1599.349,2.3960061249921085,27.81937600858282,306.34437146807636,-90.9189204700365,100.0,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,4,128K,5120.5995,5148.432,-0.5406014879870129,25.76672996623104,277.58581642217473,-90.717562482716,100.0,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,4,1M,4923.4175,4868.4365,1.1293358761072423,18.0808750135264,272.83220205136865,-93.3728955462075,100.0,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,4,512K,5081.048,5029.1645,1.0316524742827544,20.016781821269333,279.75323037971225,-92.8448433663839,100.0,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,8,128K,9778.09,9722.743,0.5692529361312929,26.457623716757336,264.83502857688626,-90.00977179683154,100.03662109375,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,8,1M,9942.805,9709.36,2.404329430570086,22.668831792575997,277.32879248513706,-91.82600854767328,100.52083333333333,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,8,512K,9738.730500000001,9703.989,0.3580125657603477,19.510251695142717,268.1472341465337,-92.72405260593476,100.17903645833333,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,1,128K,804.278,838.7795,-4.11329795256083,14.181073395542835,34.60703644041084,-59.02257212933867,100.00993592197862,17.11,16.86,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,1,1M,546.954,582.2570000000001,-6.063130198520603,6.099676672820326,18.642242468763424,-67.28034900822244,100.2839357464224,25.46,25.17,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,1,512K,573.144,603.965,-5.103110279569185,6.865453283934416,21.865885388442923,-68.60198815656872,100.00993592197862,24.9,24.42,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,4,128K,1113.8455,1092.146,1.9868680561023842,5.127816228288078,12.317186885978426,-58.36860903583874,100.00993592197862,17.16,16.9,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,4,1M,1113.095,924.668,20.37780046459919,4.012478337751213,8.956164755307501,-55.19869891436082,100.2839357464224,25.555,25.26,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,4,512K,1077.9634999999998,1018.0875,5.881223372254336,3.7044407401671,10.861320306327498,-65.89327415370488,100.00993592197862,24.99,24.51,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,8,128K,1591.5369999999998,1508.946,5.4734231708755585,3.6649796260725584,8.541197136432181,-57.09056274512487,100.0441859000341,17.16,16.91,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,8,1M,1515.6445,1480.6835,2.3611392981687183,2.5092058189091597,8.271863026285319,-69.66577165342667,100.83193539530994,25.58,25.28,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,8,512K,1555.3065000000001,1308.9830000000002,18.81792964461723,2.6387068417990136,6.937410438350512,-61.96409502871491,100.23256077933918,25.01,24.52,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,1,128K,980.793,773.6215,26.779439299450708,21.3635818632192,89.81639230697301,-76.21416167529522,100.0,1.88,1.88,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,1,1M,1011.3705,789.48,28.105905152758776,17.2800897314304,94.6101015484416,-81.73547068588361,100.0,1.96,1.96,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,1,512K,1019.23,825.6125,23.451377007978934,18.32609938333014,101.04411471475198,-81.86326889491306,100.0,1.96,1.96,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,4,128K,1379.75,1290.4995,6.9159654846824905,7.484891347733332,44.148488677632635,-83.04609835596598,100.0,1.88,1.88,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,4,1M,1705.8895,1285.1965,32.73374927491632,7.8824257209779205,43.95457737184193,-82.0668831500868,100.0,1.96,1.96,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,4,512K,1723.1005,1327.641,29.786629066140613,8.129147412866773,45.65289814460929,-82.19357862644988,100.0,1.96,1.96,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,8,128K,1674.1754999999998,1943.5045,-13.857904625381634,4.751906521924799,32.37254129335669,-85.3211816802904,100.02848307291667,1.88,1.88,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,8,1M,2506.3895,1869.254,34.085014663603786,6.66711156442816,32.776302767211945,-79.65874427088322,100.52083333333333,1.96,1.96,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,8,512K,2362.33,1962.4945,20.37384053815182,5.9331811593728006,33.31977546747584,-82.19321386134698,100.16276041666667,1.96,1.96,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,1,128K,640.238,706.918,-9.432494292124398,8.553941354714455,125.47758396283905,-93.18289284463131,100.0,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,1,1M,740.8005,712.2405,4.009881493680865,7.35251995126528,129.61401575563008,-94.3273727702971,100.0,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,1,512K,721.7835,704.1030000000001,2.5110672728279724,8.75413889980672,126.87093149195778,-93.09996482499095,100.0,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,4,128K,1490.9695000000002,1538.6615000000002,-3.0995771324622083,4.863330353979947,76.86386789315478,-93.67280038425824,100.0,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,4,1M,1877.135,1409.8935000000001,33.14019817808933,5.516085038353066,77.62747825941504,-92.89415917915117,100.0,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,4,512K,1854.6565,1434.433,29.295442868366813,5.2721021571374935,78.28424018839425,-93.2654361280764,100.0,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,8,128K,2469.6594999999998,2377.8995,3.8588678789831006,4.542737784610666,62.5789642770656,-92.74079103562997,100.04069010416667,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,8,1M,3270.3395,2323.6215,40.74321054440234,4.90496297248992,64.7687347463024,-92.42695879161059,100.390625,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,8,512K,3213.3405000000002,2379.044,35.06856115313548,5.3858328830560005,66.21373176587349,-91.86598800668739,100.244140625,1.0,1.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,1,128K,563.0125,552.221,1.9541994962161964,8.038574077209539,19.22301112356442,-58.18254473485946,100.00993592197862,17.11,16.86,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,1,1M,518.6534999999999,523.9375,-1.0085172372659152,6.346377618317048,17.828300762222305,-64.40279024367341,100.2839357464224,25.45,25.17,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,1,512K,511.6365,523.633,-2.2910129804653305,5.403435119186794,17.561162059421083,-69.23076558997985,100.00993592197862,24.9,24.42,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,4,128K,827.263,779.2515,6.161232926725206,2.7662048435900153,7.71426606968602,-64.14169775061177,100.00993592197862,17.16,16.9,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,4,1M,800.9815,715.8534999999999,11.891818647251155,2.285832347177099,7.046914849546045,-67.56265123134914,100.2839357464224,25.555,25.26,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,4,512K,838.1990000000001,756.685,10.772514322340225,2.44435820488804,7.697963734999282,-68.24669108566191,100.00993592197862,24.99,24.51,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,8,128K,963.713,849.3765,13.461227147207394,1.7809001590001454,4.496688010769774,-60.39529194076157,100.06559213631876,17.16,16.91,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,8,1M,946.6415,875.9784999999999,8.06675049673023,1.4718614914928074,4.710211426436504,-68.75168950523438,100.83193539530994,25.575,25.28,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,8,512K,978.519,827.3699999999999,18.26861017440808,1.497205159373574,4.2270771149959385,-64.58060454913152,100.21543579031145,25.01,24.52,0,yes,4,dynamic,8192,1048576,20260524T090352Z
low,hdd,mixed,1,128K,1306.5035,1233.8719999999998,5.886469585175788,160.26640713575168,148.6598888076629,7.807431057011868,0.0,1.88,1.88,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,1,1M,1390.365,1179.591,17.868396757859305,28.391170842086396,141.37083401247745,-79.91723608309435,100.0,1.86,1.96,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,1,512K,1335.5369999999998,1173.161,13.840896518039703,30.117110099865595,143.11703656686421,-78.9563067945479,100.0,1.85,1.96,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,4,128K,3255.1055,3442.935,-5.455505259320894,112.47596339374337,118.3463657821056,-4.960357125938758,0.0,1.88,1.88,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,4,1M,3221.76,3064.487,5.13211509789404,20.5528878399488,108.36724898475309,-81.03404115865254,100.0,1.86,1.96,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,4,512K,3129.922,2972.751,5.287055659892127,18.581727606766936,105.09283794660865,-82.31874981223059,100.0,1.85,1.96,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,8,128K,6226.529,6100.1325,2.0720287633096617,116.44537065841386,112.68841462032002,3.3339328188723947,0.0,1.88,1.88,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,8,1M,5729.387,5608.048500000001,2.1636492623057544,16.523549663461548,100.24852505735811,-83.5174136936105,100.48828125,1.86,1.96,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,8,512K,5798.1,5645.851000000001,2.696652816377899,22.274288955072006,106.67659073059157,-79.11979675904244,100.21158854166667,1.85,1.96,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,random,1,128K,1733.038,1809.2485,-4.212273770021084,315.7705721562863,330.08434023533823,-4.33639719740923,0.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,random,1,1M,1522.212,1624.3015,-6.28513240922329,25.052564121784318,300.75034184277416,-91.66997983500839,100.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,random,1,512K,1666.8755,1711.284,-2.595039747931962,26.752444639127898,325.21061957720065,-91.77380963945515,100.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,random,4,128K,5249.326,5078.0175,3.373531107366213,283.67233847902804,275.2558869212544,3.0576826718992014,0.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,random,4,1M,4838.206,4898.798000000001,-1.2368748415427733,18.067666435422723,272.7782259779474,-93.37642644655831,100.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,random,4,512K,4933.356,4993.313,-1.2007458775366242,19.060751042688,283.1378163748992,-93.26803064079229,100.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,random,8,128K,9742.7485,9798.8645,-0.5726785996479489,260.66847799317543,262.06322990481743,-0.5322196143841256,0.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,random,8,1M,9474.6195,9557.526,-0.8674472870908134,19.036140715367043,271.41946786677886,-92.98644976906719,100.42317708333333,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,random,8,512K,9733.0425,9563.5415,1.7723664397754766,19.140275684851204,266.2612183311203,-92.81146694782697,100.22786458333333,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,tiff,1,128K,835.5899999999999,803.5135,3.9920300032295533,30.48158303411237,29.369716092576812,3.785759923694258,0.0,16.86,16.86,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,tiff,1,1M,567.429,570.845,-0.5984111273638296,6.351579216038579,20.22213815176258,-68.59096121106772,100.2839357464224,21.74,25.17,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,tiff,1,512K,637.9655,588.5125,8.403050062657966,8.215905918888437,20.127615707009056,-59.18092814129293,100.00993592197862,20.34,24.42,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,tiff,4,128K,1073.926,1053.0884999999998,1.9787035942373403,11.801686937983021,11.621498046637456,1.5504790399865975,0.0,16.9,16.9,0,yes,1,static,524288,1048576,20260524T083200Z
