ratio,media,source,jobs,recordsize,mode,iters,source_bytes,elapsed_ms,write_bw_mib_s,cpu_active_pct,cpu_system_pct,cpu_iowait_pct,cpu_active_s_per_gib_calc,compressratio,qat_byte_share_pct_calc,comp_requests_delta,comp_in_delta,dc_fails_delta,sha_ok,effective_level,effective_hufftype,effective_min_buf,effective_max_buf,stamp
high,hdd,mixed,1,128K,qat,2,201326592.0,1469.945,130.62,8.203405499999999,1.62,2.175,41.15986738414079,1.88,100.0,3072.0,402653184.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,1,128K,sw,2,201326592.0,1244.6665,154.345,36.107077000000004,8.48,1.865,153.399532048454,1.88,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,1,512K,qat,2,201326592.0,1413.943,135.79500000000002,5.7911645,1.185,2.085,27.949658475941543,1.96,100.0,768.0,402653184.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,1,512K,sw,2,201326592.0,1195.7245,160.575,35.5491365,8.68,1.7349999999999999,145.09046943366573,1.96,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,1,1M,qat,2,201326592.0,1377.2085000000002,139.43,5.4283605,1.135,1.745,25.518026143280647,1.96,100.0,384.0,402653184.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,1,1M,sw,2,201326592.0,1108.7575000000002,173.575,35.660211000000004,9.42,1.16,134.95817010460163,1.96,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,4,128K,qat,2,805306368.0,3356.7325,228.85000000000002,9.192970500000001,3.185,3.88,26.332452564387207,1.88,100.0,12288.0,1610612736.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,4,128K,sw,2,805306368.0,3320.6025,231.365,42.1471035,14.845,3.725,119.4272232532128,1.88,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,4,512K,qat,2,805306368.0,3038.0875,252.805,6.753928999999999,2.5700000000000003,3.2800000000000002,17.509569937738664,1.96,100.0,3072.0,1610612736.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,4,512K,sw,2,805306368.0,2959.93,259.62,41.249517,16.3,3.26,104.18831603525119,1.96,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,4,1M,qat,2,805306368.0,3105.89,247.47500000000002,6.3714475,2.385,3.255,16.88662619799467,1.96,100.0,1536.0,1610612736.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,4,1M,sw,2,805306368.0,2955.735,259.83500000000004,41.2132255,16.315,3.23,103.9491183558336,1.96,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,8,128K,qat,2,1610612736.0,6247.5605,245.94,9.620416500000001,3.575,6.83,25.64443055741792,1.88,100.04069010416667,24586.0,3222536192.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,8,128K,sw,2,1610612736.0,6149.825,249.765,42.8355555,16.29,6.545,112.39729924385601,1.88,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,8,512K,qat,2,1610612736.0,5625.3150000000005,273.065,7.2356560000000005,2.975,6.324999999999999,17.366546872166403,1.96,100.26041666666667,6160.0,3229614080.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,8,512K,sw,2,1610612736.0,5536.864,277.42,41.486327,17.535,5.890000000000001,98.0071041956386,1.96,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,8,1M,qat,2,1610612736.0,5566.239,275.975,6.589666,2.74,5.99,15.649986511434237,1.96,100.45572916666667,3086.0,3235905536.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,mixed,8,1M,sw,2,1610612736.0,5728.166,268.15,41.377632500000004,16.895000000000003,5.609999999999999,101.12765766271788,1.96,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,1,128K,qat,2,201326592.0,1709.1815,112.33500000000001,6.8845605,1.135,2.9050000000000002,40.16456854948096,1.0,100.0,3072.0,402653184.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,1,128K,sw,2,201326592.0,1802.6640000000002,106.83,52.839316,8.594999999999999,2.01,325.1252317451059,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,1,512K,qat,2,201326592.0,1637.6695,117.38499999999999,4.976711,0.855,2.435,27.81937600858282,1.0,100.0,768.0,402653184.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,1,512K,sw,2,201326592.0,1599.349,120.065,56.116162,10.265,2.27,306.34437146807636,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
