row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,zfs_qat_dc_poll,zfs_qat_dc_effective_poll,zfs_qat_dc_poll_interval_us,zfs_qat_dc_effective_poll_interval_us,zfs_qat_dc_poll_quota,zfs_qat_dc_effective_poll_quota,dc_poll_calls_delta,dc_poll_success_delta,dc_poll_retries_delta,dc_poll_fails_delta,dc_poll_ns_delta,zfs_qat_dc_watchdog,zfs_qat_dc_effective_watchdog,zfs_qat_dc_watchdog_timeout_ms,zfs_qat_dc_effective_watchdog_timeout_ms,zfs_qat_dc_watchdog_interval_ms,zfs_qat_dc_effective_watchdog_interval_ms,dc_watchdog_checks_delta,dc_watchdog_stalls_delta,dc_watchdog_runtime_disables_delta,dc_watchdog_last_progress_ns,dc_watchdog_last_stall_ns,dc_watchdog_health,dc_watchdog_request_timeouts_delta,dc_watchdog_request_recoveries_delta,dc_watchdog_request_unrecoverable_delta,dc_watchdog_late_completions_delta,zfs_qat_dc_quarantine_dst,zfs_qat_dc_effective_quarantine_dst,dc_compress_quarantine_dst_requests_delta,dc_compress_quarantine_dst_success_delta,dc_compress_quarantine_dst_fails_delta,dc_compress_quarantine_dst_copy_bytes_delta,dc_compress_quarantine_dst_retained_delta,dc_compress_quarantine_dst_retained_bytes_delta,dc_compress_quarantine_dst_retained_released_delta
raw,qat,sw,64K,1,1,Image.tif_,191346108,925.498,,,,,,197.17,0.02,1.97,1.56,96.45,11.57x,20.3M,183M,2920,191365120,6957972,0,0,0,0,2920,0,2920,0,646850,215446360,167444480,48007720,119436760,0,0,46720,40880,14600,55480,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605640,483930,12204733,17932488,1144151895,1103690,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,2920,2920,0,0,0,2920,2920,0,8283424,1943633,1125713777,2153114,4358357,1143347213,385518,391557,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.99,6.614374,6.547898,100.01,na,na,na,6440509,6269325,1,1,10,10,0,0,22896,2290,20606,0,11884397,profile,1,profile,5000,profile,250,6,0,0,99881535395,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,64K,2,1,Image.tif_,191346108,923.975,,,,,,197.50,0.02,1.85,1.62,96.51,11.57x,20.3M,183M,2920,191365120,6957962,0,0,0,0,2920,0,2920,0,647970,215446360,167444480,48007720,119436760,0,0,46720,40880,14600,55480,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633650,464400,11991220,17960958,1120659011,1093481,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,2920,2920,0,0,0,2920,2920,0,8166887,1926005,1102160339,2208448,4390683,1119771075,377452,383483,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.87,6.205289,6.138923,100.01,na,na,na,6310711,6140597,1,1,10,10,0,0,22116,2363,19753,0,12110318,profile,1,profile,5000,profile,250,5,0,0,101811861595,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,64K,3,1,Image.tif_,191346108,808.706,,,,,,225.65,0.02,2.21,0.67,97.10,11.57x,20.3M,183M,2920,191365120,6957975,0,0,0,0,2920,0,2920,0,633830,215446360,167444480,48007720,119436760,0,0,46720,40880,14600,55480,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603000,489410,12004951,18098027,1189181155,1059330,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,2920,2920,0,0,0,2920,2920,0,8225142,1959880,1170503840,2276891,4783198,1188686270,400857,407084,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,2.23,6.476729,6.418642,100.01,na,na,na,6686813,6516061,1,1,10,10,0,0,19644,2303,17341,0,12389337,profile,1,profile,5000,profile,250,5,0,0,103793677380,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
summary,qat,sw,64K,,1,Image.tif_,191346108,,886.060,923.975,925.498,925.498,925.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,,,,,,,,,,,1,1,10,10,0,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,,,,,profile,0,,,,,,,
raw,qat,sw,128K,1,1,Image.tif_,191346108,739.938,,,,,,246.62,0.02,1.78,0.69,97.50,16.88x,13.0M,183M,1460,191365120,6953470,0,0,0,0,1460,0,1460,0,343610,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334630,275590,9042495,11969578,1126905254,540220,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,1460,1460,0,0,0,1460,1460,0,6185806,925109,1114749411,1062981,2109790,1125482748,763526,770878,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.80,4.783305,4.730157,100.01,na,na,na,6292918,6174823,1,1,10,10,0,0,20016,1267,18749,0,6907344,profile,1,profile,5000,profile,250,5,0,0,105706870812,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,128K,2,1,Image.tif_,191346108,902.688,,,,,,202.15,0.03,1.48,1.72,96.76,16.88x,13.0M,183M,1460,191365120,6953472,0,0,0,0,1460,0,1460,0,369400,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339910,285901,8980684,11919098,1055330533,549620,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,1460,1460,0,0,0,1460,1460,0,6046034,944274,1043045724,1205801,2453245,1054168038,714414,722032,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.51,4.895249,4.797993,100.01,na,na,na,5900164,5782633,1,1,10,10,0,0,21768,1249,20519,0,7589024,profile,1,profile,5000,profile,250,5,0,0,107539195926,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,128K,3,1,Image.tif_,191346108,844.388,,,,,,216.11,0.04,1.58,1.16,97.22,16.88x,13.0M,183M,1460,191365120,6953476,0,0,0,0,1460,0,1460,0,347640,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325960,277981,8941234,11920014,1125046214,569610,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,1460,1460,0,0,0,1460,1460,0,6174381,919332,1112770385,1204714,2270754,1123807464,762171,769731,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.62,4.912666,4.791366,100.01,na,na,na,6282066,6164637,1,1,10,10,0,0,19620,1238,18382,0,7348371,profile,1,profile,5000,profile,250,5,0,0,109506895104,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
summary,qat,sw,128K,,1,Image.tif_,191346108,,829.005,844.388,902.688,902.688,902.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,,,,,,,,,,,1,1,10,10,0,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,,,,,profile,0,,,,,,,
raw,qat,sw,256K,1,1,Image.tif_,191346108,685.846,,,,,,266.07,0.05,1.56,1.40,96.99,21.63x,9.52M,183M,730,191365120,7005038,0,0,0,0,730,0,730,0,240322,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200740,186930,8069702,8983988,1058143498,578420,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,730,730,0,0,0,730,730,0,5076007,517803,1049121995,453790,956332,1056357874,1437153,1447065,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.61,3.965635,3.842478,100.01,na,na,na,5894661,5798047,1,1,10,10,0,0,22152,606,21546,0,4573972,profile,1,profile,5000,profile,250,4,0,0,111452665992,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,256K,2,1,Image.tif_,191346108,733.378,,,,,,248.82,0.13,1.59,1.50,96.79,21.63x,9.52M,183M,730,191365120,7005039,0,0,0,0,730,0,730,0,243061,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200550,193110,8011210,8843423,1061690737,597351,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,730,730,0,0,0,730,730,0,5042628,499427,1052830644,437170,979879,1060022580,1442233,1452085,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.72,4.530191,4.187793,100.01,na,na,na,5913111,5817483,1,1,10,10,0,0,22272,624,21648,0,4577823,profile,1,profile,5000,profile,250,4,0,0,113211444641,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
