row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,zfs_qat_dc_poll,zfs_qat_dc_effective_poll,zfs_qat_dc_poll_interval_us,zfs_qat_dc_effective_poll_interval_us,zfs_qat_dc_poll_quota,zfs_qat_dc_effective_poll_quota,dc_poll_calls_delta,dc_poll_success_delta,dc_poll_retries_delta,dc_poll_fails_delta,dc_poll_ns_delta,zfs_qat_dc_watchdog,zfs_qat_dc_effective_watchdog,zfs_qat_dc_watchdog_timeout_ms,zfs_qat_dc_effective_watchdog_timeout_ms,zfs_qat_dc_watchdog_interval_ms,zfs_qat_dc_effective_watchdog_interval_ms,dc_watchdog_checks_delta,dc_watchdog_stalls_delta,dc_watchdog_runtime_disables_delta,dc_watchdog_last_progress_ns,dc_watchdog_last_stall_ns,dc_watchdog_health,dc_watchdog_request_timeouts_delta,dc_watchdog_request_recoveries_delta,dc_watchdog_request_unrecoverable_delta,dc_watchdog_late_completions_delta,zfs_qat_dc_quarantine_dst,zfs_qat_dc_effective_quarantine_dst,dc_compress_quarantine_dst_requests_delta,dc_compress_quarantine_dst_success_delta,dc_compress_quarantine_dst_fails_delta,dc_compress_quarantine_dst_copy_bytes_delta,dc_compress_quarantine_dst_retained_delta,dc_compress_quarantine_dst_retained_bytes_delta,dc_compress_quarantine_dst_retained_released_delta
raw,qat,sw,64K,1,4,Image.tif_,765384432,1334.608,,,,,,546.92,0.06,12.94,4.25,82.75,11.56x,81.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,11680,0,0,0,11680,0,0,0,0,0,0,0,768,11680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,13.00,15.577483,15.505587,0.00,0.00,100.00,100.00,na,na,1,1,10,10,0,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,124900669435,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,64K,2,4,Image.tif_,765384432,1223.634,,,,,,596.52,0.09,13.09,5.48,81.34,11.56x,81.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,11680,0,0,0,11680,0,0,0,0,0,0,0,768,11680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,13.18,14.479953,14.381077,0.00,0.00,100.00,100.00,na,na,1,1,10,10,0,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,124900669435,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,64K,3,4,Image.tif_,765384432,1246.831,,,,,,585.43,0.06,11.96,4.24,83.74,11.56x,81.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,11680,0,0,0,11680,0,0,0,0,0,0,0,768,11680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,12.02,13.455885,13.388718,0.00,0.00,100.00,100.00,na,na,1,1,10,10,0,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,124900669435,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
summary,qat,sw,64K,,4,Image.tif_,765384432,,1268.358,1246.831,1334.608,1334.608,1334.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,,,,,,,,,,,1,1,10,10,0,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,,,,,profile,0,,,,,,,
raw,qat,sw,128K,1,4,Image.tif_,765384432,1272.408,,,,,,573.66,0.12,8.09,3.72,88.07,16.92x,51.9M,730M,3708,486014976,18343438,0,0,0,0,2214,1494,3708,0,1087751,546970788,425263104,121715100,303548004,0,0,118656,103824,33372,137196,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430032,0,42966633,31405902,66652678256,9682833,0,0,0,0,0,768,0,0,5840,0,3708,3708,2132,0,0,0,0,0,0,0,768,2132,3708,3708,0,0,0,3708,3708,0,15839067,2945654,66652403510,2698866,12802388,66687734759,17975297,17984825,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,8.21,9.379286,9.242195,63.50,63.49,36.51,36.51,143984323,143802974,1,1,10,10,0,0,32796,3286,29510,0,22624772,profile,1,profile,5000,profile,250,6,0,0,134090428967,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,128K,2,4,Image.tif_,765384432,1107.323,,,,,,659.18,0.10,7.98,3.05,88.87,16.91x,51.9M,730M,4303,564002816,20927545,0,0,0,0,2640,1663,4303,0,1164180,634739833,493502464,141245975,352256489,0,0,137696,120484,38727,159211,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5404544,0,49343961,35062287,75884673515,11149645,0,0,0,0,0,768,0,0,5840,0,4303,4303,1537,0,0,0,0,0,0,0,768,1537,4303,4303,0,0,0,4303,4303,0,18130872,2962332,75884735603,2673261,13255746,75922845951,17635309,17644165,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,8.08,8.033150,7.933730,73.69,73.68,26.32,26.32,141260013,141082358,1,1,10,10,0,0,43884,3893,39991,0,24295820,profile,1,profile,5000,profile,250,6,0,0,136452196243,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,128K,3,4,Image.tif_,765384432,1190.182,,,,,,613.29,0.07,8.28,3.91,87.74,16.91x,51.9M,730M,3792,497025024,18826544,0,0,0,0,2325,1467,3792,0,1124810,559361712,434896896,124472400,310424496,0,0,121344,106176,34128,140304,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2628492,0,42366457,31699418,67508413585,10283238,0,0,0,0,0,768,0,0,5840,0,3792,3792,2048,0,0,0,0,0,0,0,768,2048,3792,3792,0,0,0,3792,3792,0,16030632,2898122,67508372090,2483258,13936907,67544697288,17802840,17812420,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,8.35,8.922778,8.847976,64.94,64.93,35.07,35.07,142600765,142422813,1,1,10,10,0,0,33492,3082,30410,0,23536081,profile,1,profile,5000,profile,250,7,0,0,138622401238,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
summary,qat,sw,128K,,4,Image.tif_,765384432,,1189.971,1190.182,1272.408,1272.408,1272.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,,,,,,,,,,,1,1,10,10,0,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,,,,,profile,0,,,,,,,
raw,qat,sw,256K,1,4,Image.tif_,765384432,986.551,,,,,,739.88,0.06,9.34,2.60,87.99,21.65x,37.9M,730M,1346,352845824,13509379,0,0,0,0,1346,0,1346,0,443730,397025582,308740096,88288178,220451918,0,0,86144,75376,22882,98258,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6800411,0,27617285,18253974,13587326629,3664311,0,0,0,0,0,768,0,0,2920,0,1346,1346,1574,0,0,0,0,0,0,0,768,1574,1346,1346,0,0,0,1346,1346,0,10339877,1152611,13587132299,960691,5052941,13605026072,10094451,10107745,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,9.40,8.326215,8.273069,46.10,46.10,53.90,53.90,40525593,40378385,1,1,10,10,0,0,26784,1193,25591,0,10650689,profile,1,profile,5000,profile,250,6,0,0,140861978936,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,256K,2,4,Image.tif_,765384432,1017.278,,,,,,717.53,0.05,8.92,3.18,87.85,21.66x,37.9M,730M,1392,364904448,14004003,0,0,0,0,1392,0,1392,0,450481,410594064,319291392,91305456,227985936,0,0,89088,77952,23664,101616,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3447560,0,25105067,18897539,14080016177,3637653,0,0,0,0,0,768,0,0,2920,0,1392,1392,1528,0,0,0,0,0,0,0,768,1528,1392,1392,0,0,0,1392,1392,0,10713091,1207183,14079807420,1008663,5106917,14098237978,10114804,10128044,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,8.97,8.192799,8.147132,47.68,47.67,52.33,52.33,40596714,40459817,1,1,10,10,0,0,29016,1261,27755,0,11037326,profile,1,profile,5000,profile,250,6,0,0,142946507760,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
