row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,zfs_qat_dc_poll,zfs_qat_dc_effective_poll,zfs_qat_dc_poll_interval_us,zfs_qat_dc_effective_poll_interval_us,zfs_qat_dc_poll_quota,zfs_qat_dc_effective_poll_quota,dc_poll_calls_delta,dc_poll_success_delta,dc_poll_retries_delta,dc_poll_fails_delta,dc_poll_ns_delta,zfs_qat_dc_watchdog,zfs_qat_dc_effective_watchdog,zfs_qat_dc_watchdog_timeout_ms,zfs_qat_dc_effective_watchdog_timeout_ms,zfs_qat_dc_watchdog_interval_ms,zfs_qat_dc_effective_watchdog_interval_ms,dc_watchdog_checks_delta,dc_watchdog_stalls_delta,dc_watchdog_runtime_disables_delta,dc_watchdog_last_progress_ns,dc_watchdog_last_stall_ns,dc_watchdog_health,zfs_qat_dc_quarantine_dst,zfs_qat_dc_effective_quarantine_dst,dc_compress_quarantine_dst_requests_delta,dc_compress_quarantine_dst_success_delta,dc_compress_quarantine_dst_fails_delta,dc_compress_quarantine_dst_copy_bytes_delta
raw,qat,sw,128K,1,12,Image.tif_,2296153296,1843.478,,,,,,1187.85,0.14,17.31,4.94,77.61,16.92x,156M,2.14G,11695,1532887040,58936928,0,0,0,0,6805,4890,11695,0,2661640,1725141145,1341276160,383888375,957387785,0,0,374240,327460,105255,432715,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14990189,0,147485951,96594143,219284059848,46093392,0,0,0,0,0,768,0,0,17531,0,11695,11695,5836,0,0,0,0,0,0,0,768,5836,11695,11695,0,0,0,11695,11695,0,47548652,8702047,219284624855,7711029,40883936,219392498876,18750288,18759512,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,17.45,9.627474,9.550234,66.76,66.71,33.29,33.29,150200416,150001922,1,1,profile,0,profile,0,1330632,10971,1319661,0,221574553,profile,1,profile,5000,profile,250,9,0,0,132036292907,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,2,12,Image.tif_,2296153296,1867.896,,,,,,1172.33,0.13,17.80,4.73,77.34,16.92x,156M,2.14G,11335,1485701120,56064056,0,0,0,0,6555,4780,11335,0,2711891,1672037185,1299988480,372071375,927917105,0,0,362720,317380,102015,419395,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11214094,0,140659747,97578585,212771724384,43308517,0,0,0,0,0,768,0,0,17528,0,11335,11335,6193,0,0,0,0,0,0,0,768,6193,11335,11335,0,0,0,11335,11335,0,47856097,9059678,212771755715,7914179,43770559,212883421288,18771217,18781069,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,17.93,10.023328,9.950655,64.70,64.67,35.33,35.33,150368431,150169722,1,1,profile,0,profile,0,1244340,10554,1233786,0,216527267,profile,1,profile,5000,profile,250,8,0,0,134835678732,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,3,12,Image.tif_,2296153296,1944.027,,,,,,1126.42,0.13,17.84,4.22,77.81,16.92x,155M,2.14G,11888,1558183936,60199862,0,0,0,0,7336,4552,11888,0,2729750,1753610768,1363410944,390223600,973187344,0,0,380416,332864,106992,439856,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14190331,0,145464124,98411824,212172694282,45266990,0,0,0,0,0,768,0,0,17531,0,11888,11888,5643,0,0,0,0,0,0,0,768,5643,11888,11888,0,0,0,11888,11888,0,48934580,8812886,212172656604,8228489,45671679,212287384006,17847632,17857283,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,17.97,10.455128,10.379492,67.86,67.81,32.19,32.19,142975664,142781086,1,1,profile,0,profile,0,1352712,11111,1341601,0,227447717,profile,1,profile,5000,profile,250,9,0,0,137762399488,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,4,12,Image.tif_,2296153296,1793.605,,,,,,1220.88,0.17,17.50,4.56,77.77,16.93x,155M,2.14G,12475,1635123200,62227981,0,0,0,0,7708,4767,12475,0,2825522,1840199725,1430732800,409491875,1021240925,0,0,399200,349300,112275,461575,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8658433,0,147979663,104050247,222066130591,45337878,0,0,0,0,0,768,0,0,17528,0,12475,12475,5053,0,0,0,0,0,0,0,768,5053,12475,12475,0,0,0,12475,12475,0,51138056,9091690,222066637032,8451696,42348962,222181034640,17800932,17810102,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,17.67,9.485109,9.393854,71.21,71.17,28.83,28.83,142597835,142407138,1,1,profile,0,profile,0,1464948,11667,1453281,0,234712083,profile,1,profile,5000,profile,250,8,0,0,140765737800,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,5,12,Image.tif_,2296153296,1784.221,,,,,,1227.30,0.13,17.85,4.96,77.06,16.92x,156M,2.14G,11697,1533149184,58483007,0,0,0,0,6938,4759,11697,0,2737661,1725436167,1341505536,383954025,957551511,0,0,374304,327516,105273,432789,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12733806,0,143005300,98480164,218012806044,44796439,0,0,0,0,0,768,0,0,17531,0,11697,11697,5834,0,0,0,0,0,0,0,768,5834,11697,11697,0,0,0,11697,11697,0,48625886,8933774,218012818554,8312850,43805814,218125591701,18638353,18647994,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,17.98,9.601018,9.531601,66.77,66.72,33.28,33.28,149302616,149106818,1,1,profile,0,profile,0,1334256,10932,1323324,0,222300619,profile,1,profile,5000,profile,250,8,0,0,143594161719,0,1,profile,0,0,0,0,0
summary,qat,sw,128K,,12,Image.tif_,2296153296,,1846.645,1843.478,1944.027,1944.027,1944.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,,,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,,,,,,,,,,,1,1,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,profile,0,,,,
raw,qat,sw,1M,1,12,Image.tif_,2296153296,1426.580,,,,,,1534.99,0.20,17.51,2.91,79.38,25.30x,92.1M,2.14G,1308,1371537408,53157681,0,0,0,0,1308,0,1308,0,431400,1543051524,1200095232,342958908,857136324,0,0,334848,292992,85020,378012,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4121712,0,66103471,52736309,46728071607,5198663,0,0,0,0,0,768,0,0,2208,0,1308,1308,900,0,0,0,0,0,0,0,768,900,1308,1308,0,0,0,1308,1308,0,34780818,1225862,46728481833,862068,4354426,46770127482,35725139,35756978,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,17.71,7.561251,7.475861,59.73,59.24,40.76,40.76,35819656,35724825,1,1,profile,0,profile,0,1514400,1183,1513217,0,186828278,profile,1,profile,5000,profile,250,7,0,0,146306059412,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,2,12,Image.tif_,2296153296,1475.262,,,,,,1484.33,0.13,15.53,4.61,79.73,25.27x,92.1M,2.14G,1486,1558183936,59096758,0,0,0,0,1486,0,1486,0,511040,1753038658,1363410944,389630686,973780258,0,0,380416,332864,96590,429454,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994640,0,71775653,59055756,47620710781,6035852,0,0,0,0,0,768,0,0,2208,0,1486,1486,722,0,0,0,0,0,0,0,768,722,1486,1486,0,0,0,1486,1486,0,38742445,1444284,47621125194,944952,4506468,47667242808,32046517,32077552,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,15.66,6.914167,6.856770,67.86,67.30,32.70,32.70,32138343,32046239,1,1,profile,0,profile,0,1720752,1343,1719409,0,209566322,profile,1,profile,5000,profile,250,8,0,0,148745409815,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,3,12,Image.tif_,2296153296,1599.694,,,,,,1368.88,0.15,14.12,4.49,81.25,25.25x,92.2M,2.14G,1474,1545601024,60105627,0,0,0,0,1474,0,1474,0,491301,1738882222,1352400896,386484274,965916622,0,0,377344,330176,95810,425986,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6651725,0,75753782,59139565,43207392859,6478714,0,0,0,0,0,768,0,0,2208,0,1474,1474,734,0,0,0,0,0,0,0,768,734,1474,1474,0,0,0,1474,1474,0,38812335,1524331,43207791361,921218,4469624,43254007688,29313291,29344645,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,14.27,6.831874,6.760060,67.31,66.76,33.24,33.24,29408931,29313021,1,1,profile,0,profile,0,1758816,1342,1757474,0,208227946,profile,1,profile,5000,profile,250,8,0,0,151235963433,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,4,12,Image.tif_,2296153296,1347.005,,,,,,1625.67,0.16,16.97,2.69,80.17,25.28x,92.1M,2.14G,1421,1490026496,57322236,0,0,0,0,1421,0,1421,0,486240,1676357963,1303773184,372587621,931185563,0,0,363776,318304,92365,410669,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2364460,0,68511620,55973545,47992228206,6567172,0,0,0,0,0,768,0,0,2205,0,1421,1421,784,0,0,0,0,0,0,0,768,784,1421,1421,0,0,0,1421,1421,0,36663554,1342155,47992609201,990246,5000847,48037089156,33773827,33805129,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,17.13,6.905665,6.841164,64.89,64.44,35.56,35.56,33865785,33773560,1,1,profile,0,profile,0,1573368,1296,1572072,0,200986302,profile,1,profile,5000,profile,250,7,0,0,153785676508,0,1,profile,0,0,0,0,0
