row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,sw,128K,1,8,Image.tif_,1530768864,1469.334,,,,,,993.55,0.10,8.20,3.95,87.76,16.93x,104M,1.43G,11686,1531707392,55634558,0,0,0,0,11686,0,11686,0,3018100,1723813546,1340243968,383592950,956651018,0,0,373952,327208,105174,432382,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263951,2477611,74281552,96138410,15493140448,4699401,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11686,11686,0,0,0,11686,11686,0,52429959,8619853,15362571217,8822124,19427906,15455571810,1314613,1322571,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,8.30,5.474807,5.408846,100.06,na,na,na,10726175,10606292
raw,qat,sw,128K,2,8,Image.tif_,1530768864,1615.378,,,,,,903.72,0.09,7.29,3.14,89.48,16.93x,104M,1.43G,11687,1531838464,55678415,0,0,0,0,11687,0,11687,0,3086312,1723961057,1340358656,383625775,956732881,0,0,373984,327236,105183,432419,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132431,2577582,73760595,96367508,15303467224,4664451,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11687,11687,0,0,0,11687,11687,0,52617657,8500446,15167728107,8720396,18334716,15259607085,1297829,1305690,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,7.38,5.351811,5.286545,100.07,na,na,na,10595198,10475549
raw,qat,sw,128K,3,8,Image.tif_,1530768864,1482.099,,,,,,984.99,0.10,7.78,4.21,87.92,16.93x,104M,1.43G,11684,1531445248,55647568,0,0,0,0,11684,0,11684,0,3039203,1723518524,1340014592,383527300,956487292,0,0,373888,327152,105156,432308,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2091592,2475840,73062843,94872478,15594245592,4768761,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11684,11684,0,0,0,11684,11684,0,51677073,8259011,15465041333,8859052,18701249,15556219587,1323608,1331412,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,7.88,5.242925,5.176391,100.04,na,na,na,10795583,10677334
summary,qat,sw,128K,,8,Image.tif_,1530768864,,1522.270,1482.099,1615.378,1615.378,1615.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
raw,qat,sw,256K,1,8,Image.tif_,1530768864,1435.687,,,,,,1016.83,0.16,6.92,3.00,89.92,21.71x,75.6M,1.43G,5846,1532493824,56089340,0,0,0,0,5846,0,5846,0,1762350,1724377082,1340932096,383456678,957475418,0,0,374144,327376,99382,426758,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447151,1522022,66501793,72912875,15736558779,5272861,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5846,5846,0,0,0,5846,5846,0,44065892,4203050,15657002180,4586134,9562805,15721402238,2678241,2689257,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,7.08,4.563134,4.460013,100.11,na,na,na,10866402,10767403
raw,qat,sw,256K,2,8,Image.tif_,1530768864,1426.986,,,,,,1023.03,0.11,6.69,2.88,90.33,21.71x,75.6M,1.43G,5848,1533018112,56060751,0,0,0,0,5848,0,5848,0,1804180,1724967016,1341390848,383587864,957802984,0,0,374272,327488,99416,426904,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418220,1558271,63781719,70426845,15713472503,5333230,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5848,5848,0,0,0,5848,5848,0,41672816,4213031,15632774400,4742495,9535598,15694908467,2673183,2683807,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,6.80,4.356110,4.285644,100.15,na,na,na,10843375,10747929
raw,qat,sw,256K,3,8,Image.tif_,1530768864,1465.922,,,,,,995.86,0.10,6.25,3.35,90.31,21.71x,75.6M,1.43G,5846,1532493824,56076685,0,0,0,0,5846,0,5846,0,1787881,1724377082,1340932096,383456678,957475418,0,0,374144,327376,99382,426758,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376490,1551340,63216057,70592575,14092960086,5224055,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5846,5846,0,0,0,5846,5846,0,41618460,4244333,14006916965,4606287,8945958,14068305345,2395983,2406483,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,6.35,4.178831,4.113023,100.11,na,na,na,9737936,9642805
summary,qat,sw,256K,,8,Image.tif_,1530768864,,1442.865,1435.687,1465.922,1465.922,1465.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
raw,qat,sw,512K,1,8,Image.tif_,1530768864,1487.609,,,,,,981.34,0.09,5.80,3.33,90.78,24.60x,64.3M,1.43G,2926,1534066688,56459631,0,0,0,0,2926,0,2926,0,1002441,1725985954,1342308352,383683454,958624898,0,0,374528,327712,96558,424270,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902600,994462,57651194,59465517,15877753528,3401843,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2926,2926,0,0,0,2926,2926,0,38191364,2202694,15814990445,2410460,4746954,15863545024,5404986,5421580,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,5.89,3.933456,3.873352,100.22,na,na,na,10935251,10852873
raw,qat,sw,512K,2,8,Image.tif_,1530768864,1393.354,,,,,,1047.73,0.09,6.10,3.06,90.75,24.60x,64.3M,1.43G,2928,1535115264,56429745,0,0,0,0,2928,0,2928,0,1006540,1727165712,1343225856,383945712,959280144,0,0,374784,327936,96624,424560,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862180,993850,56747225,58686261,15868661410,3273561,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2928,2928,0,0,0,2928,2928,0,37633478,2202380,15806564544,2534515,4962448,15854912221,5398416,5414929,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,6.19,3.871884,3.815588,100.28,na,na,na,10920334,10839250
