mode,recordsize,source_label,source_bytes,elapsed_seconds,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,sha_ok
qat,4K,tif,191346108,0.774,235.76,0.02,8.17,1.85,89.96,4.24x,58.8M,184M,46716,191348736,2055718,0,0,0,6071,yes
qat,8K,tif,191346108,0.606,301.13,0.00,6.23,2.74,91.03,4.43x,55.3M,183M,23358,191348736,6279394,0,0,0,0,yes
qat,16K,tif,191346108,0.656,278.17,0.02,2.97,2.31,94.69,7.79x,31.5M,183M,11679,191348736,7187954,0,0,0,0,yes
qat,32K,tif,191346108,0.418,436.56,0.04,3.47,1.81,94.68,6.92x,35.0M,183M,5840,191365120,6936932,0,0,0,0,yes
qat,64K,tif,191346108,0.314,581.15,0.05,2.83,1.70,95.42,11.64x,20.2M,183M,2920,191365120,6839283,0,0,0,0,yes
qat,128K,tif,191346108,0.296,616.49,0.05,2.36,1.69,95.90,17.11x,12.9M,183M,1460,191365120,6842055,0,0,0,0,yes
qat,256K,tif,191346108,0.293,622.81,0.05,7.37,2.39,90.19,21.53x,9.57M,183M,0,0,0,0,0,0,0,yes
qat,1M,tif,191346108,0.269,678.37,0.06,8.69,1.24,90.02,25.17x,7.76M,183M,0,0,0,0,0,0,0,yes
sw,4K,tif,191346108,0.798,228.67,0.02,7.97,1.89,90.12,5.57x,45.0M,184M,0,0,0,0,0,0,0,yes
sw,8K,tif,191346108,0.579,315.17,0.03,10.26,2.32,87.39,4.43x,55.3M,183M,0,0,0,0,0,0,0,yes
sw,16K,tif,191346108,0.498,366.43,0.06,7.72,1.77,90.46,7.82x,31.4M,183M,0,0,0,0,0,0,0,yes
sw,32K,tif,191346108,0.397,459.65,0.12,8.11,1.66,90.11,6.89x,35.1M,183M,0,0,0,0,0,0,0,yes
sw,64K,tif,191346108,0.268,680.90,0.06,8.91,1.36,89.68,11.55x,20.3M,183M,0,0,0,0,0,0,0,yes
sw,128K,tif,191346108,0.244,747.88,0.06,9.34,1.36,89.23,16.86x,13.1M,183M,0,0,0,0,0,0,0,yes
sw,256K,tif,191346108,0.270,675.86,0.06,8.43,1.74,89.77,21.53x,9.57M,183M,0,0,0,0,0,0,0,yes
sw,1M,tif,191346108,0.243,750.95,0.06,8.81,3.54,87.59,25.17x,7.76M,183M,0,0,0,0,0,0,0,yes
qat,128K,zipaes,311392448,1.323,224.46,0.00,1.15,2.56,96.28,1.00x,297M,297M,2376,311427072,96873,0,0,0,0,yes
sw,128K,zipaes,311392448,1.215,244.42,0.01,20.69,2.74,76.55,1.00x,297M,297M,0,0,0,0,0,0,0,yes
