mode,recordsize,iter,source_bytes,elapsed_seconds,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,dc_fails_delta,sha_ok
qat,128K,1,191346108,0.382,477.70,0.00,2.17,1.76,96.07,17.11x,12.9M,183M,1460,191365120,6841923,0,yes
qat,128K,2,191346108,0.338,539.89,0.00,2.03,2.03,95.94,17.11x,12.9M,183M,1460,191365120,6841960,0,yes
qat,128K,3,191346108,0.405,450.57,0.00,1.55,2.09,96.36,17.11x,12.9M,183M,1460,191365120,6841958,0,yes
qat,128K,4,191346108,0.392,465.51,0.04,1.76,3.32,94.88,17.11x,12.9M,183M,1460,191365120,6841948,0,yes
qat,128K,5,191346108,0.442,412.85,0.00,1.46,2.19,96.35,17.11x,12.9M,183M,1460,191365120,6841938,0,yes
sw,128K,1,191346108,0.248,735.81,0.00,8.99,1.22,89.79,16.86x,13.1M,183M,0,0,0,0,yes
sw,128K,2,191346108,0.315,579.31,0.00,7.38,3.06,89.57,16.86x,13.1M,183M,0,0,0,0,yes
sw,128K,3,191346108,0.240,760.34,0.00,9.45,1.64,88.91,16.86x,13.1M,183M,0,0,0,0,yes
sw,128K,4,191346108,0.274,665.99,0.00,8.21,1.61,90.18,16.86x,13.1M,183M,0,0,0,0,yes
sw,128K,5,191346108,0.252,724.13,0.06,8.54,1.56,89.83,16.86x,13.1M,183M,0,0,0,0,yes
qat,8K,1,191346108,0.591,308.77,0.03,6.42,3.34,90.22,4.44x,55.3M,183M,23358,191348736,6279291,0,yes
qat,4K,1,191346108,0.788,231.58,0.02,8.06,1.34,90.58,5.57x,45.0M,184M,0,0,0,0,yes
