row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,780.894,,,,,,233.68,0.04,2.59,1.59,95.78,17.04x,13.0M,183M,1460,191365120,5396615,0,0,0,0,215,1245,1460,0,285070,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135401,0,15587970,34897955,29035012080,4274775,0,0,0,0,0,525,0,0,1460,331,1129,1129,331,0,4265,404,331,0,0,yes,4,dynamic,1048576,48,0,0,1,8,100,1,4,2,7CFE1AB442D8522C68305E8
summary,qat,sw,128K,,1,Image.tif_,191346108,,780.894,780.894,780.894,780.894,780.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,,4,2,7CFE1AB442D8522C68305E8
raw,qat,sw,256K,1,1,Image.tif_,191346108,709.884,,,,,,257.06,0.02,1.66,1.01,97.31,21.89x,9.42M,183M,730,191365120,6812013,0,0,0,0,175,555,730,0,126510,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9511473,0,19868076,9009436,28093479656,2290872,0,0,0,0,0,525,0,0,730,16,714,714,16,0,195,18,16,0,0,yes,4,dynamic,1048576,48,0,0,1,8,100,1,4,2,7CFE1AB442D8522C68305E8
summary,qat,sw,256K,,1,Image.tif_,191346108,,709.884,709.884,709.884,709.884,709.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,,4,2,7CFE1AB442D8522C68305E8
raw,qat,sw,1M,1,1,Image.tif_,191346108,674.051,,,,,,270.72,0.02,1.40,1.03,97.54,25.47x,7.66M,183M,183,191889408,6993476,0,0,0,0,91,92,183,0,49880,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101879894,0,110311058,6283652,8631522356,746660,0,0,0,0,0,525,0,0,183,0,183,183,0,0,0,0,0,0,0,yes,4,dynamic,1048576,48,0,0,1,8,100,1,4,2,7CFE1AB442D8522C68305E8
summary,qat,sw,1M,,1,Image.tif_,191346108,,674.051,674.051,674.051,674.051,674.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,,4,2,7CFE1AB442D8522C68305E8
raw,sw,sw,128K,1,1,Image.tif_,191346108,709.321,,,,,,257.26,0.09,4.35,0.79,94.78,16.86x,13.1M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,dynamic,1048576,48,0,0,1,8,100,1,4,2,7CFE1AB442D8522C68305E8
summary,sw,sw,128K,,1,Image.tif_,191346108,,709.321,709.321,709.321,709.321,709.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,,4,2,7CFE1AB442D8522C68305E8
raw,sw,sw,256K,1,1,Image.tif_,191346108,649.872,,,,,,280.80,0.02,4.19,0.83,94.95,21.53x,9.57M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,dynamic,1048576,48,0,0,1,8,100,1,4,2,7CFE1AB442D8522C68305E8
summary,sw,sw,256K,,1,Image.tif_,191346108,,649.872,649.872,649.872,649.872,649.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,,4,2,7CFE1AB442D8522C68305E8
raw,sw,sw,1M,1,1,Image.tif_,191346108,563.668,,,,,,323.74,0.03,4.82,0.85,94.30,25.17x,7.76M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,dynamic,1048576,48,0,0,1,8,100,1,4,2,7CFE1AB442D8522C68305E8
summary,sw,sw,1M,,1,Image.tif_,191346108,,563.668,563.668,563.668,563.668,563.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,,4,2,7CFE1AB442D8522C68305E8
