row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1159.612,,,,,,629.46,0.07,13.04,2.03,84.86,17.00x,51.8M,730M,1789,234487808,8800840,0,0,0,0,1785,4,1789,0,595950,263897179,205176832,58723925,146452907,0,0,57248,50092,16101,66193,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7248230,0,28066070,14686108,11961060386,8986017,0,0,0,0,0,96,0,0,5840,0,1789,1789,4051,0,0,0,0,0,0,0,96,4051,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,128K,2,4,Image.tif_,765384432,1112.207,,,,,,656.29,0.07,13.50,2.40,84.03,16.99x,51.8M,730M,1805,236584960,9146803,0,0,0,0,1761,44,1805,0,662452,266257355,207011840,59249125,147762715,0,0,57760,50540,16245,66785,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566400,0,24635195,14706802,12087085431,9097955,0,0,0,0,0,96,0,0,5840,0,1805,1805,4035,0,0,0,0,0,0,0,96,4035,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,128K,3,4,Image.tif_,765384432,1178.331,,,,,,619.46,0.05,11.31,3.30,85.34,16.97x,51.8M,730M,1641,215089152,8428960,0,0,0,0,1637,4,1641,0,521960,242065551,188203008,53865825,134337183,0,0,52512,45948,14769,60717,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4235191,0,22049497,13023170,10455774057,5683233,0,0,0,0,0,96,0,0,5840,0,1641,1641,4199,0,0,0,0,0,0,0,96,4199,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,128K,,4,Image.tif_,765384432,,1150.050,1159.612,1178.331,1178.331,1178.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,256K,1,4,Image.tif_,765384432,997.271,,,,,,731.92,0.06,12.45,1.39,86.10,21.73x,37.8M,730M,833,218365952,8420932,0,0,0,0,823,10,833,0,346470,245707511,191070208,54638969,136431239,0,0,53312,46648,14161,60809,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13346269,0,27708769,10466594,11064420574,4071940,0,0,0,0,0,96,0,0,2920,0,833,833,2087,0,0,0,0,0,0,0,96,2087,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,256K,2,4,Image.tif_,765384432,982.024,,,,,,743.29,0.06,13.03,1.28,85.62,21.72x,37.8M,730M,829,217317376,8581249,0,0,0,0,829,0,829,0,411850,244527643,190152704,54376597,135776107,0,0,53056,46424,14093,60517,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11786378,0,26590936,10417207,11128883634,4594355,0,0,0,0,0,96,0,0,2920,0,829,829,2091,0,0,0,0,0,0,0,96,2091,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,256K,3,4,Image.tif_,765384432,966.406,,,,,,755.30,0.08,13.63,1.08,85.21,21.75x,37.8M,730M,850,222822400,9219613,0,0,0,0,849,1,850,0,377700,250721950,194969600,55754050,139215550,0,0,54400,47600,14450,62050,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5462721,0,21242624,11147758,11634743386,4504951,0,0,0,0,0,96,0,0,2920,0,850,850,2070,0,0,0,0,0,0,0,96,2070,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,256K,,4,Image.tif_,765384432,,981.900,982.024,997.271,997.271,997.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,1M,1,4,Image.tif_,765384432,947.096,,,,,,770.70,0.07,12.22,1.26,86.45,25.36x,30.7M,732M,279,292552704,11056397,0,0,0,0,279,0,279,0,200450,329137137,255983616,73154079,182829537,0,0,71424,62496,18135,80631,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13348965,0,27569067,11266712,13742991129,1916690,0,0,0,0,0,96,0,0,732,0,279,279,453,0,0,0,0,0,0,0,96,453,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,1M,2,4,Image.tif_,765384432,885.830,,,,,,824.00,0.07,11.90,1.58,86.45,25.37x,30.7M,732M,261,273678336,11095363,0,0,0,0,261,0,261,0,143480,307902483,239468544,68434461,171034083,0,0,66816,58464,16965,75429,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292770,0,12188683,9889163,12688069849,1054831,0,0,0,0,0,96,0,0,732,0,261,261,471,0,0,0,0,0,0,0,96,471,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
