row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,8K,1,1,Image.tif_,191346108,1526.686,,,,,,119.53,0.02,4.90,1.01,94.07,4.43x,55.3M,183M,23288,190775296,6269471,0,0,0,0,23288,0,23288,0,4152451,215903048,95387648,120561976,0,0,272,46576,23288,46576,69864,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33806972,0,107551286,67928457,2429888810,34449934,0,0,0,0,0,96,0,0,23358,0,23288,23288,342,0,0,0,0,0,0,0,96,70,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,8K,,1,Image.tif_,191346108,,1526.686,1526.686,1526.686,1526.686,1526.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,16K,1,1,Image.tif_,191346108,1184.087,,,,,,154.11,0.03,3.68,1.04,95.25,7.79x,31.5M,183M,11672,191234048,7186119,0,0,0,0,11672,0,11672,0,2148980,215780264,143425536,72378072,71047464,0,0,46688,35016,23344,58360,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19679136,0,59128012,37763673,3602191682,20478701,0,0,0,0,0,96,0,0,11679,0,11672,11672,7,0,0,0,0,0,0,0,96,7,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,16K,,1,Image.tif_,191346108,,1184.087,1184.087,1184.087,1184.087,1184.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,32K,1,1,Image.tif_,191346108,1055.309,,,,,,172.92,0.01,3.86,0.86,95.27,6.91x,35.0M,183M,3955,129597440,4957662,0,0,0,0,3872,83,3955,0,824420,146014645,113397760,32624795,80772965,0,0,31640,27685,11865,39550,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10327243,0,29377940,16110883,5829671235,8652903,0,0,0,0,0,96,0,0,5840,0,3955,3955,1885,0,0,0,0,0,0,0,96,1885,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,32K,,1,Image.tif_,191346108,,1055.309,1055.309,1055.309,1055.309,1055.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,64K,1,1,Image.tif_,191346108,954.536,,,,,,191.17,0.02,3.11,1.04,95.83,11.61x,20.2M,183M,1171,76742656,3274017,0,0,0,0,1165,6,1171,0,268790,86399893,67149824,19252411,47897413,0,0,18736,16394,5855,22249,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3313310,0,11017607,5903662,3286940142,2355300,0,0,0,0,0,96,0,0,2920,0,1171,1171,1749,0,0,0,0,0,0,0,96,1749,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,64K,,1,Image.tif_,191346108,,954.536,954.536,954.536,954.536,954.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,0,6,22FB20D6AB5642298B92542
raw,sw,sw,8K,1,1,Image.tif_,191346108,1521.959,,,,,,119.90,0.01,5.16,1.99,92.84,4.43x,55.3M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
summary,sw,sw,8K,,1,Image.tif_,191346108,,1521.959,1521.959,1521.959,1521.959,1521.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,0,6,22FB20D6AB5642298B92542
