row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,8K,1,4,Image.tif_,765384432,2340.462,,,,,,311.87,0.03,16.13,7.19,76.65,4.44x,221M,732M,57801,473505792,16991912,0,0,0,0,54508,3293,57801,0,11117115,535873071,236752896,299235777,0,0,646,115602,57801,115602,173403,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102564573,0,326804173,191660603,27101186227,103220072,0,0,0,0,0,96,0,0,93432,0,57801,57801,36277,0,0,0,0,0,0,0,96,35631,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,8K,2,4,Image.tif_,765384432,2347.390,,,,,,310.95,0.06,16.03,7.00,76.91,4.44x,221M,732M,55202,452214784,16287471,0,0,0,0,53990,1212,55202,0,10779951,511777742,226107392,285780754,0,0,672,110404,55202,110404,165606,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98165817,0,308600400,184795558,25935727756,94476733,0,0,0,0,0,96,0,0,93432,0,55202,55202,38902,0,0,0,0,0,0,0,96,38230,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,8K,3,4,Image.tif_,765384432,2351.610,,,,,,310.39,0.03,15.57,6.92,77.48,4.44x,221M,732M,51727,423747584,15515247,0,0,0,0,49654,2073,51727,0,10169855,479561017,211873792,267790679,0,0,545,103454,51727,103454,155181,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91526758,0,292002803,173001059,25424631748,91830503,0,0,0,0,0,96,0,0,93432,0,51727,51727,42250,0,0,0,0,0,0,0,96,41705,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,8K,,4,Image.tif_,765384432,,2346.487,2347.390,2351.610,2351.610,2351.610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,16K,1,4,Image.tif_,765384432,1752.324,,,,,,416.55,0.04,11.38,5.64,82.93,7.82x,125M,731M,12746,208830464,8530785,0,0,0,0,12021,725,12746,0,2793051,235635302,156622848,79037946,77584902,0,0,50984,38238,25492,63730,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32839824,0,90953851,48349115,12941911636,32135155,0,0,0,0,0,96,0,0,46716,0,12746,12746,33970,0,0,0,0,0,0,0,96,33970,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,16K,2,4,Image.tif_,765384432,1732.267,,,,,,421.37,0.10,11.65,5.78,82.47,7.83x,125M,731M,12606,206536704,8414535,0,0,0,0,11860,746,12606,0,2901760,233047122,154902528,78169806,76732722,0,0,50424,37818,25212,63030,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31359355,0,89378934,47414862,12533306122,30718798,0,0,0,0,0,96,0,0,46716,0,12606,12606,34110,0,0,0,0,0,0,0,96,34110,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,16K,3,4,Image.tif_,765384432,1656.838,,,,,,440.55,0.05,12.07,5.13,82.74,7.81x,125M,731M,18711,306561024,11729571,0,0,0,0,17249,1462,18711,0,3673650,345910257,229920768,116026911,113893857,0,0,74844,56133,37422,93555,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37903354,0,114312871,63580702,17036681797,40727100,0,0,0,0,0,96,0,0,46716,0,18711,18711,28005,0,0,0,0,0,0,0,96,28005,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,16K,,4,Image.tif_,765384432,,1713.810,1732.267,1752.324,1752.324,1752.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,32K,1,4,Image.tif_,765384432,1805.149,,,,,,404.36,0.03,11.00,6.42,82.54,6.90x,140M,731M,8074,264568832,9731596,0,0,0,0,7795,279,8074,0,1806612,298084006,231497728,66602426,164895302,0,0,64592,56518,24222,80740,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25230770,0,69124413,34411534,13101999474,21347920,0,0,0,0,0,96,0,0,23360,0,8074,8074,15286,0,0,0,0,0,0,0,96,15286,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,32K,2,4,Image.tif_,765384432,1724.143,,,,,,423.36,0.05,12.00,6.89,81.07,6.91x,140M,731M,8353,273711104,10147329,0,0,0,0,7749,604,8353,0,1830601,308384407,239497216,68903897,170593319,0,0,66824,58471,25059,83530,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24525818,0,68854375,35304244,12985001971,20843477,0,0,0,0,0,96,0,0,23360,0,8353,8353,15007,0,0,0,0,0,0,0,96,15007,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,0,6,22FB20D6AB5642298B92542
