row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,753.630,,,,,,242.14,0.04,3.01,1.05,95.90,16.96x,13.0M,183M,511,66977792,2951518,0,0,0,0,353,158,511,0,122820,75378121,58605568,16773575,41831993,0,0,16352,14308,4599,18907,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281210,0,4893805,3459495,3204866167,1335542,0,0,0,0,0,512,0,0,1460,0,511,511,949,0,0,0,0,0,0,0,512,949,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,7F050A1D2F91430BF9749EB
summary,qat,sw,128K,,1,Image.tif_,191346108,,753.630,753.630,753.630,753.630,753.630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,7F050A1D2F91430BF9749EB
raw,qat,sw,256K,1,1,Image.tif_,191346108,682.103,,,,,,267.53,0.05,3.04,1.43,95.48,21.71x,9.49M,183M,274,71827456,3139685,0,0,0,0,192,82,274,0,71110,80820958,62849024,17972482,44876542,0,0,17536,15344,4658,20002,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137510,0,3955773,3004476,3383570325,669420,0,0,0,0,0,512,0,0,730,0,274,274,456,0,0,0,0,0,0,0,512,456,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,7F050A1D2F91430BF9749EB
summary,qat,sw,256K,,1,Image.tif_,191346108,,682.103,682.103,682.103,682.103,682.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,7F050A1D2F91430BF9749EB
raw,qat,sw,1M,1,1,Image.tif_,191346108,599.406,,,,,,304.44,0.03,2.46,0.78,96.74,25.39x,7.69M,183M,129,135266304,4904576,0,0,0,0,94,35,129,0,38670,152181687,118358016,33823929,84534087,0,0,33024,28896,8385,37281,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98382803,0,104152113,4542293,4795562600,517672,0,0,0,0,0,512,0,0,183,0,129,129,54,0,0,0,0,0,0,0,512,54,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,7F050A1D2F91430BF9749EB
summary,qat,sw,1M,,1,Image.tif_,191346108,,599.406,599.406,599.406,599.406,599.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,7F050A1D2F91430BF9749EB
raw,sw,sw,128K,1,1,Image.tif_,191346108,692.052,,,,,,263.68,0.02,4.42,0.83,94.73,16.86x,13.1M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,7F050A1D2F91430BF9749EB
summary,sw,sw,128K,,1,Image.tif_,191346108,,692.052,692.052,692.052,692.052,692.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,7F050A1D2F91430BF9749EB
raw,sw,sw,256K,1,1,Image.tif_,191346108,601.603,,,,,,303.33,0.03,4.25,0.49,95.23,21.53x,9.57M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,7F050A1D2F91430BF9749EB
summary,sw,sw,256K,,1,Image.tif_,191346108,,601.603,601.603,601.603,601.603,601.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,7F050A1D2F91430BF9749EB
