row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,8K,1,4,Image.tif_,765384432,2422.484,,,,,,301.31,0.06,14.31,7.62,78.01,4.44x,221M,732M,30532,250118144,8366570,0,0,0,0,14785,15747,30532,0,6081384,283062172,125059072,158064164,0,0,363,61064,30532,61064,91596,16,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54955951,0,201332663,101636150,20827587880,77486498,0,0,0,0,0,96,0,0,93432,0,30532,30532,63263,0,0,0,0,0,0,0,96,62900,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,22FB20D6AB5642298B92542
summary,qat,sw,8K,,4,Image.tif_,765384432,,2422.484,2422.484,2422.484,2422.484,2422.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,22FB20D6AB5642298B92542
raw,qat,sw,16K,1,4,Image.tif_,765384432,1791.121,,,,,,407.53,0.03,10.69,5.29,83.98,7.83x,125M,731M,11957,195903488,8272396,0,0,0,0,6833,5124,11957,0,2632271,221049059,146927616,74145357,72782259,0,0,47828,35871,23914,59785,16,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27091840,0,89370129,44769557,12093756674,33616865,0,0,0,0,0,96,0,0,46716,0,11957,11957,34759,0,0,0,0,0,0,0,96,34759,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,22FB20D6AB5642298B92542
summary,qat,sw,16K,,4,Image.tif_,765384432,,1791.121,1791.121,1791.121,1791.121,1791.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,22FB20D6AB5642298B92542
raw,qat,sw,32K,1,4,Image.tif_,765384432,1790.974,,,,,,407.56,0.04,11.25,5.93,82.77,6.90x,140M,731M,8224,269484032,10451492,0,0,0,0,4976,3248,8224,0,1790230,303621856,235798528,67839776,167958752,0,0,65792,57568,24672,82240,16,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23359807,0,72307050,34066982,13765867282,24809574,0,0,0,0,0,96,0,0,23360,0,8224,8224,15136,0,0,0,0,0,0,0,96,15136,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,22FB20D6AB5642298B92542
summary,qat,sw,32K,,4,Image.tif_,765384432,,1790.974,1790.974,1790.974,1790.974,1790.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,22FB20D6AB5642298B92542
raw,qat,sw,64K,1,4,Image.tif_,765384432,1339.324,,,,,,545.00,0.05,10.04,4.00,85.91,11.59x,80.9M,730M,3040,199229440,7651594,0,0,0,0,1906,1134,3040,0,734830,224300320,174325760,49980640,124345120,0,0,48640,42560,15200,57760,16,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18280582,0,42047535,15843758,9055065801,8733725,0,0,0,0,0,96,0,0,11680,0,3040,3040,8640,0,0,0,0,0,0,0,96,8640,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,22FB20D6AB5642298B92542
summary,qat,sw,64K,,4,Image.tif_,765384432,,1339.324,1339.324,1339.324,1339.324,1339.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,22FB20D6AB5642298B92542
raw,sw,sw,8K,1,4,Image.tif_,765384432,2344.700,,,,,,311.31,0.09,14.74,8.12,77.05,4.44x,221M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,22FB20D6AB5642298B92542
summary,sw,sw,8K,,4,Image.tif_,765384432,,2344.700,2344.700,2344.700,2344.700,2344.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,22FB20D6AB5642298B92542
