row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,256K,1,4,Image.tif_,765384432,919.542,,,,,,793.79,0.07,11.68,3.02,85.24,21.72x,37.8M,730M,783,205258752,9183758,0,0,0,0,701,82,783,0,188321,230959161,179601408,51359319,128242089,0,0,50112,43848,13311,57159,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394830,0,12139972,9136659,19385921009,1845951,0,0,0,0,0,768,0,0,2920,0,783,783,2137,0,0,0,0,0,0,0,768,2137,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,qat,sw,256K,2,4,Image.tif_,765384432,965.195,,,,,,756.25,0.06,10.84,1.20,87.90,21.73x,37.8M,730M,766,200802304,8733973,0,0,0,0,708,58,766,0,186320,225944722,175702016,50244238,125457778,0,0,49024,42896,13022,55918,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2408535,0,13829176,8841382,18770857069,1957003,0,0,0,0,0,768,0,0,2920,0,766,766,2154,0,0,0,0,0,0,0,768,2154,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,qat,sw,256K,3,4,Image.tif_,765384432,952.398,,,,,,766.41,0.08,10.96,1.26,87.70,21.73x,37.8M,730M,782,204996608,8548403,0,0,0,0,719,63,782,0,208470,230664194,179372032,51293726,128078306,0,0,50048,43792,13294,57086,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736701,0,13444680,9049081,19184465262,2052242,0,0,0,0,0,768,0,0,2920,0,782,782,2138,0,0,0,0,0,0,0,768,2138,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,qat,sw,256K,4,4,Image.tif_,765384432,942.979,,,,,,774.07,0.08,11.26,1.50,87.15,21.74x,37.8M,730M,820,214958080,9021307,0,0,0,0,728,92,820,0,200800,241872940,188088320,53786260,134302060,0,0,52480,45920,13940,59860,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090972,0,13730538,9579439,20082758876,2207443,0,0,0,0,0,768,0,0,2920,0,820,820,2100,0,0,0,0,0,0,0,768,2100,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,qat,sw,256K,5,4,Image.tif_,765384432,959.103,,,,,,761.05,0.08,11.09,1.20,87.63,21.74x,37.8M,730M,800,209715200,9120641,0,0,0,0,743,57,800,0,186520,235973600,183500800,52474400,131026400,0,0,51200,44800,13600,58400,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600470,0,12700620,9277724,19833881662,2183380,0,0,0,0,0,768,0,0,2920,0,800,800,2120,0,0,0,0,0,0,0,768,2120,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,qat,sw,256K,6,4,Image.tif_,765384432,987.395,,,,,,739.25,0.06,10.67,2.27,87.00,21.76x,37.8M,730M,784,205520896,9005826,0,0,0,0,701,83,784,0,184840,231254128,179830784,51424912,128405872,0,0,50176,43904,13328,57232,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378370,0,13329743,9220259,19514055965,2045762,0,0,0,0,0,768,0,0,2920,0,784,784,2136,0,0,0,0,0,0,0,768,2136,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
summary,qat,sw,256K,,4,Image.tif_,765384432,,954.435,952.398,987.395,987.395,987.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675
raw,qat,sw,1M,1,4,Image.tif_,765384432,933.118,,,,,,782.25,0.05,10.30,0.98,88.67,25.37x,30.7M,732M,246,257949696,9664229,0,0,0,0,246,0,246,0,80130,290206938,225705984,64501446,161204538,0,0,62976,55104,15990,71094,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3846685,0,14660351,9218416,11057007263,626240,0,0,0,0,0,768,0,0,732,0,246,246,486,0,0,0,0,0,0,0,768,486,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,qat,sw,1M,2,4,Image.tif_,765384432,837.562,,,,,,871.49,0.07,11.35,1.61,86.96,25.37x,30.7M,732M,250,262144000,9701114,0,0,0,0,250,0,250,0,79790,294925750,229376000,65550250,163825750,0,0,64000,56000,16250,72250,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184700,0,10907733,9421094,11268253360,676321,0,0,0,0,0,768,0,0,732,0,250,250,482,0,0,0,0,0,0,0,768,482,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,qat,sw,1M,3,4,Image.tif_,765384432,907.173,,,,,,804.62,0.07,10.74,0.86,88.33,25.37x,30.6M,732M,251,263192576,10205255,0,0,0,0,251,0,251,0,85480,296105453,230293504,65812451,164481053,0,0,64256,56224,16315,72539,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203560,0,11158348,9366054,11553963031,653551,0,0,0,0,0,768,0,0,732,0,251,251,481,0,0,0,0,0,0,0,768,481,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,qat,sw,1M,4,4,Image.tif_,765384432,998.721,,,,,,730.86,0.08,9.86,1.48,88.59,25.39x,30.6M,732M,241,252706816,10349967,0,0,0,0,241,0,241,0,74520,284308423,221118464,63190441,157928023,0,0,61696,53984,15665,69649,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197590,0,10694568,8934310,11168055847,728321,0,0,0,0,0,768,0,0,732,0,241,241,491,0,0,0,0,0,0,0,768,491,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,qat,sw,1M,5,4,Image.tif_,765384432,950.589,,,,,,767.87,0.07,10.05,1.10,88.79,25.37x,30.6M,732M,245,256901120,10216107,0,0,0,0,245,0,245,0,77850,289027235,224788480,64239245,160549235,0,0,62720,54880,15925,70805,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200630,0,10760601,9000290,11355364839,679462,0,0,0,0,0,768,0,0,732,0,245,245,487,0,0,0,0,0,0,0,768,487,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,qat,sw,1M,6,4,Image.tif_,765384432,917.359,,,,,,795.68,0.07,10.64,1.13,88.16,25.38x,30.6M,732M,237,248512512,9877595,0,0,0,0,237,0,237,0,80050,279589611,217448448,62141637,155306811,0,0,60672,53088,15405,68493,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244410,0,10600221,8919574,10871713855,813123,0,0,0,0,0,768,0,0,732,0,237,237,495,0,0,0,0,0,0,0,768,495,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
summary,qat,sw,1M,,4,Image.tif_,765384432,,924.087,917.359,998.721,998.721,998.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675
raw,sw,sw,256K,1,4,Image.tif_,765384432,1006.592,,,,,,725.15,0.06,13.34,1.19,85.41,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,sw,sw,256K,2,4,Image.tif_,765384432,1068.540,,,,,,683.11,0.07,13.24,1.91,84.78,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,sw,sw,256K,3,4,Image.tif_,765384432,1049.931,,,,,,695.21,0.06,13.51,1.28,85.16,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,sw,sw,256K,4,4,Image.tif_,765384432,1053.643,,,,,,692.77,0.13,14.51,1.15,84.21,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,sw,sw,256K,5,4,Image.tif_,765384432,1107.785,,,,,,658.91,0.04,13.60,1.01,85.34,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,sw,sw,256K,6,4,Image.tif_,765384432,1101.538,,,,,,662.64,0.07,13.53,2.04,84.37,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
summary,sw,sw,256K,,4,Image.tif_,765384432,,1064.672,1053.643,1107.785,1107.785,1107.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675
raw,sw,sw,1M,1,4,Image.tif_,765384432,1040.254,,,,,,701.68,0.07,12.92,1.17,85.84,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,sw,sw,1M,2,4,Image.tif_,765384432,1123.044,,,,,,649.95,0.08,11.72,1.44,86.76,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,sw,sw,1M,3,4,Image.tif_,765384432,1007.254,,,,,,724.67,0.05,12.39,1.76,85.81,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,sw,sw,1M,4,4,Image.tif_,765384432,936.313,,,,,,779.58,0.07,13.50,0.81,85.62,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,sw,sw,1M,5,4,Image.tif_,765384432,929.042,,,,,,785.68,0.07,13.57,1.12,85.24,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
raw,sw,sw,1M,6,4,Image.tif_,765384432,1079.759,,,,,,676.01,0.06,11.55,2.05,86.34,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675
summary,sw,sw,1M,,4,Image.tif_,765384432,,1019.278,1007.254,1123.044,1123.044,1123.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675
