row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,8K,1,4,Image.tif_,765384432,2392.735,,,,,,305.06,0.03,15.90,7.07,76.99,4.44x,221M,732M,61116,500662272,17920489,0,0,0,0,48027,13089,61116,0,11997244,566606436,250331136,316397532,0,0,731,122232,61116,122232,183348,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112095803,0,362866662,201371052,50170397983,125751920,0,0,0,0,0,192,0,0,93432,0,61116,61116,33047,0,0,0,0,0,0,0,192,32316,yes,4,dynamic,1048576,48,0,0,1,8,100,192,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,8K,,4,Image.tif_,765384432,,2392.735,2392.735,2392.735,2392.735,2392.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,192,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,16K,1,4,Image.tif_,765384432,1705.000,,,,,,428.11,0.09,11.87,5.82,82.22,7.82x,125M,731M,14530,238059520,9871530,0,0,0,0,9989,4541,14530,0,3270062,268616110,178544640,90100530,88444110,0,0,58120,43590,29060,72650,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37309372,0,114161026,180156537,26012815915,42577724,0,0,0,0,0,192,0,0,46716,0,14530,14530,32186,0,0,0,0,0,0,0,192,32186,yes,4,dynamic,1048576,48,0,0,1,8,100,192,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,16K,,4,Image.tif_,765384432,,1705.000,1705.000,1705.000,1705.000,1705.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,192,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,32K,1,4,Image.tif_,765384432,1697.492,,,,,,430.00,0.04,11.36,6.34,82.27,6.91x,140M,731M,9131,299204608,11834254,0,0,0,0,7571,1560,9131,0,1903412,337107389,261804032,75321619,186482413,0,0,73048,63917,27393,91310,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26878317,0,75690794,36626502,28565582390,23212770,0,0,0,0,0,192,0,0,23360,0,9131,9131,14229,0,0,0,0,0,0,0,192,14229,yes,4,dynamic,1048576,48,0,0,1,8,100,192,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,32K,,4,Image.tif_,765384432,,1697.492,1697.492,1697.492,1697.492,1697.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,192,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,64K,1,4,Image.tif_,765384432,1357.764,,,,,,537.60,0.06,10.03,4.78,85.13,11.59x,80.9M,730M,3218,210894848,8766531,0,0,0,0,2758,460,3218,0,771170,237433694,184532992,52907138,131625854,0,0,51488,45052,16090,61142,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4110381,0,28424047,17095387,18606705083,8998670,0,0,0,0,0,192,0,0,11680,0,3218,3218,8462,0,0,0,0,0,0,0,192,8462,yes,4,dynamic,1048576,48,0,0,1,8,100,192,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,64K,,4,Image.tif_,765384432,,1357.764,1357.764,1357.764,1357.764,1357.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,192,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,128K,1,4,Image.tif_,765384432,1054.148,,,,,,692.43,0.06,11.11,1.98,86.85,16.99x,51.8M,730M,1505,197263360,8922106,0,0,0,0,1333,172,1505,0,403340,222004055,172605440,49401625,123203815,0,0,48160,42140,13545,55685,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024701,0,16365122,11376024,18710767173,4048322,0,0,0,0,0,192,0,0,5840,0,1505,1505,4335,0,0,0,0,0,0,0,192,4335,yes,4,dynamic,1048576,48,0,0,1,8,100,192,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,128K,,4,Image.tif_,765384432,,1054.148,1054.148,1054.148,1054.148,1054.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,192,,0,6,22FB20D6AB5642298B92542
