row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,32K,1,4,Image.tif_,765384432,1975.454,,,,,,369.50,0.04,10.08,6.66,83.22,6.91x,140M,731M,8907,291864576,11377540,0,0,0,0,4650,4257,8907,0,1961311,328837533,255381504,73473843,181907661,0,0,71256,62349,26721,89070,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30284239,0,85302199,36048354,55646326048,31007240,0,0,0,0,0,1545,0,0,23360,0,8907,8907,14453,0,0,0,0,0,0,0,1580,14453,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,32K,2,4,Image.tif_,765384432,1860.226,,,,,,392.39,0.03,11.27,6.79,81.90,6.91x,140M,731M,9765,319979520,12099780,0,0,0,0,4905,4860,9765,0,2157591,360514035,279982080,80551485,199430595,0,0,78120,68355,29295,97650,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34922066,0,98647960,40216597,62927148444,39361174,0,0,0,0,0,1545,0,0,23360,0,9765,9765,13595,0,0,0,0,0,0,0,1580,13595,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,32K,3,4,Image.tif_,765384432,1865.433,,,,,,391.29,0.08,11.43,6.49,82.00,6.91x,140M,731M,9615,315064320,11896222,0,0,0,0,4791,4824,9615,0,2121922,354976185,275681280,79314135,196367145,0,0,76920,67305,28845,96150,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33974186,0,95158143,39625554,61203102182,38239044,0,0,0,0,0,1545,0,0,23360,0,9615,9615,13745,0,0,0,0,0,0,0,1580,13745,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,32K,,4,Image.tif_,765384432,,1900.371,1865.433,1975.454,1975.454,1975.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,384,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,128K,1,4,Image.tif_,765384432,1100.197,,,,,,663.45,0.07,10.23,1.97,87.73,16.99x,51.8M,730M,1685,220856320,9108650,0,0,0,0,863,822,1685,0,416050,248556035,193249280,55310125,137939155,0,0,53920,47180,15165,62345,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5238554,0,23174493,12273363,38737158275,5643314,0,0,0,0,0,1545,0,0,5840,0,1685,1685,4155,0,0,0,0,0,0,0,1580,4155,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,128K,2,4,Image.tif_,765384432,1089.425,,,,,,670.01,0.06,10.48,2.15,87.32,16.99x,51.8M,730M,1688,221249536,9163886,0,0,0,0,904,784,1688,0,442900,248998568,193593344,55408600,138184744,0,0,54016,47264,15192,62456,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077880,0,19080533,12318738,38743017931,5294742,0,0,0,0,0,1545,0,0,5840,0,1688,1688,4152,0,0,0,0,0,0,0,1580,4152,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,128K,3,4,Image.tif_,765384432,1063.684,,,,,,686.23,0.06,10.65,2.58,86.72,17.00x,51.8M,730M,1659,217448448,9289614,0,0,0,0,871,788,1659,0,409310,244720749,190267392,54456675,135810717,0,0,53088,46452,14931,61383,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108880,0,18401148,12007828,38420924161,5428742,0,0,0,0,0,1545,0,0,5840,0,1659,1659,4181,0,0,0,0,0,0,0,1580,4181,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,128K,,4,Image.tif_,765384432,,1084.435,1089.425,1100.197,1100.197,1100.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,384,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,256K,1,4,Image.tif_,765384432,968.557,,,,,,753.62,0.08,10.69,1.19,88.04,21.76x,37.8M,730M,965,252968960,10820346,0,0,0,0,533,432,965,0,248840,284643155,221347840,63297245,158050595,0,0,61760,54040,16405,70445,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665690,0,15819214,11198003,43164537213,3407222,0,0,0,0,0,1545,0,0,2920,0,965,965,1955,0,0,0,0,0,0,0,1580,1955,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,256K,2,4,Image.tif_,765384432,971.445,,,,,,751.38,0.08,10.63,1.03,88.26,21.75x,37.8M,730M,989,259260416,10607196,0,0,0,0,555,434,989,0,251520,291722363,226852864,64871477,161981387,0,0,63296,55384,16813,72197,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597710,0,16193359,11425577,44004156116,3542452,0,0,0,0,0,1545,0,0,2920,0,989,989,1931,0,0,0,0,0,0,0,1580,1931,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
