row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,1M,1,4,Image.tif_,765384432,934.224,,,,,,781.32,0.05,9.16,0.95,89.85,25.39x,30.6M,732M,277,290455552,11413441,0,0,0,0,277,0,277,0,95800,326777731,254148608,72629677,181518931,0,0,70912,62048,18005,80053,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527361,0,13295114,10105245,12706263198,739390,0,0,0,0,0,768,0,0,732,0,277,277,455,0,0,0,0,0,0,0,768,455,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,1M,2,4,Image.tif_,765384432,882.740,,,,,,826.89,0.07,10.65,1.48,87.80,25.35x,30.7M,732M,241,252706816,10962333,0,0,0,0,241,0,241,0,91110,284308423,221118464,63190441,157928023,0,0,61696,53984,15665,69649,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180470,0,11065842,9344636,11253594606,666400,0,0,0,0,0,768,0,0,732,0,241,241,491,0,0,0,0,0,0,0,768,491,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,1M,3,4,Image.tif_,765384432,1036.366,,,,,,704.31,0.14,9.74,2.43,87.70,25.35x,30.7M,732M,232,243269632,10351753,0,0,0,0,232,0,232,0,84320,273691096,212860928,60830632,152030296,0,0,59392,51968,15080,67048,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171460,0,10202037,8702136,10848208253,730890,0,0,0,0,0,768,0,0,732,0,232,232,500,0,0,0,0,0,0,0,768,500,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,1M,4,4,Image.tif_,765384432,812.421,,,,,,898.46,0.10,11.75,0.82,87.33,25.35x,30.7M,732M,232,243269632,10049534,0,0,0,0,232,0,232,0,82980,273691096,212860928,60830632,152030296,0,0,59392,51968,15080,67048,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171270,0,10067272,8572553,10821613492,598261,0,0,0,0,0,768,0,0,732,0,232,232,500,0,0,0,0,0,0,0,768,500,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,1M,5,4,Image.tif_,765384432,1050.271,,,,,,694.99,0.03,9.04,2.22,88.70,25.37x,30.6M,732M,240,251658240,9944264,0,0,0,0,240,0,240,0,87860,283128720,220200960,62928240,157272720,0,0,61440,53760,15600,69360,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201270,0,10527864,8946005,10935422137,733892,0,0,0,0,0,768,0,0,732,0,240,240,492,0,0,0,0,0,0,0,768,492,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,1M,6,4,Image.tif_,765384432,886.710,,,,,,823.19,0.09,10.75,0.95,88.22,25.34x,30.7M,732M,242,253755392,9813891,0,0,0,0,242,0,242,0,97450,285488126,222035968,63452642,158583326,0,0,61952,54208,15730,69938,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216970,0,10878264,9082832,11026010965,840190,0,0,0,0,0,768,0,0,732,0,242,242,490,0,0,0,0,0,0,0,768,490,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
summary,qat,sw,1M,,4,Image.tif_,765384432,,933.789,886.710,1050.271,1050.271,1050.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,,0,6,DE2F1DB9C0B6720727096E0
raw,sw,sw,1M,1,4,Image.tif_,765384432,855.227,,,,,,853.49,0.07,13.20,1.23,85.49,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,sw,sw,1M,2,4,Image.tif_,765384432,924.212,,,,,,789.78,0.07,13.54,0.84,85.55,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,sw,sw,1M,3,4,Image.tif_,765384432,975.192,,,,,,748.50,0.16,13.41,0.75,85.68,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
