row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,8K,1,4,Image.tif_,765384432,2472.944,,,,,,295.17,0.04,14.94,6.84,78.18,4.43x,221M,732M,39604,324435968,11444905,0,0,0,0,34097,5507,39604,0,7631655,367168684,162217984,205029908,0,0,386,79208,39604,79208,118812,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80863048,0,264950239,132023639,23897737417,87431434,0,0,0,0,0,96,0,0,93432,0,39604,39604,54214,0,0,0,0,0,0,0,96,53828,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,8K,2,4,Image.tif_,765384432,2474.496,,,,,,294.98,0.06,15.35,7.25,77.34,4.43x,221M,732M,51833,424615936,14225315,0,0,0,0,39198,12635,51833,0,10131984,480543743,212307968,268339441,0,0,586,103666,51833,103666,155499,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96915822,0,326287357,168924292,27074433415,113322363,0,0,0,0,0,96,0,0,93432,0,51833,51833,42185,0,0,0,0,0,0,0,96,41599,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,8K,3,4,Image.tif_,765384432,2349.548,,,,,,310.67,0.03,15.65,7.41,76.90,4.43x,221M,732M,47844,391938048,14326091,0,0,0,0,36145,11699,47844,0,9066273,443561724,195969024,247688388,0,0,493,95688,47844,95688,143532,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87489054,0,289832006,153736786,25218837387,97815890,0,0,0,0,0,96,0,0,93432,0,47844,47844,46081,0,0,0,0,0,0,0,96,45588,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
summary,qat,sw,8K,,4,Image.tif_,765384432,,2432.329,2472.944,2474.496,2474.496,2474.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,16K,1,4,Image.tif_,765384432,1713.560,,,,,,425.97,0.04,12.11,5.14,82.72,7.83x,125M,731M,12611,206618624,8925697,0,0,0,0,11872,739,12611,0,2686232,233139557,154963968,78200811,76763157,0,0,50444,37833,25222,63055,4,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32882433,0,98379491,47230561,13156333730,30584935,0,0,0,0,0,96,0,0,46716,0,12611,12611,34105,0,0,0,0,0,0,0,96,34105,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,16K,2,4,Image.tif_,765384432,1644.279,,,,,,443.92,0.04,12.35,5.99,81.63,7.83x,125M,731M,13521,221528064,9253428,0,0,0,0,12004,1517,13521,0,2843164,249962727,166146048,83843721,82302327,0,0,54084,40563,27042,67605,4,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35289464,0,109112111,51476740,13111558398,34907176,0,0,0,0,0,96,0,0,46716,0,13521,13521,33195,0,0,0,0,0,0,0,96,33195,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,16K,3,4,Image.tif_,765384432,1699.745,,,,,,429.43,0.09,11.91,5.75,82.25,7.82x,125M,731M,13006,213090304,9051781,0,0,0,0,12383,623,13006,0,2823731,240441922,159817728,80650206,79167522,0,0,52024,39018,26012,65030,4,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31837503,0,99816817,48413847,12701053882,30795132,0,0,0,0,0,96,0,0,46716,0,13006,13006,33710,0,0,0,0,0,0,0,96,33710,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
summary,qat,sw,16K,,4,Image.tif_,765384432,,1685.861,1699.745,1713.560,1713.560,1713.560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,32K,1,4,Image.tif_,765384432,1812.833,,,,,,402.64,0.03,11.30,7.05,81.62,6.91x,140M,731M,8390,274923520,9949572,0,0,0,0,8033,357,8390,0,1772310,309750410,240558080,69209110,171348970,0,0,67120,58730,25170,83900,8,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24750911,0,69499938,34849911,13438041649,20369530,0,0,0,0,0,96,0,0,23360,0,8390,8390,14970,0,0,0,0,0,0,0,96,14970,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,32K,2,4,Image.tif_,765384432,1958.466,,,,,,372.70,0.04,9.96,7.44,82.55,6.90x,140M,731M,8321,272662528,10432467,0,0,0,0,7934,387,8321,0,1782010,307202999,238579712,68639929,169939783,0,0,66568,58247,24963,83210,8,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25154722,0,69737938,34387387,13125359057,20781485,0,0,0,0,0,96,0,0,23360,0,8321,8321,15039,0,0,0,0,0,0,0,96,15039,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
