row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,787.507,,,,,,231.72,0.04,1.83,0.99,97.14,17.11x,12.9M,183M,1460,191365120,6841991,0,0,0,0,483,977,1460,0,389300,215366060,167444480,47924500,119519980,0,0,389730,432190,8794970,9664340,2304724920,981280,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,128K,2,1,Image.tif_,191346108,743.295,,,,,,245.50,0.04,1.71,0.90,97.35,17.11x,12.9M,183M,1460,191365120,6841986,0,0,0,0,478,982,1460,0,408650,215366060,167444480,47924500,119519980,0,0,291670,401110,8784330,9827610,2300392840,1000630,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,128K,3,1,Image.tif_,191346108,794.168,,,,,,229.78,0.14,2.04,1.49,96.33,17.11x,12.9M,183M,1460,191365120,6842047,0,0,0,0,474,986,1460,0,409460,215366060,167444480,47924500,119519980,0,0,213230,370120,8714770,9610380,2301474390,969210,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
summary,qat,sw,128K,,1,Image.tif_,191346108,,774.990,787.507,794.168,794.168,794.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,256K,1,1,Image.tif_,191346108,657.392,,,,,,277.58,0.02,1.60,0.92,97.45,21.89x,9.42M,183M,730,191365120,6896880,0,0,0,0,241,489,730,0,227150,215325910,167444480,47882890,119561590,0,0,126480,245360,7820360,7636200,2388763610,804570,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,256K,2,1,Image.tif_,191346108,712.101,,,,,,256.26,0.02,1.44,1.20,97.34,21.89x,9.42M,183M,730,191365120,6896669,0,0,0,0,238,492,730,0,219400,215325910,167444480,47882890,119561590,0,0,124940,236010,7872980,7776550,2444261260,791530,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,256K,3,1,Image.tif_,191346108,699.437,,,,,,260.90,0.04,1.51,0.89,97.56,21.89x,9.42M,183M,730,191365120,6896699,0,0,0,0,237,493,730,0,225150,215325910,167444480,47882890,119561590,0,0,125420,253740,7925870,7934940,2499131690,814490,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
summary,qat,sw,256K,,1,Image.tif_,191346108,,689.643,699.437,712.101,712.101,712.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,1M,1,1,Image.tif_,191346108,640.501,,,,,,284.90,0.02,1.31,0.87,97.80,25.47x,7.66M,183M,183,191889408,6991968,0,0,0,0,65,118,183,0,59900,215885649,167903232,47982783,119920449,0,0,101694420,65210,6282060,5790650,2430148460,199210,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,1M,2,1,Image.tif_,191346108,622.876,,,,,,292.97,0.02,1.42,0.82,97.74,25.45x,7.66M,183M,183,191889408,6994246,0,0,0,0,60,123,183,0,69240,215885649,167903232,47982783,119920449,0,0,49895920,66960,6347010,5766960,2518936290,195190,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
