row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,865.803,,,,,,210.77,0.04,1.60,1.01,97.36,17.11x,12.9M,183M,1460,191365120,6841899,0,0,0,0,478,982,1460,0,391450,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,527340,325960,8832760,9461950,2301235130,996820,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,128K,2,1,Image.tif_,191346108,782.306,,,,,,233.26,0.04,1.51,0.89,97.55,17.11x,12.9M,183M,1460,191365120,6841982,0,0,0,0,480,980,1460,0,401090,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,284070,347400,8871350,9764250,2309755170,1042670,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,128K,3,1,Image.tif_,191346108,825.098,,,,,,221.16,0.13,2.13,3.73,94.01,17.11x,12.9M,183M,1460,191365120,6841977,0,0,0,0,474,986,1460,0,417930,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,211250,328920,8782730,9895600,2311464350,958560,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,4,2,4E6670F89115AA129322F75
summary,qat,sw,128K,,1,Image.tif_,191346108,,824.402,825.098,865.803,865.803,865.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,,4,2,4E6670F89115AA129322F75
raw,qat,sw,256K,1,1,Image.tif_,191346108,726.481,,,,,,251.19,0.02,1.43,1.03,97.52,21.89x,9.42M,183M,730,191365120,6896803,0,0,0,0,241,489,730,0,234450,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,273790,205610,7963550,7704490,2397086550,820970,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,256K,2,1,Image.tif_,191346108,696.793,,,,,,261.89,0.02,1.47,1.16,97.35,21.89x,9.42M,183M,730,191365120,6896636,0,0,0,0,233,497,730,0,226070,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,128450,207660,7921860,7796570,2444502180,839060,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,256K,3,1,Image.tif_,191346108,686.945,,,,,,265.64,0.05,1.54,0.81,97.61,21.89x,9.42M,183M,730,191365120,6896689,0,0,0,0,237,493,730,0,224910,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,130240,216250,7823960,7743790,2435823890,833110,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,4,2,4E6670F89115AA129322F75
summary,qat,sw,256K,,1,Image.tif_,191346108,,703.406,696.793,726.481,726.481,726.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,,4,2,4E6670F89115AA129322F75
raw,qat,sw,1M,1,1,Image.tif_,191346108,623.094,,,,,,292.86,0.05,1.37,0.77,97.81,25.45x,7.66M,183M,183,191889408,6994119,0,0,0,0,60,123,183,0,71690,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,96670750,58300,6466800,5798840,2402460960,196390,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,1M,2,1,Image.tif_,191346108,604.745,,,,,,301.75,0.05,1.38,0.82,97.75,25.48x,7.65M,183M,183,191889408,6992314,0,0,0,0,60,123,183,0,68660,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,7204170,59620,6226050,5767990,2668211330,189380,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,4,2,4E6670F89115AA129322F75
