row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1288.827,,,,,,566.35,0.06,4.44,2.50,93.01,17.16x,51.5M,730M,5840,765460480,27367649,0,0,0,0,1010,4830,5840,0,1745380,861464240,669777920,191698000,478079920,0,0,5840,163520,52560,216080,256,224,65,289,5840,5840,0,765460480,51910650,114854980,12509720,1711190,1560940,195303030,29366890,19064742710,18698300,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,128K,2,4,Image.tif_,765384432,1254.451,,,,,,581.87,0.05,4.49,2.24,93.22,17.16x,51.5M,730M,5840,765460480,27367579,0,0,0,0,1031,4809,5840,0,1720300,861464240,669777920,191698000,478079920,0,0,5840,163520,52560,216080,256,224,65,289,5840,5840,0,765460480,50932530,105845300,12464860,975950,1565340,184965790,29011090,19110050910,18698270,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,128K,3,4,Image.tif_,765384432,1324.483,,,,,,551.10,0.04,4.35,2.43,93.18,17.16x,51.5M,730M,5840,765460480,27367809,0,0,0,0,1087,4753,5840,0,1711730,861464240,669777920,191698000,478079920,0,0,5840,163520,52560,216080,256,224,65,289,5840,5840,0,765460480,50360860,107730270,12397650,957280,1566040,186332670,29121740,18961956020,18541150,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
summary,qat,sw,128K,,4,Image.tif_,765384432,,1289.254,1288.827,1324.483,1324.483,1324.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,1,,4,2,4E6670F89115AA129322F75
raw,qat,sw,256K,1,4,Image.tif_,765384432,1229.521,,,,,,593.67,0.06,3.79,1.69,94.46,21.96x,37.4M,730M,2920,765460480,27586632,0,0,0,0,515,2405,2920,0,904500,861303640,669777920,191531560,478246360,0,0,2920,163520,49640,213160,256,224,65,289,2920,2920,0,765460480,51681380,112469870,8791620,776100,855980,186920810,20573270,19774816750,13088300,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,256K,2,4,Image.tif_,765384432,1198.859,,,,,,608.85,0.07,3.73,1.72,94.49,21.96x,37.4M,730M,2920,765460480,27586875,0,0,0,0,531,2389,2920,0,905980,861303640,669777920,191531560,478246360,0,0,2920,163520,49640,213160,256,224,65,289,2920,2920,0,765460480,53989350,110232780,8632890,596840,838230,187035860,20834860,19809670380,12856370,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,256K,3,4,Image.tif_,765384432,1181.384,,,,,,617.86,0.07,3.77,1.61,94.55,21.96x,37.4M,730M,2920,765460480,27586946,0,0,0,0,530,2390,2920,0,909550,861303640,669777920,191531560,478246360,0,0,2920,163520,49640,213160,256,224,65,289,2920,2920,0,765460480,53062830,101712590,8724740,569400,877650,177573380,20664820,20094765340,13000310,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
summary,qat,sw,256K,,4,Image.tif_,765384432,,1203.255,1198.859,1229.521,1229.521,1229.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,1,,4,2,4E6670F89115AA129322F75
raw,qat,sw,1M,1,4,Image.tif_,765384432,1368.340,,,,,,533.44,0.06,2.87,1.87,95.21,25.55x,30.4M,732M,732,767557632,27973469,0,0,0,0,145,587,732,0,238410,863542596,671612928,191931132,479681796,0,0,732,163968,47580,211548,256,224,65,289,732,732,0,767557632,88611030,144072030,5211970,4660500,263950,248996040,13998650,19976578310,6589420,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,1M,2,4,Image.tif_,765384432,1119.675,,,,,,651.91,0.13,3.82,1.68,94.37,25.56x,30.4M,732M,732,767557632,27972937,0,0,0,0,132,600,732,0,233450,863542596,671612928,191931132,479681796,0,0,732,163968,47580,211548,256,224,65,289,732,732,0,767557632,84684010,132650360,5216930,276530,262670,233821610,13936910,19999888820,6648830,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,1M,3,4,Image.tif_,765384432,1164.405,,,,,,626.87,0.05,3.53,1.68,94.74,25.56x,30.4M,732M,732,767557632,27974672,0,0,0,0,125,607,732,0,227360,863542596,671612928,191931132,479681796,0,0,732,163968,47580,211548,256,224,65,289,732,732,0,767557632,88496960,144290490,5195070,279410,271200,249270500,13832410,20019864850,6695370,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
summary,qat,sw,1M,,4,Image.tif_,765384432,,1217.473,1164.405,1368.340,1368.340,1368.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,1,,4,2,4E6670F89115AA129322F75
