row_type,mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_srcversion
raw,qat,128K,1,4,Image.tif_,765384432,1444.364,,,,,,505.36,0.04,2.78,2.30,94.87,17.16x,51.5M,730M,5840,765460480,27367347,5681,43266048,744620032,0,6722,4799,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,128K,2,4,Image.tif_,765384432,1281.137,,,,,,569.75,0.05,3.08,2.30,94.58,17.16x,51.5M,730M,5840,765460480,27367304,5689,43450368,745668608,0,6754,4775,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,128K,3,4,Image.tif_,765384432,1326.504,,,,,,550.26,0.08,3.10,2.10,94.71,17.16x,51.5M,730M,5840,765460480,27367528,5688,43180032,745537536,0,6726,4802,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
summary,qat,128K,,4,Image.tif_,765384432,,1350.668,1326.504,1444.364,1444.364,1444.364,,,,,,,,,,,,,,,,,,,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,256K,1,4,Image.tif_,765384432,1246.554,,,,,,585.56,0.05,2.37,1.55,96.03,21.96x,37.4M,730M,2920,765460480,27587024,2842,33869824,745013248,0,3378,2384,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,256K,2,4,Image.tif_,765384432,1274.580,,,,,,572.68,0.06,2.41,1.56,95.97,21.96x,37.4M,730M,2920,765460480,27586709,2799,33251328,733741056,0,3321,2398,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,256K,3,4,Image.tif_,765384432,1274.799,,,,,,572.58,0.04,2.45,1.56,95.96,21.96x,37.4M,730M,2920,765460480,27586783,2847,33988608,746323968,0,3358,2409,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
summary,qat,256K,,4,Image.tif_,765384432,,1265.311,1274.580,1274.799,1274.799,1274.799,,,,,,,,,,,,,,,,,,,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,1M,1,4,Image.tif_,765384432,1217.535,,,,,,599.51,0.04,1.82,1.64,96.50,25.55x,30.4M,732M,732,767557632,27977564,704,28540928,738197504,0,837,599,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,1M,2,4,Image.tif_,765384432,1258.892,,,,,,579.82,0.06,1.75,1.60,96.60,25.56x,30.4M,732M,732,767557632,27971943,717,29507584,751828992,0,838,611,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
