row_type,mode,recordsize,iter,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_srcversion
raw,qat,128K,1,Image.tif_,191346108,853.973,,,,,,213.69,0.04,1.17,1.02,97.78,17.11x,12.9M,183M,1460,191365120,6842000,1266,9625600,165937152,0,1747,979,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,128K,2,Image.tif_,191346108,866.490,,,,,,210.60,0.02,1.11,1.01,97.86,17.11x,12.9M,183M,1460,191365120,6841929,1283,9859072,168165376,0,1760,983,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,128K,3,Image.tif_,191346108,739.478,,,,,,246.77,0.02,1.22,0.76,98.00,17.11x,12.9M,183M,1460,191365120,6841990,1318,10100736,172752896,0,1800,978,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
summary,qat,128K,,Image.tif_,191346108,,819.980,853.973,866.490,866.490,866.490,,,,,,,,,,,,,,,,,,,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,256K,1,Image.tif_,191346108,734.810,,,,,,248.34,0.02,1.14,1.59,97.25,21.89x,9.42M,183M,730,191365120,6896678,672,7913472,176160768,0,908,494,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,256K,2,Image.tif_,191346108,652.708,,,,,,279.58,0.02,1.14,0.76,98.07,21.89x,9.42M,183M,730,191365120,6896828,628,7524352,164626432,0,863,495,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,256K,3,Image.tif_,191346108,720.464,,,,,,253.28,0.04,1.04,1.12,97.80,21.89x,9.42M,183M,730,191365120,6896777,648,7909376,169869312,0,891,487,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
summary,qat,256K,,Image.tif_,191346108,,702.661,720.464,734.810,734.810,734.810,,,,,,,,,,,,,,,,,,,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,1M,1,Image.tif_,191346108,632.303,,,,,,288.60,0.05,0.93,0.93,98.09,25.48x,7.65M,183M,183,191889408,6991190,158,6393856,165675008,0,219,122,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,1M,2,Image.tif_,191346108,580.449,,,,,,314.38,0.13,1.10,0.88,97.89,25.47x,7.66M,183M,183,191889408,6993638,149,6545408,156237824,0,209,123,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,1M,3,Image.tif_,191346108,630.269,,,,,,289.53,0.02,0.98,1.16,97.84,25.45x,7.66M,183M,183,191889408,6995121,161,6389760,168820736,0,220,124,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
summary,qat,1M,,Image.tif_,191346108,,614.340,630.269,632.303,632.303,632.303,,,,,,,,,,,,,,,,,,,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,sw,128K,1,Image.tif_,191346108,819.511,,,,,,222.67,0.04,3.94,1.35,94.68,16.86x,13.1M,183M,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,sw,128K,2,Image.tif_,191346108,710.278,,,,,,256.92,0.02,4.52,0.57,94.89,16.86x,13.1M,183M,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,sw,128K,3,Image.tif_,191346108,806.439,,,,,,226.28,0.02,3.60,0.83,95.55,16.86x,13.1M,183M,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
summary,sw,128K,,Image.tif_,191346108,,778.743,806.439,819.511,819.511,819.511,,,,,,,,,,,,,,,,,,,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,sw,256K,1,Image.tif_,191346108,627.954,,,,,,290.60,0.02,4.52,0.59,94.87,21.53x,9.57M,183M,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,sw,256K,2,Image.tif_,191346108,683.414,,,,,,267.02,0.00,4.22,0.86,94.92,21.53x,9.57M,183M,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,sw,256K,3,Image.tif_,191346108,564.240,,,,,,323.41,0.03,4.96,0.49,94.51,21.53x,9.57M,183M,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
summary,sw,256K,,Image.tif_,191346108,,625.203,627.954,683.414,683.414,683.414,,,,,,,,,,,,,,,,,,,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,sw,1M,1,Image.tif_,191346108,563.723,,,,,,323.71,0.05,4.88,1.18,93.88,25.17x,7.76M,183M,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,sw,1M,2,Image.tif_,191346108,544.146,,,,,,335.35,0.03,5.03,0.57,94.37,25.17x,7.76M,183M,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,sw,1M,3,Image.tif_,191346108,531.727,,,,,,343.19,0.06,5.24,0.44,94.27,25.17x,7.76M,183M,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
summary,sw,1M,,Image.tif_,191346108,,546.532,544.146,563.723,563.723,563.723,,,,,,,,,,,,,,,,,,,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
