row_type,mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_srcversion
raw,qat,128K,1,4,Image.tif_,765384432,1346.757,,,,,,541.99,0.03,3.13,1.95,94.88,17.16x,51.5M,730M,5840,765460480,27367221,5649,43147264,740425728,0,7754,3735,10618693,2542890,41437327,44474059,18624536898,3545291,13828376,23664828,1194122648,838160,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,128K,2,4,Image.tif_,765384432,1299.102,,,,,,561.87,0.05,3.18,2.51,94.26,17.16x,51.5M,730M,5840,765460480,27367740,5757,43819008,754581504,0,7867,3730,5632355,2861873,40927245,44601828,18729706354,3645887,14011698,23790732,1238884827,882770,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,128K,3,4,Image.tif_,765384432,1281.849,,,,,,569.43,0.05,2.94,1.80,95.22,17.16x,51.5M,730M,5840,765460480,27367716,5651,42962944,740687872,0,7788,3703,8418925,2809511,40906706,44668411,18591968821,3627444,14079526,24328004,1193196242,858660,yes,4,1048576,48,9005FF9E36B658359545E79
summary,qat,128K,,4,Image.tif_,765384432,,1309.236,1299.102,1346.757,1346.757,1346.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,9005FF9E36B658359545E79
raw,qat,256K,1,4,Image.tif_,765384432,1269.459,,,,,,574.99,0.05,2.55,1.55,95.85,21.96x,37.4M,730M,2920,765460480,27586744,2794,33374208,732430336,0,4241,1473,20324410,1011930,37844321,37265639,14492395203,2885922,12977812,16747005,1156825571,674690,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,256K,2,4,Image.tif_,765384432,1235.849,,,,,,590.63,0.14,2.72,1.62,95.52,21.96x,37.4M,730M,2920,765460480,27586939,2829,33591296,741605376,0,3900,1849,4022301,1634882,38194789,37375558,19614984529,2975252,12758156,17210618,1196176591,652022,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,256K,3,4,Image.tif_,765384432,1251.346,,,,,,583.31,0.05,2.46,1.61,95.88,21.96x,37.4M,730M,2920,765460480,27586985,2826,33193984,740818944,0,3854,1892,10016834,1794212,38163368,37025746,19612572533,2945261,12915054,16900422,1131938157,647610,yes,4,1048576,48,9005FF9E36B658359545E79
summary,qat,256K,,4,Image.tif_,765384432,,1252.218,1251.346,1269.459,1269.459,1269.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,9005FF9E36B658359545E79
raw,qat,1M,1,4,Image.tif_,765384432,1175.367,,,,,,621.02,0.04,1.88,1.43,96.64,25.57x,30.4M,732M,732,767557632,27970388,717,29470720,751828992,0,970,479,71011721,722640,30656085,28829872,19475179721,719241,10429640,11357064,1104988004,256580,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,1M,2,4,Image.tif_,765384432,1152.823,,,,,,633.17,0.05,1.97,1.59,96.38,25.56x,30.4M,732M,732,767557632,27974428,720,29396992,754974720,0,974,478,19172301,1354491,30321915,28814184,19753600452,715050,10714493,11547435,1122990895,248660,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,1M,3,4,Image.tif_,765384432,1227.171,,,,,,594.81,0.05,1.87,1.59,96.50,25.57x,30.4M,732M,732,767557632,27973888,718,29220864,752877568,0,973,477,28643648,720370,30182992,28544312,19750438204,718250,10377829,11222326,1107912384,265010,yes,4,1048576,48,9005FF9E36B658359545E79
summary,qat,1M,,4,Image.tif_,765384432,,1185.120,1175.367,1227.171,1227.171,1227.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,9005FF9E36B658359545E79
