row_type,mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,128K,1,4,Image.tif_,765384432,1360.130,,,,,,536.66,0.03,3.04,1.61,95.32,17.16x,51.5M,730M,5840,765460480,27367253,5693,43413504,746192896,0,7856,3677,9888734,2495661,41395196,45155210,18712136313,3705986,14036484,23728291,1266461483,864090,yes,4,1048576,48,2,4,9005FF9E36B658359545E79
raw,qat,128K,2,4,Image.tif_,765384432,1343.046,,,,,,543.49,0.05,3.09,2.04,94.83,17.16x,51.5M,730M,5840,765460480,27367617,5763,43810816,755367936,0,7907,3696,7941394,2848783,41278453,44834493,18757875338,3715582,14234817,24357561,1175221591,866680,yes,4,1048576,48,2,4,9005FF9E36B658359545E79
raw,qat,128K,3,4,Image.tif_,765384432,1359.399,,,,,,536.95,0.06,2.95,1.97,95.02,17.16x,51.5M,730M,5840,765460480,27367993,5731,43552768,751173632,0,7877,3694,8924063,2704310,41335168,44987904,18778878754,3637740,14025544,24275290,1207033190,812840,yes,4,1048576,48,2,4,9005FF9E36B658359545E79
summary,qat,128K,,4,Image.tif_,765384432,,1354.192,1359.399,1360.130,1360.130,1360.130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,2,4,9005FF9E36B658359545E79
raw,qat,256K,1,4,Image.tif_,765384432,1246.160,,,,,,585.74,0.05,2.38,1.56,96.01,21.96x,37.4M,730M,2920,765460480,27586929,2797,33615872,733216768,0,3862,1855,2128881,2609802,37950142,37250080,19581020653,3004751,12552572,16453658,1163104845,643810,yes,4,1048576,48,2,4,9005FF9E36B658359545E79
raw,qat,256K,2,4,Image.tif_,765384432,1236.965,,,,,,590.10,0.05,2.57,1.54,95.83,21.96x,37.4M,730M,2920,765460480,27586715,2798,33267712,733478912,0,3858,1860,8441883,1825401,38014676,37256725,19576989350,3012122,12427986,16439157,1210149392,629151,yes,4,1048576,48,2,4,9005FF9E36B658359545E79
raw,qat,256K,3,4,Image.tif_,765384432,1224.100,,,,,,596.30,0.11,2.92,1.52,95.45,21.96x,37.4M,730M,2920,765460480,27586956,2821,33755136,739508224,0,3862,1879,3623651,2197160,38175513,37122002,19528396732,3045103,12828938,17466774,1175484339,659530,yes,4,1048576,48,2,4,9005FF9E36B658359545E79
summary,qat,256K,,4,Image.tif_,765384432,,1235.742,1236.965,1246.160,1246.160,1246.160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,2,4,9005FF9E36B658359545E79
raw,qat,1M,1,4,Image.tif_,765384432,1219.240,,,,,,598.67,0.03,1.92,1.57,96.49,25.56x,30.4M,732M,732,767557632,27974486,719,29048832,753926144,0,994,457,77406857,1500140,30159607,28630332,19551710902,691901,10637473,11490767,1013921383,263661,yes,4,1048576,48,2,4,9005FF9E36B658359545E79
raw,qat,1M,2,4,Image.tif_,765384432,1265.478,,,,,,576.80,0.09,1.83,2.06,96.03,25.57x,30.4M,732M,732,767557632,27971368,722,29675520,757071872,0,984,470,48909351,1466661,30151387,28570911,19728869810,731450,10711135,11566966,1036402347,263770,yes,4,1048576,48,2,4,9005FF9E36B658359545E79
raw,qat,1M,3,4,Image.tif_,765384432,1232.562,,,,,,592.20,0.03,1.93,1.73,96.31,25.57x,30.4M,732M,732,767557632,27972583,716,29417472,750780416,0,980,468,35879808,767970,30148986,28536551,19676656667,736261,10584895,11328586,1120835413,263720,yes,4,1048576,48,2,4,9005FF9E36B658359545E79
summary,qat,1M,,4,Image.tif_,765384432,,1239.093,1232.562,1265.478,1265.478,1265.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,2,4,9005FF9E36B658359545E79
