row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,797.537,,,,,,228.81,0.04,1.93,2.36,95.67,17.11x,12.9M,183M,1460,191365120,6842031,0,0,0,0,598,862,1460,0,389840,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900441,369800,8929247,9733354,1792878488,880620,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,0,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,128K,2,1,Image.tif_,191346108,904.829,,,,,,201.68,0.03,1.77,2.41,95.79,17.11x,12.9M,183M,1460,191365120,6841918,0,0,0,0,618,842,1460,0,400920,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465010,368410,8918112,9795770,1758426117,889000,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,0,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,128K,3,1,Image.tif_,191346108,850.685,,,,,,214.51,0.04,1.70,2.34,95.92,17.11x,12.9M,183M,1460,191365120,6841862,0,0,0,0,594,866,1460,0,413730,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256930,388990,8991442,9723099,1777768555,976820,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,0,1,4,2,90B713026E013F5B59AD0AC
summary,qat,sw,128K,,1,Image.tif_,191346108,,851.017,850.685,904.829,904.829,904.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,256K,1,1,Image.tif_,191346108,793.455,,,,,,229.98,0.12,2.04,1.16,96.69,21.89x,9.42M,183M,730,191365120,6896657,0,0,0,0,257,473,730,0,217930,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408980,255440,8100580,7798782,2211950567,794051,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,0,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,256K,2,1,Image.tif_,191346108,759.423,,,,,,240.29,0.02,1.68,1.23,97.08,21.89x,9.42M,183M,730,191365120,6896706,0,0,0,0,252,478,730,0,216410,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143330,250120,8156261,7871907,2266244313,793593,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,0,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,256K,3,1,Image.tif_,191346108,749.954,,,,,,243.32,0.02,1.82,1.41,96.75,21.89x,9.42M,183M,730,191365120,6896676,0,0,0,0,254,476,730,0,227110,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340230,255500,8120892,7749684,2275533148,800410,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,0,1,4,2,90B713026E013F5B59AD0AC
summary,qat,sw,256K,,1,Image.tif_,191346108,,767.611,759.423,793.455,793.455,793.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,1M,1,1,Image.tif_,191346108,826.430,,,,,,220.81,0.04,1.39,1.15,97.43,25.47x,7.66M,183M,183,191889408,6992603,0,0,0,0,62,121,183,0,61280,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68758295,72160,6523311,5793608,2442939251,233310,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,0,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,1M,2,1,Image.tif_,191346108,696.661,,,,,,261.94,0.04,1.60,0.69,97.66,25.48x,7.65M,183M,183,191889408,6992342,0,0,0,0,59,124,183,0,57080,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29153141,66940,6445613,5821854,2505840312,206041,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,0,1,4,2,90B713026E013F5B59AD0AC
