row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1941.992,,,,,,375.87,0.04,3.73,3.27,92.96,17.16x,51.5M,730M,5840,765460480,27367244,0,0,0,0,1107,4733,5840,0,1668821,861464240,669777920,191698000,478079920,0,0,186880,163520,52560,216080,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253460,1596370,36227370,38483542,18845713947,4440060,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,536449095ADB8E51B622004
raw,qat,sw,128K,2,4,Image.tif_,765384432,1812.801,,,,,,402.65,0.04,3.90,3.05,93.01,17.16x,51.5M,730M,5840,765460480,27367670,0,0,0,0,1066,4774,5840,0,1656152,861464240,669777920,191698000,478079920,0,0,186880,163520,52560,216080,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988741,1587800,36255800,38424434,18886785063,4603073,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,536449095ADB8E51B622004
raw,qat,sw,128K,3,4,Image.tif_,765384432,1933.329,,,,,,377.55,0.07,3.78,3.29,92.86,17.16x,51.5M,730M,5840,765460480,27367579,0,0,0,0,1075,4765,5840,0,1667640,861464240,669777920,191698000,478079920,0,0,186880,163520,52560,216080,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075190,1597130,36384816,38433236,18836016679,4534463,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,536449095ADB8E51B622004
summary,qat,sw,128K,,4,Image.tif_,765384432,,1896.041,1933.329,1941.992,1941.992,1941.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,,4,2,536449095ADB8E51B622004
raw,qat,sw,256K,1,4,Image.tif_,765384432,1805.980,,,,,,404.17,0.03,3.23,2.67,94.07,21.96x,37.4M,730M,2920,765460480,27586689,0,0,0,0,530,2390,2920,0,907920,861303640,669777920,191531560,478246360,0,0,186880,163520,49640,213160,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808871,940280,32230689,30703085,19402931196,3471933,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,536449095ADB8E51B622004
raw,qat,sw,256K,2,4,Image.tif_,765384432,1820.613,,,,,,400.92,0.03,3.22,2.68,94.06,21.96x,37.4M,730M,2920,765460480,27586831,0,0,0,0,508,2412,2920,0,913330,861303640,669777920,191531560,478246360,0,0,186880,163520,49640,213160,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556560,953223,32516540,30916758,19540199242,3529125,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,536449095ADB8E51B622004
raw,qat,sw,256K,3,4,Image.tif_,765384432,1850.586,,,,,,394.43,0.04,3.17,2.51,94.27,21.96x,37.4M,730M,2920,765460480,27586832,0,0,0,0,515,2405,2920,0,904301,861303640,669777920,191531560,478246360,0,0,186880,163520,49640,213160,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568670,964400,32291301,30908772,19375650857,3611041,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,536449095ADB8E51B622004
summary,qat,sw,256K,,4,Image.tif_,765384432,,1825.726,1820.613,1850.586,1850.586,1850.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,,4,2,536449095ADB8E51B622004
raw,qat,sw,1M,1,4,Image.tif_,765384432,1596.986,,,,,,457.07,0.08,3.42,1.88,94.62,25.56x,30.4M,732M,732,767557632,27974298,0,0,0,0,136,596,732,0,214260,863542596,671612928,191931132,479681796,0,0,187392,163968,47580,211548,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22277833,241090,24781928,22914692,20223032394,876530,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,536449095ADB8E51B622004
raw,qat,sw,1M,2,4,Image.tif_,765384432,1586.858,,,,,,459.98,0.03,3.11,2.02,94.84,25.56x,30.4M,732M,732,767557632,27975236,0,0,0,0,130,602,732,0,215900,863542596,671612928,191931132,479681796,0,0,187392,163968,47580,211548,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157660,242760,24623821,22900601,20177067831,878151,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,536449095ADB8E51B622004
raw,qat,sw,1M,3,4,Image.tif_,765384432,1714.351,,,,,,425.77,0.04,3.06,2.09,94.81,25.57x,30.4M,732M,732,767557632,27972012,0,0,0,0,129,603,732,0,215280,863542596,671612928,191931132,479681796,0,0,187392,163968,47580,211548,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875603,253220,24782490,23031919,20101350049,872260,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,536449095ADB8E51B622004
summary,qat,sw,1M,,4,Image.tif_,765384432,,1632.732,1596.986,1714.351,1714.351,1714.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,,4,2,536449095ADB8E51B622004
