row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,832.388,,,,,,219.23,0.02,1.98,2.58,95.42,17.11x,12.9M,183M,1460,191365120,6841929,0,0,0,0,601,859,1460,0,408020,215366060,167444480,47924500,119519980,0,0,46720,0,0,0,256,224,65,289,0,0,0,0,0,0,0,1460,1460,0,215368980,6841929,23157272,1418190,4211082,85610,87070,28529056,6747764,1784058346,5119633,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,128K,2,1,Image.tif_,191346108,822.190,,,,,,221.95,0.11,2.12,2.38,95.39,17.11x,12.9M,183M,1460,191365120,6842003,0,0,0,0,598,862,1460,0,425420,215366060,167444480,47924500,119519980,0,0,46720,0,0,0,256,224,65,289,0,0,0,0,0,0,0,1460,1460,0,215368980,6842003,24070992,1427651,4161103,101930,86590,29370326,6739144,1795626937,5070833,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,128K,3,1,Image.tif_,191346108,1057.599,,,,,,172.54,0.01,1.41,5.64,92.93,17.11x,12.9M,183M,1460,191365120,6842017,0,0,0,0,603,857,1460,0,416440,215366060,167444480,47924500,119519980,0,0,46720,0,0,0,256,224,65,289,0,0,0,0,0,0,0,1460,1460,0,215368980,6842017,24362172,1366481,4205211,83200,87090,29780563,6691764,1770631470,5142281,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
summary,qat,sw,128K,,1,Image.tif_,191346108,,904.059,832.388,1057.599,1057.599,1057.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,1,,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,256K,1,1,Image.tif_,191346108,768.714,,,,,,237.39,0.02,1.72,1.21,97.05,21.89x,9.42M,183M,730,191365120,6896714,0,0,0,0,252,478,730,0,221850,215325910,167444480,47882890,119561590,0,0,46720,0,0,0,256,224,65,289,0,0,0,0,0,0,0,730,730,0,215327370,6896714,23508020,1222110,3310893,41060,44600,28091812,4760432,2244992101,4006543,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,256K,2,1,Image.tif_,191346108,723.631,,,,,,252.18,0.04,1.72,1.05,97.19,21.89x,9.42M,183M,730,191365120,6896653,0,0,0,0,250,480,730,0,238720,215325910,167444480,47882890,119561590,0,0,46720,0,0,0,256,224,65,289,0,0,0,0,0,0,0,730,730,0,215327370,6896653,22327481,1188801,3299646,40900,44740,26821622,4695630,2273814637,3958877,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,256K,3,1,Image.tif_,191346108,725.251,,,,,,251.61,0.02,1.80,1.05,97.13,21.89x,9.42M,183M,730,191365120,6896751,0,0,0,0,249,481,730,0,217920,215325910,167444480,47882890,119561590,0,0,46720,0,0,0,256,224,65,289,0,0,0,0,0,0,0,730,730,0,215327370,6896751,21788638,1138850,3304312,40960,54470,26268182,4707664,2228719650,3970532,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
summary,qat,sw,256K,,1,Image.tif_,191346108,,739.199,725.251,768.714,768.714,768.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,1,,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,1M,1,1,Image.tif_,191346108,679.279,,,,,,268.64,0.02,1.71,0.96,97.30,25.48x,7.65M,183M,183,191889408,6991319,0,0,0,0,65,118,183,0,57980,215885649,167903232,47982783,119920449,0,0,46848,0,0,0,256,224,65,289,0,0,0,0,0,0,0,183,183,0,215886015,6991319,52903315,1113821,4890171,9570,14490,56675065,3283861,2329319030,5157441,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,1M,2,1,Image.tif_,191346108,709.512,,,,,,257.19,0.04,1.68,1.07,97.20,25.47x,7.66M,183M,183,191889408,6993700,0,0,0,0,61,122,183,0,63080,215885649,167903232,47982783,119920449,0,0,46848,0,0,0,256,224,65,289,0,0,0,0,0,0,0,183,183,0,215886015,6993700,44236781,1138830,3510556,9670,14640,47927391,3284321,2512700589,3742036,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,1M,3,1,Image.tif_,191346108,695.164,,,,,,262.50,0.07,1.72,1.09,97.12,25.47x,7.66M,183M,183,191889408,6992734,0,0,0,0,61,122,183,0,62220,215885649,167903232,47982783,119920449,0,0,46848,0,0,0,256,224,65,289,0,0,0,0,0,0,0,183,183,0,215886015,6992734,49981645,1060160,2891604,9500,15310,53731006,3115623,2533475898,3145184,0,0,0,0,0,25,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
summary,qat,sw,1M,,1,Image.tif_,191346108,,694.652,695.164,709.512,709.512,709.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,1,,4,2,90B713026E013F5B59AD0AC
