row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,885.213,,,,,,206.14,0.02,1.81,2.28,95.89,17.11x,12.9M,183M,1460,191365120,6841959,0,0,0,0,599,861,1460,0,421660,215366060,167444480,47924500,119519980,0,0,46720,1460,0,1460,256,224,65,289,0,0,0,0,0,0,0,1460,1460,0,215368980,6841959,24787979,1429330,4164331,92980,89940,30101575,6642355,1798924224,5071832,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,536449095ADB8E51B622004
raw,qat,sw,128K,2,1,Image.tif_,191346108,830.490,,,,,,219.73,0.02,1.84,2.62,95.52,17.11x,12.9M,183M,1460,191365120,6841951,0,0,0,0,586,874,1460,0,413221,215366060,167444480,47924500,119519980,0,0,46720,1460,0,1460,256,224,65,289,0,0,0,0,0,0,0,1460,1460,0,215368980,6841951,24142308,1404601,4084594,85450,89090,29466061,6608402,1819389950,4991644,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,536449095ADB8E51B622004
raw,qat,sw,128K,3,1,Image.tif_,191346108,875.820,,,,,,208.36,0.02,1.81,2.63,95.55,17.11x,12.9M,183M,1460,191365120,6842082,0,0,0,0,609,851,1460,0,410641,215366060,167444480,47924500,119519980,0,0,46720,1460,0,1460,256,224,65,289,0,0,0,0,0,0,0,1460,1460,0,215368980,6842082,23456027,1340811,4137445,86160,88650,28839520,6621184,1811649513,5053805,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,536449095ADB8E51B622004
summary,qat,sw,128K,,1,Image.tif_,191346108,,863.841,875.820,885.213,885.213,885.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,1,,4,2,536449095ADB8E51B622004
raw,qat,sw,256K,1,1,Image.tif_,191346108,791.075,,,,,,230.68,0.02,1.63,1.18,97.17,21.89x,9.42M,183M,730,191365120,6896817,0,0,0,0,249,481,730,0,236960,215325910,167444480,47882890,119561590,0,0,46720,730,0,730,256,224,65,289,0,0,0,0,0,0,0,730,730,0,215327370,6896817,24571200,1178280,3288531,42430,45180,29186112,4732403,2271622251,3959041,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,536449095ADB8E51B622004
raw,qat,sw,256K,2,1,Image.tif_,191346108,708.759,,,,,,257.47,0.02,1.67,1.43,96.88,21.89x,9.42M,183M,730,191365120,6896607,0,0,0,0,253,477,730,0,228900,215325910,167444480,47882890,119561590,0,0,46720,730,0,730,256,224,65,289,0,0,0,0,0,0,0,730,730,0,215327370,6896607,24854019,1130120,3260592,42500,44750,29426500,4805592,2245681494,3932263,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,536449095ADB8E51B622004
raw,qat,sw,256K,3,1,Image.tif_,191346108,794.471,,,,,,229.69,0.04,1.64,1.41,96.91,21.89x,9.42M,183M,730,191365120,6896785,0,0,0,0,250,480,730,0,244911,215325910,167444480,47882890,119561590,0,0,46720,730,0,730,256,224,65,289,0,0,0,0,0,0,0,730,730,0,215327370,6896785,25465372,1119380,3323531,41940,44610,30042504,4794351,2235273352,4022642,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,536449095ADB8E51B622004
summary,qat,sw,256K,,1,Image.tif_,191346108,,764.768,791.075,794.471,794.471,794.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,1,,4,2,536449095ADB8E51B622004
raw,qat,sw,1M,1,1,Image.tif_,191346108,765.637,,,,,,238.34,0.12,1.99,1.30,96.59,25.47x,7.66M,183M,183,191889408,6993193,0,0,0,0,62,121,183,0,71610,215885649,167903232,47982783,119920449,0,0,46848,183,0,183,256,224,65,289,0,0,0,0,0,0,0,183,183,0,215886015,6993193,62852608,1159903,5020411,9760,11000,66761558,3325700,2522135376,5275221,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,536449095ADB8E51B622004
raw,qat,sw,1M,2,1,Image.tif_,191346108,702.641,,,,,,259.71,0.04,1.68,0.88,97.39,25.47x,7.66M,183M,183,191889408,6992875,0,0,0,0,62,121,183,0,71500,215885649,167903232,47982783,119920449,0,0,46848,183,0,183,256,224,65,289,0,0,0,0,0,0,0,183,183,0,215886015,6992875,66366387,1357643,3506531,9500,12930,70340187,3311160,2458952404,3787351,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,536449095ADB8E51B622004
