row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,825.190,,,,,,221.14,0.02,1.68,1.07,97.23,17.11x,12.9M,183M,1460,191365120,6842024,0,0,0,0,1460,0,1460,0,415550,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552950,396550,8174710,9736940,2327591400,682310,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,2,1,Image.tif_,191346108,841.077,,,,,,216.96,0.13,2.01,1.48,96.38,17.11x,12.9M,183M,1460,191365120,6841938,0,0,0,0,1460,0,1460,0,406210,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408690,359180,8186570,9825490,2306601760,651290,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,3,1,Image.tif_,191346108,843.542,,,,,,216.33,0.04,1.67,1.01,97.28,17.11x,12.9M,183M,1460,191365120,6841886,0,0,0,0,1460,0,1460,0,446210,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334450,404260,8131770,9789220,2308292370,743050,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,128K,,1,Image.tif_,191346108,,836.603,841.077,843.542,843.542,843.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,1,1,Image.tif_,191346108,703.395,,,,,,259.43,0.04,1.59,1.23,97.14,21.89x,9.42M,183M,730,191365120,6896748,0,0,0,0,730,0,730,0,223560,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394950,250720,7346570,7703790,2419466350,686800,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,2,1,Image.tif_,191346108,687.235,,,,,,265.53,0.05,1.58,0.81,97.56,21.89x,9.42M,183M,730,191365120,6896671,0,0,0,0,730,0,730,0,234180,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144230,249850,7416010,7894480,2435965680,684440,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,3,1,Image.tif_,191346108,704.324,,,,,,259.09,0.07,1.78,0.95,97.21,21.89x,9.42M,183M,730,191365120,6896865,0,0,0,0,730,0,730,0,220270,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135670,233800,7350180,7714500,2441955180,661470,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,256K,,1,Image.tif_,191346108,,698.318,703.395,704.324,704.324,704.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,1,1,Image.tif_,191346108,617.936,,,,,,295.31,0.05,1.33,0.90,97.72,25.47x,7.66M,183M,183,191889408,6992743,0,0,0,0,183,0,183,0,60410,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55066900,67700,6143540,6001640,2486991630,164140,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,2,1,Image.tif_,191346108,633.168,,,,,,288.20,0.05,1.42,0.78,97.75,25.47x,7.66M,183M,183,191889408,6992549,0,0,0,0,183,0,183,0,62060,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4580190,63340,6130760,5983230,2630216130,172070,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
