row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,784.014,,,,,,232.75,0.12,2.00,1.13,96.75,17.11x,12.9M,183M,1460,191365120,6841937,0,0,0,0,1460,0,1460,0,402590,215366060,167444480,47924500,119519980,0,0,46720,1460,0,1460,256,224,65,289,0,0,0,0,0,0,0,1460,1460,0,1460,0,0,6841937,0,1605660,0,83200,88310,4262270,6780070,2310462600,395240,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,2,1,Image.tif_,191346108,791.774,,,,,,230.47,0.04,1.53,0.96,97.47,17.11x,12.9M,183M,1460,191365120,6842009,0,0,0,0,1460,0,1460,0,425680,215366060,167444480,47924500,119519980,0,0,46720,1460,0,1460,256,224,65,289,0,0,0,0,0,0,0,1460,1460,0,1460,0,0,6842009,0,1595880,0,82650,89530,4310240,6666890,2360958240,423110,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,3,1,Image.tif_,191346108,818.004,,,,,,223.08,0.02,1.58,1.29,97.11,17.11x,12.9M,183M,1460,191365120,6841825,0,0,0,0,1460,0,1460,0,437830,215366060,167444480,47924500,119519980,0,0,46720,1460,0,1460,256,224,65,289,0,0,0,0,0,0,0,1460,1460,0,1460,0,0,6841825,0,1594620,0,95320,89200,4389250,6819860,2306697610,426340,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,128K,,1,Image.tif_,191346108,,797.931,791.774,818.004,818.004,818.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,1,,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,1,1,Image.tif_,191346108,661.536,,,,,,275.85,0.05,1.52,1.10,97.33,21.89x,9.42M,183M,730,191365120,6896764,0,0,0,0,730,0,730,0,224740,215325910,167444480,47882890,119561590,0,0,46720,730,0,730,256,224,65,289,0,0,0,0,0,0,0,730,730,0,730,0,0,6896764,0,1267020,0,49640,45710,3658010,4731580,2473144370,337370,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,2,1,Image.tif_,191346108,755.034,,,,,,241.69,0.04,1.38,1.46,97.12,21.89x,9.42M,183M,730,191365120,6896679,0,0,0,0,730,0,730,0,225690,215325910,167444480,47882890,119561590,0,0,46720,730,0,730,256,224,65,289,0,0,0,0,0,0,0,730,730,0,730,0,0,6896679,0,1253930,0,40190,47090,3729370,4673630,2523171210,349570,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,3,1,Image.tif_,191346108,682.554,,,,,,267.35,0.02,1.48,0.98,97.52,21.89x,9.42M,183M,730,191365120,6896598,0,0,0,0,730,0,730,0,237640,215325910,167444480,47882890,119561590,0,0,46720,730,0,730,256,224,65,289,0,0,0,0,0,0,0,730,730,0,730,0,0,6896598,0,1322690,0,40380,46820,3702000,4723780,2461777190,355110,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,256K,,1,Image.tif_,191346108,,699.708,682.554,755.034,755.034,755.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,1,,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,1,1,Image.tif_,191346108,687.282,,,,,,265.51,0.02,1.24,1.01,97.72,25.47x,7.66M,183M,183,191889408,6992621,0,0,0,0,183,0,183,0,58990,215885649,167903232,47982783,119920449,0,0,46848,183,0,183,256,224,65,289,0,0,0,0,0,0,0,183,183,0,183,0,0,6992621,0,1180350,0,9610,10900,2913080,3059950,2635075110,89000,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,2,1,Image.tif_,191346108,676.825,,,,,,269.61,0.14,1.74,0.94,97.19,25.47x,7.66M,183M,183,191889408,6993522,0,0,0,0,183,0,183,0,60570,215885649,167903232,47982783,119920449,0,0,46848,183,0,183,256,224,65,289,0,0,0,0,0,0,0,183,183,0,183,0,0,6993522,0,1322540,0,9520,11570,2872560,2992670,2592482290,92420,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
