row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1217.436,,,,,,599.56,0.05,4.38,2.18,93.39,17.16x,51.5M,730M,5840,765460480,27367879,0,0,0,0,1058,4782,8726035,2727404,42215514,45662612,19100186273,3854894,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,128K,2,4,Image.tif_,765384432,1283.715,,,,,,568.61,0.06,4.29,1.73,93.93,17.16x,51.5M,730M,5840,765460480,27367794,0,0,0,0,1077,4763,6040883,2889103,42240157,45610883,19258556672,3861062,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,128K,3,4,Image.tif_,765384432,1229.196,,,,,,593.83,0.05,4.36,2.59,93.00,17.16x,51.5M,730M,5840,765460480,27367565,0,0,0,0,1517,4323,4672023,2459952,41223194,45213047,14020698453,3724941,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
summary,qat,sw,128K,,4,Image.tif_,765384432,,1243.449,1229.196,1283.715,1283.715,1283.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,256K,1,4,Image.tif_,765384432,1210.289,,,,,,603.10,0.05,3.69,1.80,94.46,21.96x,37.4M,730M,2920,765460480,27586590,0,0,0,0,507,2413,4913503,3349432,38428952,37425371,19801440701,3231261,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,256K,2,4,Image.tif_,765384432,1223.627,,,,,,596.53,0.05,3.71,1.90,94.35,21.96x,37.4M,730M,2920,765460480,27586993,0,0,0,0,533,2387,10158956,1899721,38405760,37690413,20008501399,3277681,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,256K,3,4,Image.tif_,765384432,1201.091,,,,,,607.72,0.14,3.87,2.05,93.93,21.96x,37.4M,730M,2920,765460480,27587005,0,0,0,0,550,2370,5225283,2076411,38609725,37593795,20004984622,3300322,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
summary,qat,sw,256K,,4,Image.tif_,765384432,,1211.669,1210.289,1223.627,1223.627,1223.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,1M,1,4,Image.tif_,765384432,1134.921,,,,,,643.15,0.05,3.36,1.55,95.04,25.56x,30.4M,732M,732,767557632,27975331,0,0,0,0,123,609,80959105,2368740,31251135,29463384,19907354604,816960,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,1M,2,4,Image.tif_,765384432,1152.908,,,,,,633.12,0.05,3.17,1.70,95.07,25.57x,30.4M,732M,732,767557632,27971004,0,0,0,0,134,598,56343988,661150,30787784,28987405,20106673418,844830,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,1M,3,4,Image.tif_,765384432,1186.296,,,,,,615.30,0.05,3.13,1.94,94.88,25.56x,30.4M,732M,732,767557632,27976036,0,0,0,0,126,606,20825843,805791,30858349,28853667,20257000395,814221,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
summary,qat,sw,1M,,4,Image.tif_,765384432,,1158.042,1152.908,1186.296,1186.296,1186.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,9445078DBAD776D8FB2CD57
