row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,822.532,,,,,,221.85,0.04,1.87,0.72,97.37,16.03x,13.5M,183M,1460,191365120,8319355,0,0,0,0,479,981,4513112,393940,10281892,11243942,2249249182,813510,0,0,0,0,0,25,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,128K,2,1,Image.tif_,191346108,793.160,,,,,,230.07,0.04,1.88,1.96,96.12,16.03x,13.5M,183M,1460,191365120,8319296,0,0,0,0,470,990,4000911,423060,10412235,11252284,2263777570,791100,0,0,0,0,0,25,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,128K,3,1,Image.tif_,191346108,787.549,,,,,,231.71,0.14,1.85,1.03,96.98,16.03x,13.5M,183M,1460,191365120,8319259,0,0,0,0,477,983,4373962,452100,10401027,11374868,2248060313,826040,0,0,0,0,0,25,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
summary,qat,sw,128K,,1,Image.tif_,191346108,,801.080,793.160,822.532,822.532,822.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,static,1048576,48,,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,256K,1,1,Image.tif_,191346108,800.295,,,,,,228.02,0.04,1.42,0.93,97.61,19.53x,10.6M,183M,730,191365120,8319150,0,0,0,0,242,488,8370794,276150,9635295,9398943,2332879426,755980,0,0,0,0,0,25,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,256K,2,1,Image.tif_,191346108,665.360,,,,,,274.26,0.05,1.61,0.91,97.44,19.53x,10.6M,183M,730,191365120,8319161,0,0,0,0,233,497,2758050,249340,9559314,9381495,2370108410,783420,0,0,0,0,0,25,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,256K,3,1,Image.tif_,191346108,741.834,,,,,,245.99,0.04,1.47,1.36,97.13,19.53x,10.6M,183M,730,191365120,8319065,0,0,0,0,234,496,2078934,250180,9432584,9282674,2384647970,778840,0,0,0,0,0,25,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
summary,qat,sw,256K,,1,Image.tif_,191346108,,735.830,741.834,800.295,800.295,800.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,static,1048576,48,,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,1M,1,1,Image.tif_,191346108,613.574,,,,,,297.41,0.03,1.49,0.73,97.75,21.86x,8.96M,183M,183,191889408,8344250,0,0,0,0,63,120,12146176,62980,7959895,7386581,2341011005,189240,0,0,0,0,0,25,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,1M,2,1,Image.tif_,191346108,610.282,,,,,,299.01,0.05,1.45,0.74,97.77,21.86x,8.96M,183M,183,191889408,8344265,0,0,0,0,61,122,29821496,66251,8048072,7452700,2413131645,187040,0,0,0,0,0,25,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,1M,3,1,Image.tif_,191346108,629.059,,,,,,290.09,0.05,1.35,0.84,97.76,21.86x,8.96M,183M,183,191889408,8344264,0,0,0,0,60,123,5615314,67470,7982496,7330494,2403858178,198620,0,0,0,0,0,25,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
summary,qat,sw,1M,,1,Image.tif_,191346108,,617.638,613.574,629.059,629.059,629.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,static,1048576,48,,4,2,9445078DBAD776D8FB2CD57
