row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,724.920,,,,,,251.73,0.02,1.86,1.07,97.04,17.11x,12.9M,183M,1460,191365120,6841915,0,0,0,0,471,989,3583560,463480,10143540,11512030,2303427090,858880,0,0,0,0,0,25,0,7,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,128K,2,1,Image.tif_,191346108,849.081,,,,,,214.92,0.04,1.58,1.28,97.11,17.11x,12.9M,183M,1460,191365120,6841866,0,0,0,0,485,975,2018190,451970,10291220,11591560,2333909060,841800,0,0,0,0,0,25,0,7,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,128K,3,1,Image.tif_,191346108,810.117,,,,,,225.25,0.02,1.59,1.27,97.12,17.11x,12.9M,183M,1460,191365120,6841932,0,0,0,0,476,984,921830,467750,10164380,11382780,2306392360,851590,0,0,0,0,0,25,0,7,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,sw,128K,,1,Image.tif_,191346108,,794.706,810.117,849.081,849.081,849.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,256K,1,1,Image.tif_,191346108,661.726,,,,,,275.77,0.14,2.14,1.31,96.41,21.89x,9.42M,183M,730,191365120,6896656,0,0,0,0,237,493,1313620,263750,9488610,9382600,2436994050,751950,0,0,0,0,0,25,0,7,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,256K,2,1,Image.tif_,191346108,703.889,,,,,,259.25,0.02,1.39,1.30,97.29,21.89x,9.42M,183M,730,191365120,6896709,0,0,0,0,238,492,1383970,273180,9383230,9289720,2479396270,775090,0,0,0,0,0,25,0,7,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,256K,3,1,Image.tif_,191346108,688.620,,,,,,265.00,0.02,1.44,1.10,97.43,21.89x,9.42M,183M,730,191365120,6896778,0,0,0,0,236,494,822590,266960,9397910,9308490,2438361220,739800,0,0,0,0,0,25,0,7,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,sw,256K,,1,Image.tif_,191346108,,684.745,688.620,703.889,703.889,703.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,1M,1,1,Image.tif_,191346108,632.521,,,,,,288.50,0.05,1.32,1.42,97.21,25.47x,7.66M,183M,183,191889408,6992604,0,0,0,0,60,123,120400,68000,7966720,7457980,2556345700,185830,0,0,0,0,0,25,0,7,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,1M,2,1,Image.tif_,191346108,633.988,,,,,,287.83,0.02,1.39,0.83,97.75,25.47x,7.66M,183M,183,191889408,6992742,0,0,0,0,61,122,14337480,74440,7807140,7355170,2551828440,192770,0,0,0,0,0,25,0,7,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,1M,3,1,Image.tif_,191346108,630.837,,,,,,289.27,0.05,1.35,1.01,97.59,25.45x,7.66M,183M,183,191889408,6994317,0,0,0,0,61,122,5274430,67080,7990960,7496520,2582893630,183270,0,0,0,0,0,25,0,7,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,sw,1M,,1,Image.tif_,191346108,,632.449,632.521,633.988,633.988,633.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
