row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,qat,128K,1,4,Image.tif_,765384432,1330.135,,,,,,548.76,0.13,3.24,1.58,95.05,17.16x,51.5M,730M,5840,765460480,27367376,5699,43421696,746979328,0,6743,4796,6456666,3456572,41421948,45453002,19172864266,4106902,14190523,23968438,1242630729,1411990,0,50,0,8,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,128K,2,4,Image.tif_,765384432,1333.310,,,,,,547.46,0.05,3.09,1.47,95.40,17.16x,51.5M,730M,5840,765460480,27367475,5672,43229184,743440384,0,6720,4792,7015771,3380783,41870505,45807811,18999097354,4165882,14347390,23059650,1320314090,1543671,0,50,0,13,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,128K,3,4,Image.tif_,765384432,1324.167,,,,,,551.24,0.04,3.24,1.71,95.01,17.16x,51.5M,730M,5840,765460480,27367268,5601,42713088,734134272,0,6638,4803,5782813,3166792,41835255,45797758,19028720891,4235463,14051595,23021057,1222080728,1383080,0,50,0,13,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,qat,128K,,4,Image.tif_,765384432,,1329.204,1330.135,1333.310,1333.310,1333.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,256K,1,4,Image.tif_,765384432,1336.089,,,,,,546.32,0.05,2.34,1.68,95.93,21.96x,37.4M,730M,2920,765460480,27586695,2825,33611776,740556800,0,3342,2403,3949282,1971852,38409809,37400606,19951632239,3178783,12811297,16461669,1250664888,824690,0,50,0,13,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,256K,2,4,Image.tif_,765384432,1347.767,,,,,,541.58,0.07,2.40,1.46,96.07,21.96x,37.4M,730M,2920,765460480,27586757,2838,33726464,743964672,0,3353,2405,3558311,1973122,38607036,37420184,20189902410,3263261,12839286,16473827,1285254662,858340,0,50,0,13,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,256K,3,4,Image.tif_,765384432,1331.316,,,,,,548.28,0.04,2.42,1.69,95.86,21.96x,37.4M,730M,2920,765460480,27586882,2837,33968128,743702528,0,3361,2396,3917281,1878822,38462382,37463373,19966474269,3347104,12826042,16646990,1217476186,806830,0,50,0,13,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,qat,256K,,4,Image.tif_,765384432,,1338.391,1336.089,1347.767,1347.767,1347.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,1M,1,4,Image.tif_,765384432,1233.971,,,,,,591.53,0.08,2.15,1.72,96.06,25.56x,30.4M,732M,732,767557632,27978146,720,29302784,754974720,0,855,597,71422796,1101110,31245940,29083120,20148400970,787360,10692214,11544143,1129063420,276850,0,50,0,13,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,1M,2,4,Image.tif_,765384432,1215.570,,,,,,600.48,0.05,1.95,1.63,96.38,25.56x,30.4M,732M,732,767557632,27973330,718,29523968,752877568,0,855,595,41460195,1120711,30906427,29097781,20406650254,772870,10677192,11441784,1092899878,269781,0,50,0,13,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,1M,3,4,Image.tif_,765384432,1206.061,,,,,,605.22,0.05,1.82,1.56,96.56,25.56x,30.4M,732M,732,767557632,27972994,704,28844032,738197504,0,835,601,47382264,1403022,31148682,29210318,20294913198,794590,10811466,11509986,1089299467,276160,0,50,0,13,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,qat,1M,,4,Image.tif_,765384432,,1218.534,1215.570,1233.971,1233.971,1233.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
