row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,qat,128K,1,4,Image.tif_,765384432,1298.047,,,,,,562.33,0.05,3.35,1.68,94.92,17.16x,51.5M,730M,5840,765460480,27367673,5672,43339776,743440384,0,6749,4763,11111050,3954530,41453460,45449220,19250884020,4039990,14156400,23330910,1212962380,1365540,0,50,0,9,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,128K,2,4,Image.tif_,765384432,1310.751,,,,,,556.88,0.04,3.12,1.97,94.88,17.16x,51.5M,730M,5840,765460480,27367505,5709,43458560,748290048,0,6768,4781,6038790,2253640,41578160,45256550,19173086890,4119680,14283020,24701890,1221690550,1397870,0,50,0,9,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,128K,3,4,Image.tif_,765384432,1331.996,,,,,,548.00,0.11,3.32,1.66,94.92,17.16x,51.5M,730M,5840,765460480,27367616,5640,42921984,739246080,0,6691,4789,9673130,4433270,41677480,45559260,19236324870,4101130,14068540,23125710,1334073120,1538200,0,50,0,11,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,qat,128K,,4,Image.tif_,765384432,,1313.598,1310.751,1331.996,1331.996,1331.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,256K,1,4,Image.tif_,765384432,1294.129,,,,,,564.03,0.04,2.37,1.69,95.90,21.96x,37.4M,730M,2920,765460480,27586518,2833,33878016,742653952,0,3348,2405,6215090,1878690,38386170,37485520,19937878340,3184490,12558690,16588270,1223695010,808730,0,50,0,11,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,256K,2,4,Image.tif_,765384432,1297.725,,,,,,562.47,0.05,2.51,1.47,95.97,21.96x,37.4M,730M,2920,765460480,27586670,2845,33935360,745799680,0,3352,2413,3309890,1747960,38410370,37453110,20001837560,3262010,12843920,16990870,1266781470,830380,0,50,0,11,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,256K,3,4,Image.tif_,765384432,1318.117,,,,,,553.77,0.06,2.49,1.72,95.73,21.96x,37.4M,730M,2920,765460480,27586833,2847,33849344,746323968,0,3389,2378,6690170,1957960,38519540,37294020,19977372830,3171350,12977490,17023180,1228232180,827140,0,50,0,12,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,qat,256K,,4,Image.tif_,765384432,,1303.324,1297.725,1318.117,1318.117,1318.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,1M,1,4,Image.tif_,765384432,1273.222,,,,,,573.29,0.06,2.07,1.54,96.33,25.56x,30.4M,732M,732,767557632,27976861,709,29134848,743440384,0,841,600,106860150,1843310,31138860,29174830,20306781420,793590,10490770,11445080,1105641200,268120,0,50,0,12,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,1M,2,4,Image.tif_,765384432,1301.062,,,,,,561.02,0.04,1.96,1.62,96.38,25.56x,30.4M,732M,732,767557632,27972825,718,29331456,752877568,0,843,607,52658980,682090,31469990,29209240,20099890220,767450,10654850,11609170,1095308480,288980,0,50,0,12,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,1M,3,4,Image.tif_,765384432,1212.796,,,,,,601.86,0.12,2.40,1.71,95.78,25.56x,30.4M,732M,732,767557632,27972723,699,28524544,732954624,0,882,549,25482380,831190,33362420,30094740,15270488410,896780,10563730,11370240,1031731500,254900,0,50,0,12,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,qat,1M,,4,Image.tif_,765384432,,1262.360,1273.222,1301.062,1301.062,1301.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
