row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1284.493,,,,,,568.26,0.07,4.26,1.96,93.71,17.16x,51.5M,730M,5840,765460480,27367835,0,0,0,0,1033,4807,14419539,3626980,41595285,45094771,19239326454,4320300,0,0,0,0,0,50,0,13,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,128K,2,4,Image.tif_,765384432,1229.918,,,,,,593.48,0.05,4.27,2.19,93.49,17.16x,51.5M,730M,5840,765460480,27367532,0,0,0,0,1049,4791,5408513,2578020,41677878,45155253,19078960723,4291882,0,0,0,0,0,50,0,13,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,128K,3,4,Image.tif_,765384432,1252.295,,,,,,582.87,0.05,4.10,1.84,94.01,17.16x,51.5M,730M,5840,765460480,27367874,0,0,0,0,1032,4808,7458803,2935390,41367377,45115384,19214504877,4196081,0,0,0,0,0,50,0,13,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,sw,128K,,4,Image.tif_,765384432,,1255.569,1252.295,1284.493,1284.493,1284.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,256K,1,4,Image.tif_,765384432,1204.503,,,,,,606.00,0.12,3.94,1.61,94.33,21.96x,37.4M,730M,2920,765460480,27586750,0,0,0,0,539,2381,5933224,1438110,38545542,37217183,19953129583,3250410,0,0,0,0,0,50,0,13,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,256K,2,4,Image.tif_,765384432,1195.555,,,,,,610.53,0.05,3.65,1.66,94.64,21.96x,37.4M,730M,2920,765460480,27586561,0,0,0,0,527,2393,4216530,2219382,38738627,37361008,20102903852,3307926,0,0,0,0,0,50,0,13,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,256K,3,4,Image.tif_,765384432,1207.990,,,,,,604.25,0.08,3.57,1.71,94.65,21.96x,37.4M,730M,2920,765460480,27586704,0,0,0,0,551,2369,5473421,2403351,38740172,37296254,20081696251,3324591,0,0,0,0,0,50,0,13,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,sw,256K,,4,Image.tif_,765384432,,1202.683,1204.503,1207.990,1207.990,1207.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,1M,1,4,Image.tif_,765384432,1131.009,,,,,,645.38,0.04,3.21,1.71,95.04,25.56x,30.4M,732M,732,767557632,27971542,0,0,0,0,140,592,54396516,1391341,30819440,28883029,20168657778,808621,0,0,0,0,0,50,0,13,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,1M,2,4,Image.tif_,765384432,1184.169,,,,,,616.40,0.05,3.18,2.13,94.64,25.56x,30.4M,732M,732,767557632,27974011,0,0,0,0,130,602,17415597,1359471,31111628,29018215,20153187221,774500,0,0,0,0,0,50,0,13,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,1M,3,4,Image.tif_,765384432,1213.514,,,,,,601.50,0.04,2.95,1.82,95.19,25.56x,30.4M,732M,732,767557632,27974047,0,0,0,0,135,597,26524702,288690,30636288,28802348,20149709776,768020,0,0,0,0,0,50,0,13,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,sw,1M,,4,Image.tif_,765384432,,1176.231,1184.169,1213.514,1213.514,1213.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
