row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,781.412,,,,,,233.53,0.02,1.93,1.33,96.71,16.88x,13.0M,183M,1460,191365120,6953475,0,0,0,0,1460,0,1460,0,363261,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437140,377430,8078233,9558773,1965556181,668700,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,2,1,Image.tif_,191346108,768.406,,,,,,237.48,0.02,1.90,0.75,97.33,16.88x,13.0M,183M,1460,191365120,6953472,0,0,0,0,1460,0,1460,0,385810,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220970,361760,8081165,9905208,1961112985,677500,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,3,1,Image.tif_,191346108,726.808,,,,,,251.07,0.02,1.77,0.71,97.50,16.88x,13.0M,183M,1460,191365120,6953470,0,0,0,0,1460,0,1460,0,373511,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308120,364750,8114198,9843674,1972758333,647221,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,128K,,1,Image.tif_,191346108,,758.875,768.406,781.412,781.412,781.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,1,1,Image.tif_,191346108,679.779,,,,,,268.44,0.02,1.60,0.71,97.67,21.63x,9.52M,183M,730,191365120,7005037,0,0,0,0,730,0,730,0,227360,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468250,227930,7551714,8011317,1936949411,679180,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,2,1,Image.tif_,191346108,689.386,,,,,,264.70,0.02,1.51,0.94,97.53,21.63x,9.52M,183M,730,191365120,7005038,0,0,0,0,730,0,730,0,225680,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270001,218680,7376161,7912366,1967160805,654040,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,3,1,Image.tif_,191346108,712.431,,,,,,256.14,0.02,1.42,1.24,97.32,21.63x,9.52M,183M,730,191365120,7005037,0,0,0,0,730,0,730,0,235190,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132380,222160,7390926,7964166,1981219118,646270,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,256K,,1,Image.tif_,191346108,,693.865,689.386,712.431,712.431,712.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,1,1,Image.tif_,191346108,639.866,,,,,,285.19,0.02,1.38,0.80,97.80,25.15x,7.75M,183M,183,191889408,7115056,0,0,0,0,183,0,183,0,61360,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53346244,64560,6011101,6006542,1915442690,163810,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,2,1,Image.tif_,191346108,619.274,,,,,,294.67,0.02,1.47,0.70,97.80,25.15x,7.75M,183M,183,191889408,7115056,0,0,0,0,183,0,183,0,60340,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22489130,62240,6049023,5824934,1936402956,154600,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
