row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,809.976,,,,,,225.29,2.57,2.42,1.59,93.42,16.88x,13.0M,183M,1460,191365120,6953476,0,0,0,0,1460,0,1460,0,390480,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368020,341680,8188920,9887550,1684343810,635770,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,2,1,Image.tif_,191346108,660.851,,,,,,276.13,2.00,2.82,0.70,94.48,16.88x,13.0M,183M,1460,191365120,6953471,0,0,0,0,1460,0,1460,0,394850,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222690,355500,8212110,11249400,1969131530,686920,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,3,1,Image.tif_,191346108,715.934,,,,,,254.89,1.28,2.06,1.30,95.35,16.88x,13.0M,183M,1460,191365120,6953470,0,0,0,0,1460,0,1460,0,425530,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327450,360970,8129340,9964960,1970526950,675300,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,128K,,1,Image.tif_,191346108,,728.920,715.934,809.976,809.976,809.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,1,1,Image.tif_,191346108,681.914,,,,,,267.60,1.21,1.93,0.98,95.88,21.63x,9.52M,183M,730,191365120,7005037,0,0,0,0,730,0,730,0,233530,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299650,236470,7463620,7916220,1935383790,664950,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,2,1,Image.tif_,191346108,610.744,,,,,,298.79,0.00,1.62,0.76,97.61,21.63x,9.52M,183M,730,191365120,7005037,0,0,0,0,730,0,730,0,221580,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159960,215220,7426960,7988450,1973672020,650720,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,3,1,Image.tif_,191346108,624.706,,,,,,292.11,0.05,1.69,1.04,97.22,21.63x,9.52M,183M,730,191365120,7005037,0,0,0,0,730,0,730,0,226540,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160910,224230,7387040,7972800,1980706780,636020,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,256K,,1,Image.tif_,191346108,,639.121,624.706,681.914,681.914,681.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,1,1,Image.tif_,191346108,614.855,,,,,,296.79,0.05,1.64,0.81,97.51,25.15x,7.75M,183M,183,191889408,7115056,0,0,0,0,183,0,183,0,63380,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70478590,64860,6129700,5982900,1919196030,171330,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,2,1,Image.tif_,191346108,642.080,,,,,,284.20,0.41,2.37,0.89,96.33,25.15x,7.75M,183M,183,191889408,7115056,0,0,0,0,183,0,183,0,64080,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71903040,64370,6014560,5930850,1911026390,176530,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,3,1,Image.tif_,191346108,600.762,,,,,,303.75,0.03,1.37,0.70,97.91,25.15x,7.75M,183M,183,191889408,7115056,0,0,0,0,183,0,183,0,60250,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49770,61880,6104560,5935020,1962129670,160790,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,1M,,1,Image.tif_,191346108,,619.232,614.855,642.080,642.080,642.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
