row_type,mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_srcversion
raw,qat,128K,1,1,Image.tif_,191346108,889.852,,,,,,205.07,0.03,1.19,0.86,97.92,16.88x,13.0M,183M,1460,191365120,6953475,1298,10121216,170131456,0,1784,974,3928540,426660,10230206,11207566,1960906552,841501,2586442,4897616,234483367,94960,yes,1,1048576,48,9005FF9E36B658359545E79
raw,qat,128K,2,1,Image.tif_,191346108,800.774,,,,,,227.88,0.02,1.19,0.78,98.02,16.88x,13.0M,183M,1460,191365120,6953470,1366,10637312,179044352,0,1842,984,2312741,406130,10189636,11263642,1968372533,853310,2531241,4959912,244913120,88020,yes,1,1048576,48,9005FF9E36B658359545E79
raw,qat,128K,3,1,Image.tif_,191346108,888.826,,,,,,205.31,0.05,1.56,1.66,96.73,16.88x,13.0M,183M,1460,191365120,6953477,1407,10952704,184418304,0,1885,982,6562753,446440,10250436,11251067,1966845274,839630,2670841,4969101,275459681,90280,yes,1,1048576,48,9005FF9E36B658359545E79
summary,qat,128K,,1,Image.tif_,191346108,,859.817,888.826,889.852,889.852,889.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1048576,48,9005FF9E36B658359545E79
raw,qat,256K,1,1,Image.tif_,191346108,676.097,,,,,,269.90,0.02,1.19,0.69,98.10,21.63x,9.52M,183M,730,191365120,7005038,625,7442432,163840000,0,869,486,14710967,259580,9784791,9496344,1927113840,771790,2309891,3311142,199178435,110310,yes,1,1048576,48,9005FF9E36B658359545E79
raw,qat,256K,2,1,Image.tif_,191346108,732.246,,,,,,249.21,0.02,1.10,0.85,98.03,21.63x,9.52M,183M,730,191365120,7005037,660,7782400,173015040,0,900,490,1971511,261100,9610395,9382079,1969683731,773410,2447151,3405692,209869952,98820,yes,1,1048576,48,9005FF9E36B658359545E79
raw,qat,256K,3,1,Image.tif_,191346108,658.286,,,,,,277.21,0.02,1.04,0.90,98.04,21.63x,9.52M,183M,730,191365120,7005037,650,7696384,170393600,0,887,493,5930611,275860,9589371,9553591,1971891930,741531,2429460,3316560,205500242,108020,yes,1,1048576,48,9005FF9E36B658359545E79
summary,qat,256K,,1,Image.tif_,191346108,,688.876,676.097,732.246,732.246,732.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1048576,48,9005FF9E36B658359545E79
raw,qat,1M,1,1,Image.tif_,191346108,577.327,,,,,,316.08,0.05,1.18,0.86,97.91,25.15x,7.75M,183M,183,191889408,7115055,148,6328320,155189248,0,210,121,18407825,447960,8125098,7539953,1912128082,187050,2077112,2272700,166938854,48010,yes,1,1048576,48,9005FF9E36B658359545E79
raw,qat,1M,2,1,Image.tif_,191346108,590.628,,,,,,308.96,0.03,0.94,0.76,98.27,25.15x,7.75M,183M,183,191889408,7115056,154,6447104,161480704,0,214,123,5823382,68480,8022954,7477934,1958490990,184850,2263532,2411172,173392622,51010,yes,1,1048576,48,9005FF9E36B658359545E79
raw,qat,1M,3,1,Image.tif_,191346108,592.812,,,,,,307.82,0.03,0.97,0.71,98.30,25.15x,7.75M,183M,183,191889408,7115056,160,6774784,167772160,0,222,121,4826315,70140,7939742,7487271,1955717224,174490,2228153,2456680,180964063,52030,yes,1,1048576,48,9005FF9E36B658359545E79
summary,qat,1M,,1,Image.tif_,191346108,,586.922,590.628,592.812,592.812,592.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1048576,48,9005FF9E36B658359545E79
