row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,sw,128K,1,4,Image.tif_,765384432,1078.048,,,,,,677.08,0.06,10.55,1.75,87.64,17.01x,51.8M,730M,2149,281673728,11442258,0,0,0,0,695,1454,2149,0,441160,317001139,246464512,70540925,175923587,0,0,68768,60172,19341,79513,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6537887,0,31298733,14731043,88880130103,8663950,0,0,0,0,0,768,0,0,5840,0,2149,2149,3691,0,0,0,0,0,0,0,768,3691,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,10.61,10.269604,10.211529,36.80,36.80,63.20,63.20,331074263,330870657
raw,qat,sw,128K,2,4,Image.tif_,765384432,1055.497,,,,,,691.55,0.06,10.47,2.17,87.30,17.02x,51.7M,730M,2165,283770880,11567354,0,0,0,0,666,1499,2165,0,445040,319361315,248299520,71066125,177233395,0,0,69280,60620,19485,80105,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293473,0,26075515,15077174,89060914339,7013727,0,0,0,0,0,768,0,0,5840,0,2165,2165,3675,0,0,0,0,0,0,0,768,3675,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,10.53,9.978967,9.922107,37.08,37.07,62.93,62.93,329271430,329093448
raw,qat,sw,128K,3,4,Image.tif_,765384432,1064.021,,,,,,686.01,0.06,10.15,1.69,88.10,17.01x,51.8M,730M,2183,286130176,11801927,0,0,0,0,672,1511,2183,0,462080,322016513,250363904,71656975,178706929,0,0,69856,61124,19647,80771,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1331332,0,25587045,15065456,90372020259,6889658,0,0,0,0,0,768,0,0,5840,0,2183,2183,3657,0,0,0,0,0,0,0,768,3657,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,10.21,9.753852,9.696533,37.38,37.38,62.62,62.62,331358909,331184683
summary,qat,sw,128K,,4,Image.tif_,765384432,,1065.855,1064.021,1078.048,1078.048,1078.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675,,,,,,,,,,
raw,qat,sw,256K,1,4,Image.tif_,765384432,948.799,,,,,,769.32,0.11,11.41,1.28,87.19,21.75x,37.8M,730M,798,209190912,8864643,0,0,0,0,727,71,798,0,190951,235383666,183042048,52343214,130698834,0,0,51072,44688,13566,58254,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361091,0,13545949,9528279,19421033512,1981542,0,0,0,0,0,768,0,0,2920,0,798,798,2122,0,0,0,0,0,0,0,768,2122,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,11.52,9.813568,9.719862,27.33,27.33,72.67,72.67,97474132,97348539
raw,qat,sw,256K,2,4,Image.tif_,765384432,960.831,,,,,,759.68,0.08,10.95,1.20,87.77,21.73x,37.8M,730M,778,203948032,8649693,0,0,0,0,724,54,778,0,200530,229484326,178454528,51031354,127423174,0,0,49792,43568,13226,56794,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469550,0,11911607,9070448,19025669632,1844023,0,0,0,0,0,768,0,0,2920,0,778,778,2142,0,0,0,0,0,0,0,768,2142,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,11.03,9.515306,9.446292,26.65,26.64,73.36,73.36,97935711,97818353
raw,qat,sw,256K,3,4,Image.tif_,765384432,950.128,,,,,,768.24,0.07,10.98,1.20,87.76,21.73x,37.8M,730M,785,205783040,8940120,0,0,0,0,698,87,785,0,194450,231549095,180060160,51490505,128569655,0,0,50240,43960,13345,57305,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608470,0,12528932,9306379,19252764447,1909130,0,0,0,0,0,768,0,0,2920,0,785,785,2135,0,0,0,0,0,0,0,768,2135,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,11.05,9.426373,9.366658,26.89,26.88,73.12,73.12,98224249,98103258
summary,qat,sw,256K,,4,Image.tif_,765384432,,953.253,950.128,960.831,960.831,960.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675,,,,,,,,,,
raw,qat,sw,1M,1,4,Image.tif_,765384432,855.810,,,,,,852.91,0.07,11.44,1.07,87.42,25.36x,30.7M,732M,225,235929600,10175647,0,0,0,0,225,0,225,0,79130,265433175,206438400,58995225,147443175,0,0,57600,50400,14625,65025,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160320,0,10392767,8657566,10436173134,881022,0,0,0,0,0,768,0,0,732,0,225,225,507,0,0,0,0,0,0,0,768,507,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,11.51,8.844085,8.790298,30.82,30.74,69.26,69.26,46471576,46382992
raw,qat,sw,1M,2,4,Image.tif_,765384432,859.376,,,,,,849.37,0.05,10.97,1.83,87.15,25.35x,30.7M,732M,232,243269632,10071510,0,0,0,0,232,0,232,0,78980,273691096,212860928,60830632,152030296,0,0,59392,51968,15080,67048,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185330,0,10342658,8795539,10712652154,671341,0,0,0,0,0,768,0,0,732,0,232,232,500,0,0,0,0,0,0,0,768,500,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,11.02,8.502860,8.464281,31.78,31.69,68.31,68.31,46260611,46175225
