row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,qat,128K,1,1,Image.tif_,191346108,965.299,,,,,,189.04,0.03,1.24,0.98,97.74,17.11x,12.9M,183M,1460,191365120,6841996,1274,9715712,166985728,0,1750,984,2546163,457260,10241824,11249377,2316662515,931920,2532932,5062602,223648807,84430,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,128K,2,1,Image.tif_,191346108,901.276,,,,,,202.47,0.02,1.21,0.95,97.83,17.11x,12.9M,183M,1460,191365120,6841902,1393,10612736,182583296,0,1866,987,1898130,429750,10177166,11201566,2319842554,800371,2826311,5374461,243889981,89700,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,128K,3,1,Image.tif_,191346108,769.846,,,,,,237.04,0.02,1.65,1.88,96.45,17.11x,12.9M,183M,1460,191365120,6841940,1302,9773056,170655744,0,1782,980,4424206,484511,10262136,11316795,2314051407,855190,2479902,4703565,228684236,83650,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
summary,qat,qat,128K,,1,Image.tif_,191346108,,878.807,901.276,965.299,965.299,965.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,256K,1,1,Image.tif_,191346108,751.064,,,,,,242.96,0.02,1.16,1.08,97.74,21.89x,9.42M,183M,730,191365120,6896638,606,7393280,158859264,0,843,493,9515256,282920,9563146,9318773,2427203673,787920,2417001,3424111,185437456,107380,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,256K,2,1,Image.tif_,191346108,896.445,,,,,,203.56,0.02,0.90,1.28,97.80,21.89x,9.42M,183M,730,191365120,6896671,652,7766016,170917888,0,886,496,1796230,272610,9436998,9302327,2458660139,777970,2434320,3380313,200692786,93790,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,256K,3,1,Image.tif_,191346108,803.480,,,,,,227.11,0.04,0.97,0.91,98.09,21.89x,9.42M,183M,730,191365120,6896700,661,7942144,173277184,0,895,496,2262471,287950,9461852,9354514,2423765401,776380,2436671,3450602,202644458,104550,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
summary,qat,qat,256K,,1,Image.tif_,191346108,,816.996,803.480,896.445,896.445,896.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,1M,1,1,Image.tif_,191346108,674.137,,,,,,270.69,0.05,0.97,0.90,98.09,25.45x,7.66M,183M,183,191889408,6993088,158,6418432,165675008,0,221,120,16206013,67520,7863457,7298980,2506012952,174810,2459780,2564902,171051546,55590,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,1M,2,1,Image.tif_,191346108,624.556,,,,,,292.18,0.05,1.34,1.07,97.55,25.48x,7.65M,183M,183,191889408,6991368,154,6385664,161480704,0,212,125,2882741,65140,7924323,7297774,2528129658,176480,2412443,2563971,164401598,49520,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,1M,3,1,Image.tif_,191346108,631.439,,,,,,288.99,0.05,0.93,0.86,98.16,25.47x,7.66M,183M,183,191889408,6992669,154,6488064,161480704,0,212,125,13316564,74580,7968144,7596031,2501908193,186840,2298332,2516200,166425526,64800,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
summary,qat,qat,1M,,1,Image.tif_,191346108,,643.377,631.439,674.137,674.137,674.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
