row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,qat,128K,1,4,Image.tif_,765384432,1310.606,,,,,,556.94,0.06,3.20,2.43,94.31,17.16x,51.5M,730M,5840,765460480,27367417,5738,43667456,752091136,0,6825,4753,9338934,3007220,41078061,44983431,19050987220,4096973,14206449,24558832,1245228282,1276250,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,128K,2,4,Image.tif_,765384432,1361.273,,,,,,536.21,0.05,3.08,2.11,94.76,17.16x,51.5M,730M,5840,765460480,27367661,5689,43278336,745668608,0,6701,4828,8528815,3750650,41391213,44799716,19107859401,4287740,14122538,23840166,1264728232,1385321,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,128K,3,4,Image.tif_,765384432,1348.670,,,,,,541.22,0.06,3.13,2.27,94.54,17.16x,51.5M,730M,5840,765460480,27367975,5687,43364352,745406464,0,6763,4764,15871352,3581262,41560394,45165663,19165691166,4233382,14536957,24682747,1194025519,1356540,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
summary,qat,qat,128K,,4,Image.tif_,765384432,,1340.183,1348.670,1361.273,1361.273,1361.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,256K,1,4,Image.tif_,765384432,1280.693,,,,,,569.95,0.05,2.56,1.57,95.82,21.96x,37.4M,730M,2920,765460480,27586781,2859,33964032,749469696,0,3389,2390,13228539,3631531,38628113,37212113,19900410221,3329454,12783215,16615915,1301341720,873450,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,256K,2,4,Image.tif_,765384432,1308.330,,,,,,557.91,0.04,2.38,1.62,95.96,21.96x,37.4M,730M,2920,765460480,27586632,2837,33878016,743702528,0,3378,2379,5225753,1851850,38724826,37189131,19988554524,3372650,12759666,17143985,1186762869,800680,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,256K,3,4,Image.tif_,765384432,1284.709,,,,,,568.17,0.11,2.60,1.51,95.78,21.96x,37.4M,730M,2920,765460480,27586966,2848,33968128,746586112,0,3358,2410,5302575,2859901,38785355,37245785,20098845964,3380080,13068378,17545304,1225383950,813770,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
summary,qat,qat,256K,,4,Image.tif_,765384432,,1291.244,1284.709,1308.330,1308.330,1308.330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,1M,1,4,Image.tif_,765384432,1223.836,,,,,,596.43,0.03,2.01,1.55,96.41,25.55x,30.4M,732M,732,767557632,27976008,724,29708288,759169024,0,849,607,46233779,1589160,31011163,28999459,19907822540,823341,10751206,11762079,1113787365,255190,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,1M,2,4,Image.tif_,765384432,1215.738,,,,,,600.40,0.06,2.01,1.47,96.45,25.57x,30.4M,732M,732,767557632,27970901,707,29220864,741343232,0,840,599,44896217,998530,30669856,28988035,20302813480,803800,10623059,11568437,1041312566,270831,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,1M,3,4,Image.tif_,765384432,1190.609,,,,,,613.07,0.03,2.00,1.43,96.55,25.56x,30.4M,732M,732,767557632,27973622,718,29528064,752877568,0,842,608,13409338,1185291,30729446,28736318,19833722008,808140,10568458,11440486,1112481325,267571,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
summary,qat,qat,1M,,4,Image.tif_,765384432,,1210.061,1215.738,1223.836,1223.836,1223.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
