row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,qat,128K,1,4,Image.tif_,765384432,1308.259,,,,,,557.94,0.05,3.15,1.51,95.30,17.16x,51.5M,730M,5840,765460480,27367545,5680,43298816,744488960,0,6723,4797,9838777,2962652,41337192,44901759,19254494111,4075970,14211218,23083422,1288024048,1405900,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,128K,2,4,Image.tif_,765384432,1341.613,,,,,,544.07,0.02,3.09,1.46,95.43,17.16x,51.5M,730M,5840,765460480,27367596,5586,42631168,732168192,0,6651,4775,10118214,2274931,41534357,44851233,19250762379,4348193,13903527,22784225,1308285706,1530750,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,128K,3,4,Image.tif_,765384432,1355.077,,,,,,538.66,0.05,3.08,2.00,94.87,17.16x,51.5M,730M,5840,765460480,27367432,5705,43376640,747765760,0,6726,4819,6611051,3048502,41775880,45144991,19120195947,4477425,13879116,24291091,1229651004,1204760,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
summary,qat,qat,128K,,4,Image.tif_,765384432,,1334.983,1341.613,1355.077,1355.077,1355.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,256K,1,4,Image.tif_,765384432,1268.911,,,,,,575.24,0.05,2.55,1.46,95.94,21.96x,37.4M,730M,2920,765460480,27586955,2828,33619968,741343232,0,3343,2405,4893991,1279051,38385825,37318689,19964690692,3403832,13106056,17525303,1223295229,808100,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,256K,2,4,Image.tif_,765384432,1270.989,,,,,,574.30,0.06,2.40,1.50,96.04,21.96x,37.4M,730M,2920,765460480,27586748,2826,33775616,740818944,0,3342,2404,2590931,1652202,38504536,37182865,19933454540,3443730,12896467,16782469,1205416726,802360,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,256K,3,4,Image.tif_,765384432,1314.364,,,,,,555.35,0.04,2.37,1.59,96.00,21.96x,37.4M,730M,2920,765460480,27587004,2836,33734656,743440384,0,3362,2394,3856101,1968711,38757263,37481962,20094293129,3393851,13010056,16763205,1259010900,823320,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
summary,qat,qat,256K,,4,Image.tif_,765384432,,1284.755,1270.989,1314.364,1314.364,1314.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,1M,1,4,Image.tif_,765384432,1225.331,,,,,,595.70,0.08,2.02,1.49,96.42,25.56x,30.4M,732M,732,767557632,27972818,709,28975104,743440384,0,836,605,65256095,793750,30899012,28963141,19876495886,804670,10582877,11572356,1086708029,266660,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,1M,2,4,Image.tif_,765384432,1196.413,,,,,,610.10,0.05,2.02,1.52,96.41,25.56x,30.4M,732M,732,767557632,27975352,705,28577792,739246080,0,828,609,23344881,310880,30985855,29162520,19921073307,807250,10439603,11211359,1065008512,253911,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,1M,3,4,Image.tif_,765384432,1201.666,,,,,,607.43,0.06,2.01,1.71,96.22,25.57x,30.4M,732M,732,767557632,27970444,718,29302784,752877568,0,854,596,30396316,682050,31030761,29017938,20152600762,796230,10806946,11729684,1107392184,272330,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
summary,qat,qat,1M,,4,Image.tif_,765384432,,1207.803,1201.666,1225.331,1225.331,1225.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
