row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,qat,128K,1,1,Image.tif_,191346108,813.222,,,,,,224.39,0.02,1.38,0.92,97.69,17.11x,12.9M,183M,1460,191365120,6841915,1336,10166272,175112192,0,1813,983,3482024,465170,10085448,11326540,2298807644,912670,2641861,4940151,232464169,89400,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,128K,2,1,Image.tif_,191346108,823.146,,,,,,221.69,0.02,1.32,0.91,97.75,17.11x,12.9M,183M,1460,191365120,6842011,1348,10407936,176685056,0,1828,980,4190154,486710,10007733,11379372,2305352426,852490,2625552,4931202,234272353,84440,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,128K,3,1,Image.tif_,191346108,868.484,,,,,,210.12,0.02,1.25,0.88,97.85,17.11x,12.9M,183M,1460,191365120,6841996,1335,10244096,174981120,0,1813,982,2215663,467020,10136691,11404156,2294796969,833350,2606633,5007751,231459654,83390,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
summary,qat,qat,128K,,1,Image.tif_,191346108,,834.951,823.146,868.484,868.484,868.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,256K,1,1,Image.tif_,191346108,721.762,,,,,,252.83,0.02,1.05,0.86,98.06,21.89x,9.42M,183M,730,191365120,6896865,641,7749632,168034304,0,877,494,334901,287830,9409933,9452473,2445311520,838131,2413640,3403121,197827284,96680,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,256K,2,1,Image.tif_,191346108,675.356,,,,,,270.20,0.09,1.13,0.92,97.86,21.89x,9.42M,183M,730,191365120,6896753,626,7471104,164102144,0,868,488,571600,299590,9431420,9318781,2484523645,864401,2398510,3402700,192706011,91040,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,256K,3,1,Image.tif_,191346108,665.639,,,,,,274.15,0.02,1.19,0.75,98.04,21.89x,9.42M,183M,730,191365120,6896832,662,7905280,173539328,0,897,495,1683660,289982,9402932,9339892,2451457765,870110,2474231,3583432,203062531,98050,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
summary,qat,qat,256K,,1,Image.tif_,191346108,,687.586,675.356,721.762,721.762,721.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,1M,1,1,Image.tif_,191346108,651.536,,,,,,280.08,0.05,0.90,1.02,98.03,25.47x,7.66M,183M,183,191889408,6992569,154,6430720,161480704,0,213,124,6506242,67340,7934892,7467500,2575922239,195430,2161262,2311730,166346878,47550,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,1M,2,1,Image.tif_,191346108,604.682,,,,,,301.78,0.05,1.00,1.02,97.93,25.47x,7.66M,183M,183,191889408,6993706,153,6311936,160432128,0,214,122,9270364,67730,7852374,7391521,2500891668,183800,2377071,2459553,165520298,50180,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
raw,qat,qat,1M,3,1,Image.tif_,191346108,604.479,,,,,,301.88,0.05,0.92,0.85,98.18,25.48x,7.65M,183M,183,191889408,6992274,154,6283264,161480704,0,216,121,3087450,67050,7603553,7277348,2614459344,202360,2178302,2379571,166369145,49070,yes,4,1048576,48,0,4,2,D872F247984AF9A2B7E42CC
summary,qat,qat,1M,,1,Image.tif_,191346108,,620.232,604.682,651.536,651.536,651.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
