row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,888.304,,,,,,205.43,0.04,1.54,1.03,97.39,17.11x,12.9M,183M,1460,191365120,6841977,0,0,0,0,477,983,4288252,467440,10001433,11265844,2310522793,901561,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,128K,2,1,Image.tif_,191346108,774.712,,,,,,235.55,0.10,2.16,1.80,95.93,17.11x,12.9M,183M,1460,191365120,6841914,0,0,0,0,484,976,3923092,463960,10124010,11367386,2289695956,821362,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,128K,3,1,Image.tif_,191346108,841.059,,,,,,216.97,0.02,1.53,1.46,96.99,17.12x,12.9M,183M,1460,191365120,6841949,0,0,0,0,478,982,2795900,435460,10196475,11196228,2325765057,812671,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,qat,sw,128K,,1,Image.tif_,191346108,,834.692,841.059,888.304,888.304,888.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,256K,1,1,Image.tif_,191346108,735.331,,,,,,248.16,0.02,1.35,1.41,97.21,21.89x,9.42M,183M,730,191365120,6896638,0,0,0,0,237,493,1804210,424672,9454117,9231276,2431175614,767031,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,256K,2,1,Image.tif_,191346108,649.809,,,,,,280.82,0.02,1.62,1.26,97.09,21.89x,9.42M,183M,730,191365120,6896723,0,0,0,0,239,491,1288111,296450,9493505,9342312,2455107976,808280,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,256K,3,1,Image.tif_,191346108,682.229,,,,,,267.48,0.05,1.41,1.75,96.79,21.89x,9.42M,183M,730,191365120,6896719,0,0,0,0,237,493,2439733,278770,9482173,9327855,2474242607,776600,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,qat,sw,256K,,1,Image.tif_,191346108,,689.123,682.229,735.331,735.331,735.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,1M,1,1,Image.tif_,191346108,649.414,,,,,,280.99,0.02,1.57,1.29,97.11,25.47x,7.66M,183M,183,191889408,6993551,0,0,0,0,60,123,3872221,71120,8046859,7596632,2609501677,193560,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,1M,2,1,Image.tif_,191346108,614.663,,,,,,296.88,0.03,1.29,1.44,97.25,25.45x,7.66M,183M,183,191889408,6995108,0,0,0,0,59,124,5140104,65990,7858299,7336211,2575119755,187490,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,1M,3,1,Image.tif_,191346108,633.495,,,,,,288.06,0.02,1.32,0.83,97.82,25.47x,7.66M,183M,183,191889408,6992590,0,0,0,0,60,123,2917752,74010,7978555,7555463,2555232287,199700,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,qat,sw,1M,,1,Image.tif_,191346108,,632.524,633.495,649.414,649.414,649.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
