row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1236.064,,,,,,590.53,0.05,4.33,2.95,92.67,17.16x,51.5M,730M,5840,765460480,27367817,0,0,0,0,1079,4761,7106475,2594480,41258310,44800292,18900433539,4253143,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,128K,2,4,Image.tif_,765384432,1251.560,,,,,,583.21,0.06,4.19,1.81,93.94,17.16x,51.5M,730M,5840,765460480,27367392,0,0,0,0,1025,4815,8470894,2654811,41544778,45164302,19158799579,4209651,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,128K,3,4,Image.tif_,765384432,1283.814,,,,,,568.56,0.06,4.13,2.34,93.47,17.16x,51.5M,730M,5840,765460480,27367568,0,0,0,0,1038,4802,6711235,2899543,41358582,44963733,19144864051,4355140,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,qat,sw,128K,,4,Image.tif_,765384432,,1257.146,1251.560,1283.814,1283.814,1283.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,256K,1,4,Image.tif_,765384432,1167.321,,,,,,625.30,0.05,3.78,1.80,94.36,21.96x,37.4M,730M,2920,765460480,27586599,0,0,0,0,501,2419,2986952,1905720,39041131,37452436,19821941908,3354910,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,256K,2,4,Image.tif_,765384432,1161.733,,,,,,628.31,0.05,3.77,1.80,94.37,21.96x,37.4M,730M,2920,765460480,27586686,0,0,0,0,532,2388,6332462,3645891,38791744,37304265,20054477428,3505521,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,256K,3,4,Image.tif_,765384432,1216.703,,,,,,599.92,0.12,3.83,1.88,94.17,21.96x,37.4M,730M,2920,765460480,27586883,0,0,0,0,714,2206,5426743,1169821,38411685,37322811,14992484337,3368651,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,qat,sw,256K,,4,Image.tif_,765384432,,1181.919,1167.321,1216.703,1216.703,1216.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,1M,1,4,Image.tif_,765384432,1196.972,,,,,,609.81,0.05,3.19,1.86,94.90,25.57x,30.4M,732M,732,767557632,27971640,0,0,0,0,178,554,28645899,619890,30844853,29125048,15229390850,822250,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,1M,2,4,Image.tif_,765384432,1224.498,,,,,,596.10,0.05,3.03,1.60,95.32,25.56x,30.4M,732M,732,767557632,27972696,0,0,0,0,136,596,26959143,1759511,31059379,28975659,20256899996,832480,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,1M,3,4,Image.tif_,765384432,1286.113,,,,,,567.55,0.07,3.31,1.57,95.04,25.57x,30.4M,732M,732,767557632,27971456,0,0,0,0,133,599,34690525,650370,30740488,28792358,20256397962,826910,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,qat,sw,1M,,4,Image.tif_,765384432,,1235.861,1224.498,1286.113,1286.113,1286.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
