row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1278.268,,,,,,571.03,0.05,4.40,2.00,93.55,17.16x,51.5M,730M,5840,765460480,27367754,0,0,0,0,1040,4800,8337604,3465051,41768669,45183696,19109760483,4250562,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,128K,2,4,Image.tif_,765384432,1210.367,,,,,,603.06,0.04,4.44,2.31,93.21,17.16x,51.5M,730M,5840,765460480,27367800,0,0,0,0,1536,4304,8933795,2319040,41044243,44952272,14015066351,4089761,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,128K,3,4,Image.tif_,765384432,1208.434,,,,,,604.03,0.05,4.49,3.19,92.27,17.16x,51.5M,730M,5840,765460480,27367511,0,0,0,0,1053,4787,5422614,2710262,41683725,44905751,18720338444,4275971,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,qat,sw,128K,,4,Image.tif_,765384432,,1232.356,1210.367,1278.268,1278.268,1278.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,256K,1,4,Image.tif_,765384432,1215.466,,,,,,600.53,0.05,3.51,1.71,94.73,21.96x,37.4M,730M,2920,765460480,27586693,0,0,0,0,520,2400,5900292,1313190,38367209,36908033,19945992588,3273390,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,256K,2,4,Image.tif_,765384432,1190.054,,,,,,613.36,0.07,3.56,1.68,94.70,21.96x,37.4M,730M,2920,765460480,27586824,0,0,0,0,515,2405,6162281,1443222,38538562,36963362,19893671490,3375464,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,256K,3,4,Image.tif_,765384432,1176.082,,,,,,620.64,0.05,3.64,1.62,94.69,21.96x,37.4M,730M,2920,765460480,27586548,0,0,0,0,503,2417,10602204,1484640,38635106,37143994,20042466138,3399792,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,qat,sw,256K,,4,Image.tif_,765384432,,1193.867,1190.054,1215.466,1215.466,1215.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,1M,1,4,Image.tif_,765384432,1160.525,,,,,,628.96,0.15,3.54,1.54,94.77,25.56x,30.4M,732M,732,767557632,27975361,0,0,0,0,126,606,35946989,634000,31243831,29341691,20012812568,869891,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,1M,2,4,Image.tif_,765384432,1196.233,,,,,,610.19,0.05,3.19,1.56,95.20,25.56x,30.4M,732M,732,767557632,27973958,0,0,0,0,130,602,25118244,297420,30766790,29007470,20219530720,797440,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,1M,3,4,Image.tif_,765384432,1192.920,,,,,,611.88,0.05,3.20,1.67,95.08,25.56x,30.4M,732M,732,767557632,27973842,0,0,0,0,123,609,42044602,720290,30636001,28991695,20372075086,811481,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,qat,sw,1M,,4,Image.tif_,765384432,,1183.226,1192.920,1196.233,1196.233,1196.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
