row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,852.644,,,,,,214.02,0.04,1.51,0.99,97.46,17.11x,12.9M,183M,1460,191365120,6841822,0,0,0,0,473,987,4911532,456840,10287072,11230864,2313889657,928650,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,128K,2,1,Image.tif_,191346108,735.237,,,,,,248.19,0.04,1.80,0.80,97.36,17.11x,12.9M,183M,1460,191365120,6841970,0,0,0,0,476,984,1279260,469240,10117837,11245467,2319880589,863630,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,128K,3,1,Image.tif_,191346108,796.432,,,,,,229.12,0.02,1.45,0.98,97.56,17.11x,12.9M,183M,1460,191365120,6841853,0,0,0,0,478,982,1953951,497910,10060129,11222334,2295363754,853320,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,qat,sw,128K,,1,Image.tif_,191346108,,794.771,796.432,852.644,852.644,852.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,256K,1,1,Image.tif_,191346108,741.774,,,,,,246.01,0.04,1.49,1.32,97.15,21.89x,9.42M,183M,730,191365120,6896859,0,0,0,0,236,494,1808201,279640,9441893,9465556,2432084647,814520,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,256K,2,1,Image.tif_,191346108,627.140,,,,,,290.97,0.10,1.78,0.87,97.26,21.89x,9.42M,183M,730,191365120,6896708,0,0,0,0,233,497,2563831,288040,9496882,9241380,2419367452,817630,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,256K,3,1,Image.tif_,191346108,758.948,,,,,,240.44,0.04,1.39,1.51,97.05,21.89x,9.42M,183M,730,191365120,6896674,0,0,0,0,247,483,1351231,266610,9435065,9308427,2362496716,789250,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,qat,sw,256K,,1,Image.tif_,191346108,,709.287,741.774,758.948,758.948,758.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,1M,1,1,Image.tif_,191346108,589.939,,,,,,309.32,0.05,1.31,0.81,97.82,25.45x,7.66M,183M,183,191889408,6995149,0,0,0,0,63,120,7345522,65610,7967582,7531194,2594845235,175670,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,1M,2,1,Image.tif_,191346108,616.293,,,,,,296.10,0.03,1.43,1.03,97.52,25.45x,7.66M,183M,183,191889408,6994115,0,0,0,0,62,121,6816542,71560,7985801,7572274,2549505732,183100,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,qat,sw,1M,3,1,Image.tif_,191346108,698.771,,,,,,261.15,0.04,1.15,1.13,97.67,25.47x,7.66M,183M,183,191889408,6992660,0,0,0,0,62,121,3035583,79160,7914378,7550777,2567785535,191930,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,qat,sw,1M,,1,Image.tif_,191346108,,635.001,616.293,698.771,698.771,698.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
