row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1212.405,,,,,,602.05,0.08,4.27,2.10,93.54,17.16x,51.5M,730M,5840,765460480,27367419,0,0,0,0,1034,4806,5840,0,1694940,861464240,669777920,191698000,478079920,0,0,186880,163520,52560,216080,256,224,65,289,1159810,1700840,35850610,38515680,19239642550,4455870,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
raw,qat,sw,128K,2,4,Image.tif_,765384432,1282.719,,,,,,569.05,0.05,4.02,2.04,93.89,17.16x,51.5M,730M,5840,765460480,27367576,0,0,0,0,1006,4834,5840,0,1656260,861464240,669777920,191698000,478079920,0,0,186880,163520,52560,216080,256,224,65,289,929490,1671210,36220260,38076020,19186819680,4534380,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
raw,qat,sw,128K,3,4,Image.tif_,765384432,1307.035,,,,,,558.46,0.05,3.96,2.24,93.75,17.16x,51.5M,730M,5840,765460480,27367879,0,0,0,0,1025,4815,5840,0,1680000,861464240,669777920,191698000,478079920,0,0,186880,163520,52560,216080,256,224,65,289,899430,1685760,36183070,38354500,19265078490,4506880,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
summary,qat,sw,128K,,4,Image.tif_,765384432,,1267.386,1282.719,1307.035,1307.035,1307.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,115945225BD3675428CDB9E
raw,qat,sw,256K,1,4,Image.tif_,765384432,1268.272,,,,,,575.53,0.12,3.80,2.13,93.95,21.96x,37.4M,730M,2920,765460480,27586807,0,0,0,0,500,2420,2920,0,933040,861303640,669777920,191531560,478246360,0,0,186880,163520,49640,213160,256,224,65,289,700920,943470,32282320,30659230,20060247670,3377200,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
raw,qat,sw,256K,2,4,Image.tif_,765384432,1228.662,,,,,,594.08,0.05,3.60,1.77,94.59,21.96x,37.4M,730M,2920,765460480,27586557,0,0,0,0,517,2403,2920,0,895790,861303640,669777920,191531560,478246360,0,0,186880,163520,49640,213160,256,224,65,289,529860,926740,32199310,30652800,19974104280,3368910,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
raw,qat,sw,256K,3,4,Image.tif_,765384432,1210.467,,,,,,603.01,0.06,3.61,1.80,94.52,21.97x,37.4M,730M,2920,765460480,27586799,0,0,0,0,539,2381,2920,0,905080,861303640,669777920,191531560,478246360,0,0,186880,163520,49640,213160,256,224,65,289,771790,927120,32052450,30483390,20049344780,3345710,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
summary,qat,sw,256K,,4,Image.tif_,765384432,,1235.800,1228.662,1268.272,1268.272,1268.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,115945225BD3675428CDB9E
raw,qat,sw,1M,1,4,Image.tif_,765384432,1170.092,,,,,,623.82,0.05,3.39,2.15,94.40,25.56x,30.4M,732M,732,767557632,27971818,0,0,0,0,136,596,732,0,230720,863542596,671612928,191931132,479681796,0,0,187392,163968,47580,211548,256,224,65,289,20432590,257780,25561380,23375690,19880353080,915750,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
raw,qat,sw,1M,2,4,Image.tif_,765384432,1280.720,,,,,,569.94,0.05,2.81,1.95,95.20,25.57x,30.4M,732M,732,767557632,27970809,0,0,0,0,124,608,732,0,234080,863542596,671612928,191931132,479681796,0,0,187392,163968,47580,211548,256,224,65,289,578640,247960,25169610,23040640,20022537670,935530,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
raw,qat,sw,1M,3,4,Image.tif_,765384432,1153.819,,,,,,632.62,0.04,3.02,1.80,95.14,25.56x,30.4M,732M,732,767557632,27972787,0,0,0,0,178,554,732,0,225330,863542596,671612928,191931132,479681796,0,0,187392,163968,47580,211548,256,224,65,289,551760,259400,25224960,23347100,15261905970,883440,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
summary,qat,sw,1M,,4,Image.tif_,765384432,,1201.544,1170.092,1280.720,1280.720,1280.720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,115945225BD3675428CDB9E
