row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,sw,sw,128K,1,1,Image.tif_,191346108,756.564,,,,,,241.20,0.12,4.37,1.33,94.17,16.86x,13.1M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,128K,2,1,Image.tif_,191346108,669.001,,,,,,272.77,0.05,4.32,0.65,94.99,16.86x,13.1M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,128K,3,1,Image.tif_,191346108,703.542,,,,,,259.38,0.04,4.19,0.68,95.08,16.86x,13.1M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,sw,sw,128K,,1,Image.tif_,191346108,,709.702,703.542,756.564,756.564,756.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,256K,1,1,Image.tif_,191346108,684.681,,,,,,266.52,0.05,4.15,0.75,95.06,21.53x,9.57M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,256K,2,1,Image.tif_,191346108,640.645,,,,,,284.84,0.05,4.38,0.90,94.68,21.53x,9.57M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,256K,3,1,Image.tif_,191346108,638.824,,,,,,285.65,0.02,4.32,1.29,94.37,21.53x,9.57M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,sw,sw,256K,,1,Image.tif_,191346108,,654.717,640.645,684.681,684.681,684.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,1M,1,1,Image.tif_,191346108,529.563,,,,,,344.59,0.03,4.91,0.38,94.69,25.17x,7.76M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,1M,2,1,Image.tif_,191346108,549.802,,,,,,331.90,0.03,5.03,1.77,93.17,25.17x,7.76M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,1M,3,1,Image.tif_,191346108,580.990,,,,,,314.09,0.05,4.52,1.17,94.25,25.17x,7.76M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,sw,sw,1M,,1,Image.tif_,191346108,,553.452,549.802,580.990,580.990,580.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
