row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,sw,sw,128K,1,4,Image.tif_,765384432,1114.855,,,,,,654.73,0.06,12.98,1.85,85.12,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,128K,2,4,Image.tif_,765384432,1103.595,,,,,,661.41,0.07,12.06,1.74,86.13,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,128K,3,4,Image.tif_,765384432,1132.385,,,,,,644.59,0.07,12.50,2.14,85.29,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,sw,sw,128K,,4,Image.tif_,765384432,,1116.945,1114.855,1132.385,1132.385,1132.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,256K,1,4,Image.tif_,765384432,1011.086,,,,,,721.92,0.06,13.27,0.91,85.76,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,256K,2,4,Image.tif_,765384432,1055.064,,,,,,691.83,0.07,12.79,1.02,86.12,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,256K,3,4,Image.tif_,765384432,1065.547,,,,,,685.03,0.06,13.22,1.01,85.71,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,sw,sw,256K,,4,Image.tif_,765384432,,1043.899,1055.064,1065.547,1065.547,1065.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,1M,1,4,Image.tif_,765384432,940.457,,,,,,776.14,0.05,13.46,0.79,85.70,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,1M,2,4,Image.tif_,765384432,937.191,,,,,,778.85,0.08,13.49,0.76,85.66,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,1M,3,4,Image.tif_,765384432,907.612,,,,,,804.23,0.07,12.64,1.11,86.18,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,sw,sw,1M,,4,Image.tif_,765384432,,928.420,937.191,940.457,940.457,940.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
