row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,sw,sw,128K,1,4,Image.tif_,765384432,1098.363,,,,,,664.56,0.04,12.44,1.85,85.67,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,128K,2,4,Image.tif_,765384432,1032.821,,,,,,706.73,0.09,13.25,1.65,85.01,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,128K,3,4,Image.tif_,765384432,1094.710,,,,,,666.78,0.06,12.32,2.16,85.46,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,sw,sw,128K,,4,Image.tif_,765384432,,1075.298,1094.710,1098.363,1098.363,1098.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,256K,1,4,Image.tif_,765384432,991.947,,,,,,735.85,0.08,13.46,1.27,85.19,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,256K,2,4,Image.tif_,765384432,983.617,,,,,,742.09,0.08,13.39,1.23,85.30,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,256K,3,4,Image.tif_,765384432,993.546,,,,,,734.67,0.08,13.06,1.25,85.61,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,sw,sw,256K,,4,Image.tif_,765384432,,989.703,991.947,993.546,993.546,993.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,1M,1,4,Image.tif_,765384432,931.506,,,,,,783.60,0.07,13.38,0.78,85.77,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,1M,2,4,Image.tif_,765384432,922.970,,,,,,790.85,0.07,13.54,0.94,85.45,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
raw,sw,sw,1M,3,4,Image.tif_,765384432,910.121,,,,,,802.01,0.10,12.75,0.94,86.21,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,1048576,48,1,4,2,D872F247984AF9A2B7E42CC
summary,sw,sw,1M,,4,Image.tif_,765384432,,921.532,922.970,931.506,931.506,931.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,D872F247984AF9A2B7E42CC
