mode,recordsize,iter,source_bytes,elapsed_seconds,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,dc_fails_delta,sha_ok
qat,128K,1,191346108,0.574,317.91,0.03,1.32,2.15,96.50,17.11x,12.9M,183M,1460,191365120,6842077,0,yes
qat,128K,2,191346108,0.524,348.25,0.03,1.09,2.36,96.52,17.11x,12.9M,183M,1460,191365120,6842073,0,yes
qat,128K,3,191346108,0.571,319.58,0.03,1.11,2.43,96.43,17.11x,12.9M,183M,1460,191365120,6842073,0,yes
qat,128K,4,191346108,0.570,320.14,0.03,1.08,2.56,96.33,17.11x,12.9M,183M,1460,191365120,6841922,0,yes
qat,128K,5,191346108,0.533,342.37,0.00,1.19,2.34,96.47,17.11x,12.9M,183M,1460,191365120,6841866,0,yes
sw,128K,1,191346108,0.303,602.25,0.00,7.88,1.51,90.61,16.86x,13.1M,183M,0,0,0,0,yes
sw,128K,2,191346108,0.375,486.62,0.00,6.24,3.22,90.53,16.86x,13.1M,183M,0,0,0,0,yes
sw,128K,3,191346108,0.322,566.71,0.05,6.93,3.23,89.80,16.86x,13.1M,183M,0,0,0,0,yes
sw,128K,4,191346108,0.321,568.48,0.05,7.03,3.23,89.70,16.86x,13.1M,183M,0,0,0,0,yes
sw,128K,5,191346108,0.303,602.25,0.05,7.69,2.71,89.55,16.86x,13.1M,183M,0,0,0,0,yes
qat,8K,1,191346108,1.357,134.47,0.01,2.21,2.57,95.20,4.44x,55.3M,183M,23358,191348736,6279377,0,yes
qat,4K,1,191346108,0.774,235.76,0.00,8.02,1.55,90.43,5.57x,45.0M,184M,0,0,0,0,yes
