row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,sw,1M,1,8,Image.tif_,1530768864,1532.883,,,,,,952.36,0.12,10.79,3.12,85.98,25.47x,61.0M,1.43G,959,1005584384,36802774,0,0,0,0,959,0,959,0,304210,1131335177,879886336,251450759,628435577,0,0,245504,214816,62335,277151,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5108750,0,49050820,36362850,34561674800,3820960,0,0,0,0,0,1280,0,0,1471,0,959,959,512,0,0,0,0,0,0,0,1280,512,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,10.91,7.507649,7.425072,65.69,65.19,34.81,34.81,36132335,36039286
raw,qat,sw,1M,2,8,Image.tif_,1530768864,1397.088,,,,,,1044.93,0.09,11.47,3.58,84.86,25.47x,61.0M,1.43G,940,985661440,35991072,0,0,0,0,940,0,940,0,299860,1108920820,862453760,246468940,615984820,0,0,240640,210560,61100,271660,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1797390,0,44744830,36141510,34333078770,3988300,0,0,0,0,0,1280,0,0,1472,0,940,940,532,0,0,0,0,0,0,0,1280,532,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,11.56,7.250231,7.193784,64.39,63.86,36.14,36.14,36614844,36524552
raw,qat,sw,1M,3,8,Image.tif_,1530768864,1364.638,,,,,,1069.77,0.10,12.06,2.92,84.91,25.47x,61.0M,1.43G,908,952107008,34620248,0,0,0,0,908,0,908,0,289600,1071170324,833093632,238078508,595015124,0,0,232448,203392,59020,262412,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667770,0,44103670,35937560,32612185190,3566830,0,0,0,0,0,1280,0,0,1469,0,908,908,561,0,0,0,0,0,0,0,1280,561,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,12.16,7.449399,7.388138,62.20,61.81,38.19,38.19,36008583,35916504
raw,qat,sw,1M,4,8,Image.tif_,1530768864,1227.847,,,,,,1188.96,0.11,11.72,2.72,85.45,25.51x,60.9M,1.43G,1025,1074790400,41058623,0,0,0,0,1025,0,1025,0,304860,1209195575,940441600,268756025,671685575,0,0,262400,229600,66625,296225,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287040,0,46450180,38378530,37657957520,3650740,0,0,0,0,0,1280,0,0,1472,0,1025,1025,447,0,0,0,0,0,0,0,1280,447,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,11.83,6.520775,6.460142,70.21,69.63,30.37,30.37,36825792,36739471
raw,qat,sw,1M,5,8,Image.tif_,1530768864,1502.977,,,,,,971.31,0.10,10.43,3.78,85.69,25.49x,61.0M,1.43G,981,1028653056,38584825,0,0,0,0,981,0,981,0,305120,1157288643,900071424,257219181,642852243,0,0,251136,219744,63765,283509,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450990,0,47416460,37907600,36764751390,3615000,0,0,0,0,0,1280,0,0,1470,0,981,981,489,0,0,0,0,0,0,0,1280,489,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,10.53,7.104785,7.037313,67.20,66.73,33.27,33.27,37567472,37476811
raw,qat,sw,1M,6,8,Image.tif_,1530768864,1372.070,,,,,,1063.98,0.13,10.81,1.99,87.08,25.51x,60.9M,1.43G,1084,1136656384,43802012,0,0,0,0,1084,0,1084,0,330310,1278798052,994574336,284225884,710348452,0,0,277504,242816,70460,313276,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900390,0,49943450,41220700,41329684560,3592790,0,0,0,0,0,1280,0,0,1472,0,1084,1084,388,0,0,0,0,0,0,0,1280,388,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,10.94,6.738509,6.658435,74.25,73.64,26.36,26.36,38214429,38127015
summary,qat,sw,1M,,8,Image.tif_,1530768864,,1399.584,1372.070,1532.883,1532.883,1532.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,,,,,,,,,,
raw,sw,sw,1M,1,8,Image.tif_,1530768864,1487.117,,,,,,981.67,0.08,20.47,2.20,77.24,25.28x,61.5M,1.43G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,20.55,13.719149,13.665742,0.00,na,na,na,na,na
raw,sw,sw,1M,2,8,Image.tif_,1530768864,1488.014,,,,,,981.08,0.09,20.05,2.39,77.47,25.28x,61.5M,1.43G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,20.14,13.453544,13.393424,0.00,na,na,na,na,na
raw,sw,sw,1M,3,8,Image.tif_,1530768864,1461.157,,,,,,999.11,0.11,18.03,3.00,78.87,25.28x,61.5M,1.43G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,18.14,11.898834,11.826680,0.00,na,na,na,na,na
