row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,profile,128K,1,4,Image.tif_,765384432,1177.700,,,,,,619.79,0.15,8.89,3.43,87.54,16.92x,51.8M,730M,5664,742391808,27096168,0,0,0,0,4054,1610,5664,0,1238070,835502304,649592832,185920800,463672032,0,0,181248,158592,50976,209568,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19909978,0,76578260,37550158,86106936890,17107799,0,0,0,0,0,768,0,15,5840,0,5664,5664,176,0,0,0,0,0,0,0,768,176,yes,profile,1,profile,dynamic,profile,262144,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,262144,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,9.04,9.558799,9.400191,97.00,96.99,3.01,3.01,121805329,121619967
raw,qat,profile,128K,2,4,Image.tif_,765384432,1179.009,,,,,,619.10,0.07,8.88,2.85,88.20,16.92x,51.8M,730M,5681,744620032,26950802,0,0,0,0,3818,1863,5681,0,1259531,838009991,651542528,186478825,465063703,0,0,181792,159068,51129,210197,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8564803,0,67052570,36548227,92351593963,17336994,0,0,0,0,0,768,0,15,5840,0,5681,5681,159,0,0,0,0,0,0,0,768,159,yes,profile,1,profile,dynamic,profile,262144,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,262144,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,8.95,9.474153,9.400053,97.29,97.28,2.72,2.72,130220076,130049771
raw,qat,profile,128K,3,4,Image.tif_,765384432,1135.340,,,,,,642.92,0.04,8.95,3.33,87.68,16.92x,51.8M,730M,5571,730202112,26784225,0,0,0,0,3948,1623,5571,0,1237310,821783781,638926848,182868075,456058773,0,0,178272,155988,50139,206127,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6246372,0,63063549,36890798,86594673822,16530148,0,0,0,0,0,768,0,15,5840,0,5571,5571,269,0,0,0,0,0,0,0,768,269,yes,profile,1,profile,dynamic,profile,262144,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,262144,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,8.99,9.164016,9.123242,95.40,95.39,4.61,4.61,124517908,124350636
summary,qat,profile,128K,,4,Image.tif_,765384432,,1164.016,1177.700,1179.009,1179.009,1179.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,262144,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,262144,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
raw,qat,profile,256K,1,4,Image.tif_,765384432,980.823,,,,,,744.20,0.06,9.55,1.65,88.73,21.66x,37.9M,730M,1397,366215168,14375057,0,0,0,0,1383,14,1397,0,424290,412068899,320438272,91633421,228804851,0,0,89408,78232,23749,101981,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31259834,0,55927250,17604231,14294893555,4106452,0,0,0,0,0,768,0,15,2920,0,1397,1397,1523,0,0,0,0,0,0,0,768,1523,yes,profile,1,profile,dynamic,profile,262144,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,262144,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,9.61,8.462803,8.409966,47.85,47.84,52.16,52.16,41152560,40930261
raw,qat,profile,256K,2,4,Image.tif_,765384432,1020.783,,,,,,715.07,0.05,9.11,1.59,89.25,21.65x,37.9M,730M,1346,352845824,14067423,0,0,0,0,1346,0,1346,0,415510,397025582,308740096,88288178,220451918,0,0,86144,75376,22882,98258,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21430361,0,43718626,16704448,13705072019,4458804,0,0,0,0,0,768,0,15,2920,0,1346,1346,1574,0,0,0,0,0,0,0,768,1574,yes,profile,1,profile,dynamic,profile,262144,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,262144,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,9.16,8.395163,8.349338,46.10,46.10,53.90,53.90,40921111,40728297
raw,qat,profile,256K,3,4,Image.tif_,765384432,1042.120,,,,,,700.43,0.04,8.74,1.49,89.72,21.67x,37.9M,730M,1382,362283008,14672957,0,0,0,0,1380,2,1382,0,406770,407644394,316997632,90649526,226348106,0,0,88448,77392,23494,100886,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4919084,0,27251173,16650921,14027658609,4345402,0,0,0,0,0,768,0,15,2920,0,1382,1382,1538,0,0,0,0,0,0,0,768,1538,yes,profile,1,profile,dynamic,profile,262144,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,262144,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,8.78,8.215093,8.177666,47.33,47.33,52.67,52.67,40740683,40601038
summary,qat,profile,256K,,4,Image.tif_,765384432,,1014.575,1020.783,1042.120,1042.120,1042.120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,262144,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,262144,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
raw,qat,profile,1M,1,4,Image.tif_,765384432,922.566,,,,,,791.19,0.08,13.86,0.84,85.21,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,15,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,profile,1,profile,dynamic,profile,262144,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,262144,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,13.94,11.546768,11.480502,0.00,na,na,na,na,na
raw,qat,profile,1M,2,4,Image.tif_,765384432,907.860,,,,,,804.01,0.07,13.81,1.56,84.57,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,15,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,profile,1,profile,dynamic,profile,262144,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,262144,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,13.88,11.313802,11.256744,0.00,na,na,na,na,na
raw,qat,profile,1M,3,4,Image.tif_,765384432,949.203,,,,,,768.99,0.05,12.03,1.19,86.72,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,15,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,profile,1,profile,dynamic,profile,262144,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,262144,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,12.08,10.294998,10.252386,0.00,na,na,na,na,na
summary,qat,profile,1M,,4,Image.tif_,765384432,,926.543,922.566,949.203,949.203,949.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,262144,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,262144,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
raw,sw,profile,128K,1,4,Image.tif_,765384432,1044.477,,,,,,698.84,0.07,13.61,2.05,84.27,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,15,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,profile,1,profile,dynamic,profile,262144,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,262144,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,13.68,12.828775,12.763131,0.00,na,na,na,na,na
