row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,profile,128K,1,4,Image.tif_,765384432,1110.190,,,,,,657.48,0.06,4.88,2.81,92.25,16.92x,51.8M,730M,5840,765460480,27813887,0,0,0,0,5840,0,5840,0,1580701,861464240,669777920,191698000,478079920,0,0,186880,163520,52560,216080,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032281,1210400,33014245,39312428,6136775817,2300092,0,0,0,0,0,50,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,524288,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,latency,524288,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,4.94,4.924073,4.864266,100.01,na,na,na,8508771,8406542
raw,qat,profile,128K,2,4,Image.tif_,765384432,1098.365,,,,,,664.56,0.13,5.22,2.75,91.90,16.92x,51.8M,730M,5840,765460480,27813902,0,0,0,0,5840,0,5840,0,1557851,861464240,669777920,191698000,478079920,0,0,186880,163520,52560,216080,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057590,1238911,33094434,39372636,7936028770,2377542,0,0,0,0,0,50,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,524288,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,latency,524288,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,5.35,5.275950,5.147750,100.01,na,na,na,10973799,10871272
raw,qat,profile,128K,3,4,Image.tif_,765384432,1095.793,,,,,,666.12,0.06,4.78,3.02,92.14,16.92x,51.8M,730M,5840,765460480,27813879,0,0,0,0,5840,0,5840,0,1488331,861464240,669777920,191698000,478079920,0,0,186880,163520,52560,216080,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015010,1118691,32946270,39208664,6104779329,2208852,0,0,0,0,0,50,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,524288,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,latency,524288,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,4.84,4.761832,4.702801,100.01,na,na,na,8464580,8362711
summary,qat,profile,128K,,4,Image.tif_,765384432,,1101.449,1098.365,1110.190,1110.190,1110.190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,524288,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,latency,524288,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
raw,qat,profile,256K,1,4,Image.tif_,765384432,998.116,,,,,,731.31,0.06,4.39,1.28,94.27,21.70x,37.8M,730M,2920,765460480,28020152,0,0,0,0,2920,0,2920,0,905781,861303640,669777920,191531560,478246360,0,0,186880,163520,49640,213160,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598060,720440,30122718,30925975,7973384992,2367891,0,0,0,0,0,50,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,524288,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,latency,524288,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,4.45,3.987872,3.934103,100.01,na,na,na,11009317,10922445
raw,qat,profile,256K,2,4,Image.tif_,765384432,974.277,,,,,,749.20,0.10,4.80,1.41,93.70,21.70x,37.8M,730M,2920,765460480,28020151,0,0,0,0,2920,0,2920,0,897191,861303640,669777920,191531560,478246360,0,0,186880,163520,49640,213160,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609370,720820,30039081,30917943,7980390311,2334761,0,0,0,0,0,50,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,524288,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,latency,524288,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,4.90,4.286262,4.198788,100.01,na,na,na,11018743,10932042
raw,qat,profile,256K,3,4,Image.tif_,765384432,1069.567,,,,,,682.45,0.07,4.15,1.63,94.14,21.70x,37.8M,730M,2920,765460480,28020151,0,0,0,0,2920,0,2920,0,902000,861303640,669777920,191531560,478246360,0,0,186880,163520,49640,213160,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602440,736080,30124904,31056092,7976748769,2329652,0,0,0,0,0,50,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,524288,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,latency,524288,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,4.22,4.052478,3.985257,100.01,na,na,na,11014054,10927053
summary,qat,profile,256K,,4,Image.tif_,765384432,,1013.987,998.116,1069.567,1069.567,1069.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,524288,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,latency,524288,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
raw,qat,profile,1M,1,4,Image.tif_,765384432,923.959,,,,,,790.00,0.08,14.03,0.86,85.03,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,524288,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,latency,524288,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,14.11,11.705230,11.638864,0.00,na,na,na,na,na
raw,qat,profile,1M,2,4,Image.tif_,765384432,901.605,,,,,,809.59,0.07,13.75,1.52,84.66,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,524288,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,latency,524288,balanced,profile,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,13.82,11.187282,11.130617,0.00,na,na,na,na,na
