row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,sw,128K,1,4,Image.tif_,765384432,1042.033,,,,,,700.48,0.16,10.44,3.35,86.04,17.05x,51.7M,730M,3267,428212224,16747562,0,0,0,0,1837,1430,3267,0,651780,481918437,374685696,107239275,267446421,0,0,104544,91476,29403,120879,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18944422,0,55196138,23423574,69913162620,10339958,0,0,0,0,0,768,0,0,5840,0,3267,3267,2573,0,0,0,0,0,0,0,768,2573,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,10.60,9.917165,9.767472,55.95,55.94,44.06,44.06,171416277,171198439
raw,qat,sw,128K,2,4,Image.tif_,765384432,1074.113,,,,,,679.56,0.07,9.39,2.82,87.72,17.05x,51.7M,730M,3192,418381824,16560000,0,0,0,0,1763,1429,3192,0,637600,470855112,366084096,104777400,261306696,0,0,102144,89376,28728,118104,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3272201,0,38807408,22784879,69849927310,10010723,0,0,0,0,0,768,0,0,5840,0,3192,3192,2648,0,0,0,0,0,0,0,768,2648,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,9.46,9.123077,9.055570,54.66,54.66,45.34,45.34,175241931,175062474
raw,qat,sw,128K,3,4,Image.tif_,765384432,1222.326,,,,,,597.16,0.06,8.33,3.67,87.94,17.07x,51.7M,730M,3469,454688768,17642196,0,0,0,0,1987,1482,3469,0,669831,511715659,397852672,113869925,283982747,0,0,111008,97132,31221,128353,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4620562,0,42382211,24394697,73408849884,10471555,0,0,0,0,0,768,0,0,5840,0,3469,3469,2371,0,0,0,0,0,0,0,768,2371,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,8.39,9.207659,9.141812,59.41,59.40,40.60,40.60,169469238,169291092
summary,qat,sw,128K,,4,Image.tif_,765384432,,1112.824,1074.113,1222.326,1222.326,1222.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,,,,,,,,,,
raw,qat,sw,256K,1,4,Image.tif_,765384432,998.465,,,,,,731.05,0.09,8.99,1.47,89.45,21.81x,37.7M,730M,1516,397410304,15726797,0,0,0,0,1514,2,1516,0,327410,447169972,347734016,99438988,248295028,0,0,97024,84896,25772,110668,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22708337,0,44770032,17528977,18053414505,3736041,0,0,0,0,0,768,0,0,2920,0,1516,1516,1404,0,0,0,0,0,0,0,768,1404,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,9.08,8.139897,8.059215,51.92,51.92,48.08,48.08,47808574,47634339
raw,qat,sw,256K,2,4,Image.tif_,765384432,928.522,,,,,,786.12,0.07,10.11,1.26,88.56,21.76x,37.8M,730M,1193,312737792,12461775,0,0,0,0,1187,6,1193,0,272560,351895631,273645568,78252449,195393119,0,0,76352,66808,20281,87089,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13662091,0,32659438,14766170,15029127931,3750242,0,0,0,0,0,768,0,0,2920,0,1193,1193,1727,0,0,0,0,0,0,0,768,1727,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,10.18,8.486726,8.428370,40.86,40.86,59.14,59.14,50562628,50391041
raw,qat,sw,256K,3,4,Image.tif_,765384432,946.397,,,,,,771.27,0.08,10.01,1.28,88.62,21.76x,37.7M,730M,1203,315359232,11971999,0,0,0,0,1197,6,1203,0,286991,354845301,275939328,78908379,197030949,0,0,76992,67368,20451,87819,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5220906,0,24106310,14609240,14956078285,3370253,0,0,0,0,0,768,0,0,2920,0,1203,1203,1717,0,0,0,0,0,0,0,768,1717,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,10.09,8.573630,8.505653,41.20,41.20,58.80,58.80,49869207,49729271
summary,qat,sw,256K,,4,Image.tif_,765384432,,957.795,946.397,998.465,998.465,998.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,,,,,,,,,,
raw,qat,sw,1M,1,4,Image.tif_,765384432,815.993,,,,,,894.53,0.13,10.31,0.95,88.60,25.42x,30.6M,732M,358,375390208,14465525,0,0,0,0,358,0,358,0,110381,422333674,328466432,93867958,234598474,0,0,91648,80192,23270,103462,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176174407,0,192268483,13764369,8343737377,948190,0,0,0,0,0,768,0,0,732,0,358,358,374,0,0,0,0,0,0,0,768,374,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,10.44,7.648692,7.553449,49.05,48.91,51.09,51.09,23884688,23306529
raw,qat,sw,1M,2,4,Image.tif_,765384432,1062.057,,,,,,687.28,0.07,7.69,2.58,89.65,25.37x,30.7M,732M,338,354418688,13227324,0,0,0,0,338,0,338,0,110170,398739614,310116352,88623938,221492414,0,0,86528,75712,21970,97682,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3387303,0,19108131,13267140,8065881782,1175100,0,0,0,0,0,768,0,0,732,0,338,338,394,0,0,0,0,0,0,0,768,394,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,7.76,7.399626,7.332877,46.31,46.17,53.83,53.83,23962817,23863556
