run,recordsize,jobs,qat_elapsed_ms,qat_write_bw_mib_s,qat_cpu_s_per_gib,qat_byte_share_pct,qat_fallback_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,qat_setup_ns_per_req,qat_page_array_alloc_ns_per_req,scratch_alloc_ns_per_req,stack_scratch_arrays_per_req,heap_scratch_arrays_per_req,qat_src_buffers_per_req,qat_dst_total_buffers_per_req,qat_scratch_bytes_per_req
page-count-overhead,128K,4,783.136,932.090,11.025,0.000,,,,,,,,,,,
scratch-reuse-fullmatrix-20260523,128K,4,1157.590,,9.124,78.036,21.972,139608557.400,139436904.400,,,756.794,,,,,
page-count-overhead,128K,8,820.530,1779.763,11.519,0.000,,,,,,,,,,,
scratch-reuse-fullmatrix-20260523,128K,8,1628.198,,8.712,76.088,23.956,137564084.400,137394964.600,,,412.765,,,,,
page-count-overhead,1M,4,746.772,978.260,5.245,79.870,20.357,31384200.000,31263065.333,80244.207,3311.221,32625.676,0.000,1.000,256.000,289.000,262201.000
scratch-reuse-fullmatrix-20260523,1M,4,910.550,,6.000,70.310,29.890,33912126.400,33820599.600,,,3581.906,,,,,
page-count-overhead,1M,8,899.433,1624.817,5.798,76.967,23.650,29281612.667,29189381.333,49515.535,3270.563,235.559,0.000,1.000,256.000,289.000,262201.000
scratch-reuse-fullmatrix-20260523,1M,8,1283.778,,5.975,76.542,24.092,30917606.000,30827418.600,,,222.816,,,,,
page-count-overhead,512K,4,734.939,993.597,6.969,52.240,47.760,19922536.667,19807861.000,34013.974,2103.938,5506.803,1.000,0.000,128.000,145.000,131129.000
scratch-reuse-fullmatrix-20260523,512K,4,906.589,,7.676,47.650,52.358,20477195.200,20373902.800,,,576.033,,,,,
page-count-overhead,512K,8,968.727,1531.560,9.332,52.870,47.277,26806661.333,26660987.667,39896.001,2894.750,819.047,1.000,0.000,128.000,145.000,131129.000
scratch-reuse-fullmatrix-20260523,512K,8,1176.027,,7.497,54.204,45.940,20223740.000,20121360.200,,,242.536,,,,,
